species	brain_size_max	body_mass_max
Abrothrix_andinus	NA	0.0346
Abrothrix_longipilis	NA	0.0423
Abrothrix_olivaceus	NA	0.027
Acanthagenys_rufogularis	0.00120176	0.05
Acanthiza_chrysorrhoa	0.00044548	0.0091
Acanthiza_ewingii	0.00065268	0.007
Acanthiza_inornata	0.00045584	0.007
Acanthiza_lineata	0.00052836	0.0073
Acanthiza_nana	0.00037296	0.0065
Acanthiza_pusilla	0.0004662	0.0074
Acanthiza_reguloides	0.00040404	0.0074
Acanthiza_uropygialis	0.00037296	0.0066
Acanthoderes_circumflexa	NA	0.000139
Acanthorhynchus_tenuirostris	0.00049728	0.0113
Acanthosaura_armata	0.000182	NA
Accipiter_cirrocephalus	0.00247604	0.1825
Accipiter_fasciatus	0.004662	0.403
Accipiter_novaehollandiae	0.00491064	0.515
Accipiter_striatus	0.0057	0.52
Acheta_domesticus	NA	0.000369
Acinonyx_jubatus	NA	40.82
Acridotheres_tristis	NA	0.1023
Acris_crepitans	0.00000443408	0.0003
Acrobates_pygmaeus	0.0003626	0.0089
Acrocephalus_arundinaceus	NA	0.0269
Acrocephalus_bistrigiceps	NA	0.0219
Acrocephalus_orientalis	0.00094276	0.0173
Acrochordus_arafurae	NA	1.0474
Acrocinus_longimanus	NA	0.005383
Acromyrmex_echinatior	0.000000127	0.000011451
Acrotrichis_grandicollis	0.000000001947947288	NA
Actitis_hypoleucos	0.00089096	0.048
Adeloneivaia_boisduvalii	NA	0.001648
Adeloneivaia_subungulata	NA	0.000487
Adesmia_baccata	NA	0.000407
Aegotheles_cristatus	0.00147112	0.045
Aepyprymnus_rufescens	0.0127428	2.82
Aerodramus_terraereginae	0.00024864	0.0125
Aethopyga_christinae	NA	0.0052
Aethopyga_siparaja	NA	0.0068
Agama_agama	0.000173	NA
Agama_inermis	0.000099	NA
Agelaia_xanthopus	0.0000003298624	NA
Agelenopsis_aperta	NA	0.000715
Agkistrodon_piscivorus	0.00064	0.728
Aglaeactis_cupripennis	NA	0.0072
Agouti_paca	NA	9.156
Ailuroedus_crassirostris	0.00415436	0.21
Ailuroedus_maculosus	0.0045584	0.1692
Ailurus_fulgens	0.0468	5.59
Alaskozeres_antarcticus	NA	0.00000022999
Alectoris_chukar	NA	0.475
Alectura_lathami	0.00588448	2.3
Alisterus_scapularis	0.00464128	0.207
Allactaga_saliens	0.0035	0.193
Alle_alle	0.00193	0.104
Alligator_mississippiensis	0.01408	205
Alophoixus_bres	NA	0.035
Alophoixus_ochraceus	NA	0.04912
Alopochen_aegyptiaca	0.00764	1.935
Alopochen_aegyptiacus	0.00746956	NA
Alouatta_caraya	0.0507	5.0125
Alouatta_palliata	0.06553	7.938
Amaurornis_moluccana	0.00220668	0.1685
Amazilia_tzacatl	0.0001998	0.0048
Amazona_viridigenalis	NA	0.3419
Amblyomma_americanum	NA	0.0000031
Amblyomma_cajenense	NA	0.0000075
Amblyomma_maculatum	NA	0.0000045
Amblyornis_newtonianus	0.0024864	0.079
Amblyrhynchus_cristatus	0.00144	4.19
Ameiva_sp.	0.000231	NA
Amytornis_goyderi	0.00080808	0.017
Anachalcos_convexus	NA	0.001421
Anapisona_simoni	0.0000000131572	0.0000008
Anas_acuta	0.0049548	0.721
Anas_carolinensis	0.003116	0.305
Anas_castanea	0.00386428	0.65
Anas_clypeata	NA	0.554
Anas_crecca	NA	0.25
Anas_gracilis	0.00364672	0.4965
Anas_penelope	NA	0.539
Anas_plathyrhynchos	NA	1.236
Anas_querquedula	0.00277648	0.289
Anas_rhynchotis	0.00366744	0.65
Anas_strepera	NA	0.791
Anas_superciliosa	0.00552188	1
Anax_junius	NA	0.001019
Anconia_integra	NA	0.0008167
Anepsius_brunneus	NA	0.00000615
Angiopolybia_ischkai	0.0000001731156	NA
