species	delta_TriQuaSexv1	rho_aa_fpkmv1	nb_genesv1	pval_aa_fpkmv1	nb_aav1	nb_scuv1
Microtus_ochrogaster	0.02301	0.789851862404547	12511	0.0000205737160790151	9	15
Lonchura_striata	0.02323	0.826596171569636	7441	0.00000386428067141118	9	17
Cyprinus_carpio	0.00112	0.769330896650479	16977	0.0000457080565064737	9	12
Callithrix_jacchus	0.01949	0.787112043977113	12079	0.0000230005672413484	9	14
Panthera_tigris	0.01638	0.608163889926768	9004	0.00344460034454469	9	17
Monodelphis_domestica	0.03121	0.6406512534228	11507	0.00175467667669247	9	20
Heterocephalus_glaber	0.01305	0.651219612707794	10380	0.00138578721178642	9	13
Macaca_mulatta	0.02075	0.82069851713731	12074	0.00000518116402643477	9	15
Ornithorhynchus_anatinus	0.00146	0.842379340899993	9794	0.00000166590071798346	9	10
Erinaceus_europaeus	0.0191	0.666886615058285	9728	0.00096053874445144	9	20
Felis_catus	0.01903	0.806630217636491	10008	0.0000100138381875296	9	16
Oryctolagus_cuniculus	0.01837	0.828889021996205	10751	0.000003437766729854	9	18
Rattus_norvegicus	0.01012	0.681626917347304	11406	0.000667147007979981	9	18
Mus_musculus	0.02421	0.6762250858199	11407	0.000764254982825983	9	14
Bos_taurus	0.002	0.40675772069527	10796	0.0672630320932091	9	13
Crocodylus_porosus	0.00061	0.422982268406656	9329	0.0560758549159845	9	13
Gallus_gallus	0.02338	0.734309913821666	11404	0.00015064677335482	9	14
Loxodonta_africana	0.00185	0.722312477199287	9508	0.000217572233963029	9	13
Cervus_elaphus	0.00389	0.142253986067126	7496	0.538479704745026	9	12
Sus_scrofa	0.02676	0.848976985341248	9751	0.00000114027848778707	9	18
Canis_lupus	0.02611	0.770082318835122	11825	0.0000444547671798541	9	15
Danio_rerio	-0.00066	0.746753246753247	9420	0.000100773377101349	9	9
Xenopus_tropicalis	0.00457	0.795712935763603	10037	0.0000161183217325761	9	15
Xenopus_laevis	0.0179	0.776623376623377	14357	0.000034745489387727	9	15
Callorhinchus_milii	0.00235	0.771929987517541	9406	0.000041499093141857	9	11
Homo_sapiens	0.01454	0.573099536187266	11934	0.00661308624802263	9	16
Equus_caballus	0.03422	0.748375145110568	11588	0.000095469096134195	9	15
Blattella_germanica	-0.00412	0.73129612301706	7920	0.000165514804477118	9	10
Cryptotermes_secundus	0.00618	0.825254337613092	9613	0.00000413481209460286	9	16
Zootermopsis_nevadensis	-0.00068	0.803272262338896	9430	0.0000116286271625665	8	11
Acyrthosiphon_pisum	0.00896	0.685956366717332	9859	0.000597099293212049	9	14
Cimex_lectularius	0.01774	0.416368972917934	8474	0.0604497518256557	9	15
Halyomorpha_halys	0.04056	0.802475235234181	10804	0.0000120437013292543	9	16
Athalia_rosae	0.05978	0.792838082314854	8748	0.0000181855052551461	9	20
Cephus_cinctus	0.06091	0.737513292690319	9020	0.000136119557493772	9	17
Orussus_abietinus	0.02375	0.753610868019063	8323	0.0000799576178585823	9	24
Nasonia_vitripennis	0.04892	0.878544964564088	8819	0.000000162333927379477	9	19
Trichogramma_pretiosum	0.04676	0.731187492387307	9869	0.000166073496893877	9	16
Harpegnathos_saltator	0.02664	0.808473344414736	8785	0.00000921367007442806	9	18
Linepithema_humile	0.02866	0.693509978812265	9038	0.000489851996633285	9	17
Camponotus_floridanus	0.0318	0.81732685732241	7769	0.000006098177240438	9	12
Pogonomyrmex_barbatus	0.04596	0.775538237220939	8369	0.0000362154975874498	8	15
Polistes_canadensis	0.02269	0.764120080583954	7974	0.0000552741174745061	9	18
Polistes_dominula	0.01501	0.765627717854932	8288	0.0000523428237292392	9	19
Solenopsis_invicta	0.03415	0.742674949744399	8831	0.000115250136000732	9	17
Acromyrmex_echinatior	0.03388	0.656021543646032	8328	0.00124122834374639	9	18
Atta_cephalotes	0.01417	0.728733158821734	1226	0.000179136534694815	8	17
Dufourea_novaeangliae	0.02098	0.759861511696613	7772	0.0000643358131093514	9	21
Megachile_rotundata	0.02749	0.857624224157807	7950	0.000000674726360462498	9	22
Habropoda_laboriosa	0.02294	0.635516773488466	7436	0.00196181108974433	8	17
Eufriesea_mexicana	0.03349	0.739949048241576	8040	0.000125897754623561	9	17
Apis_mellifera	0.03179	0.692059638335543	8299	0.00050905940543891	9	17
Apis_florea	0.02455	0.662976944383687	8135	0.00105458452849115	9	16
Apis_cerana	0.01131	0.740069072727752	7694	0.000125411674614227	9	18
Melipona_quadrifasciata	0.021	0.68404178681888	8002	0.000627260751135693	9	20
Bombus_terrestris	0.03847	0.721167696664381	8335	0.00022512133464677	9	22
Onthophagus_taurus	0.01124	0.779077487401963	8898	0.0000316107729908678	9	17
Tribolium_castaneum	0.03268	0.707684691317719	9021	0.000332440441074588	9	16
Dendroctonus_ponderosae	0.05034	0.555645407492178	7427	0.00891824394195224	9	18
Anoplophora_glabripennis	0.01056	0.804680265458481	7904	0.0000109258140469437	9	13
Leptinotarsa_decemlineata	0.03103	0.760016288840838	8948	0.0000639852412865648	9	19
Plutella_xylostella	0.04404	0.839129420603311	9364	0.00000199543900773434	9	15
Bombyx_mori	0.02364	0.742931779821522	7163	0.000114288262460094	9	23
Danaus_plexippus	0.06163	0.819896662019484	10825	0.00000538752975205074	9	18
Aedes_aegypti	0.0506	0.811302413688768	9264	0.00000809405519559727	9	12
Culex_quinquefasciatus	0.06312	0.813251098429413	4789	0.00000739380220286534	8	14
Anopheles_gambiae	0.06098	0.737392085580152	8352	0.000136646372492755	9	15
Drosophila_grimshawi	0.04491	0.816675600862392	7629	0.00000629079547859778	9	16
Drosophila_pseudoobscura	0.07112	0.86504179396175	9318	0.000000418338035368004	9	17
Drosophila_melanogaster	0.06167	0.872683656423927	9026	0.000000248048001873236	9	18
Drosophila_suzukii	0.0459	0.779780953285931	9173	0.0000307588493582004	9	16
Ceratitis_capitata	0.07965	0.857328974264731	8094	0.000000687306340276812	9	16
Lucilia_cuprina	0.06532	0.894242476246363	9445	0.0000000464453725033013	9	15
Musca_domestica	0.12392	0.852501804396476	8793	0.000000924384487576445	9	17
Enhydra_lutris	0.02319	0.657125519792909	11312	0.00120986302491702	9	18
Carassius_auratus	0.0003	0.765432260349885	18178	0.0000527150769265628	9	12
Motacilla_alba	0.02648	0.583637456822266	9646	0.00547703487411831	9	17
Patagioenas_fasciata	0.02712	0.861435844091858	10666	0.000000529578782006921	9	17
Terrapene_carolina	-0.01027	0.734445903672456	10727	0.000150003968493381	9	10
Osmia_bicornis	0.0266	0.700826026017389	8151	0.000402115577464761	9	24
Neophocaena_asiaeorientalis	-0.0018	0.681611579887122	9402	0.000667407078761358	9	15
Ovis_aries	0.01598	0.350991392041664	11035	0.118743821136879	9	11
Lamprotornis_superbus	0.01969	0.71364083840726	4386	0.000280593870785817	9	18
Nematolebias_whitei	0.02032	0.840805895494696	9612	0.00000181893388686479	9	17
Tetranychus_urticae	0.00209	0.660802714174181	8917	0.00111018164231965	9	20
Ixodes_scapularis	-0.00442	0.605588172025546	8442	0.00362278878619413	9	11
Centruroides_sculpturatus	-0.01918	0.506658032567845	11876	0.019083542629672	9	11
Eurytemora_affinis	-0.02989	0.418242427075035	14951	0.0591851972754354	9	16
Tyto_alba	0.02465	0.716955214926247	10698	0.000254871303602132	8	15
Anser_cygnoides	0.02199	0.603398332291331	8693	0.00378026516224073	9	20
Seriola_lalandi	0.019	0.746346255667249	8623	0.000102143685604877	9	13
Balaenoptera_acutorostrata	-0.017	0.641534266565041	9426	0.00172098236595258	9	17
Podarcis_muralis	-0.0114	0.680785370599033	12688	0.000681544967738009	9	12
Anas_platyrhynchos	0.03112	0.74642455828578	10133	0.000101878803095188	9	16
Odocoileus_virginianus	0.00373	0.439103628225466	10868	0.0464271756026467	9	12
Diabrotica_virgifera	0.02216	0.560468614322598	7883	0.00822390322518329	9	13
Trachemys_scripta	0.01107	0.670569992161326	1909	0.000878545131267538	9	13
Glossina_fuscipes	0.05624	0.701403207439231	8118	0.000395806798579477	8	17
Ceratosolen_solmsi	0.01142	0.613488734498499	7207	0.00309933269700438	8	16
Bombus_vancouverensis	0.01971	0.802872540660573	7920	0.000011835205275974	9	24
Peromyscus_maniculatus	0.01931	0.678623183190582	8943	0.000719756452015655	9	16
Equus_asinus	0.02944	0.703778428072175	11578	0.00037072807988031	9	16
Gorilla_gorilla	0.0024	0.77083594712068	11242	0.0000432278602306117	9	14
