LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	X	species	Try_longevity
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Daucus carota	17041	Daucus carota	94798	1030920	59	Plant lifespan (longevity)	190	Plant lifespan, longevity, plant maximum age	Lifespan	annual			NA		NA	NA		NA	NA	NA	unpub.	Lifespan: annual ; perennial	NA	Daucus_carota	annual
Kühn	Ingolf	4	BiolFlor Database	Apium graveolens	4210	Apium graveolens	597663	2970009	59	Plant lifespan (longevity)	190	Plant lifespan, longevity, plant maximum age	PlantLifeSpan	always biennial			NA		NA	NA		NA	NA	NA	Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		NA	Apium_graveolens	always biennial
Kühn	Ingolf	4	BiolFlor Database	Beta vulgaris	7314	Beta vulgaris	597810	2972234	59	Plant lifespan (longevity)	190	Plant lifespan, longevity, plant maximum age	PlantLifeSpan	always annual, always biennial, always pluriennial-pollakanthic			NA		NA	NA		NA	NA	NA	Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		NA	Beta_vulgaris	always annual, always biennial, always pluriennial-pollakanthic
Kühn	Ingolf	4	BiolFlor Database	Brassica oleracea	8257	Brassica oleracea	597846	2972777	59	Plant lifespan (longevity)	190	Plant lifespan, longevity, plant maximum age	PlantLifeSpan	always biennial, always pluriennial-pollakanthic			NA		NA	NA		NA	NA	NA	Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		NA	Brassica_oleracea	always biennial, always pluriennial-pollakanthic
Kühn	Ingolf	4	BiolFlor Database	Brassica rapa	8262	Brassica rapa	597847	2972792	59	Plant lifespan (longevity)	190	Plant lifespan, longevity, plant maximum age	PlantLifeSpan	always annual, always biennial			NA		NA	NA		NA	NA	NA	Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		NA	Brassica_rapa	always annual, always biennial
Kühn	Ingolf	4	BiolFlor Database	Cannabis sativa	10111	Cannabis sativa	597934	2974118	59	Plant lifespan (longevity)	190	Plant lifespan, longevity, plant maximum age	PlantLifeSpan	always annual			NA		NA	NA		NA	NA	NA	Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		NA	Cannabis_sativa	always annual
Kühn	Ingolf	4	BiolFlor Database	Sinapis alba	50347	Sinapis alba	599923	3004426	59	Plant lifespan (longevity)	190	Plant lifespan, longevity, plant maximum age	PlantLifeSpan	always annual			NA		NA	NA		NA	NA	NA	Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		NA	Sinapis_alba	always annual
Poorter	Hendrik	110	Categorical Plant Traits Database	Oryza sativa	39381	Oryza sativa	976332	6183965	59	Plant lifespan (longevity)	190	Plant lifespan, longevity, plant maximum age	longevity	annual			NA		NA	NA		NA	NA	NA	unpub.		NA	Oryza_sativa	annual
Poorter	Hendrik	110	Categorical Plant Traits Database	Phaseolus vulgaris?	41459	Phaseolus vulgaris	976338	6184007	59	Plant lifespan (longevity)	190	Plant lifespan, longevity, plant maximum age	longevity	annual			NA		NA	NA		NA	NA	NA	unpub.		NA	Phaseolus_vulgaris	annual
Poorter	Hendrik	110	Categorical Plant Traits Database	Solanum tuberosum	50834	Solanum tuberosum	976350	6184091	59	Plant lifespan (longevity)	190	Plant lifespan, longevity, plant maximum age	longevity	annual			NA		NA	NA		NA	NA	NA	unpub.		NA	Solanum_tuberosum	annual
