species	NCBI.taxid	dN	dS	dNdS
Haliotis_rufescens	6454	0.5486018659	4.662171105	0.117670899146461
Caenorhabditis_elegans	6239	1.249761158	10.16772272	0.122914559377363
Athalia_rosae	37344	0.5341779154	4.740026262	0.112695138354489
Tribolium_castaneum	7070	0.5218972045	4.533443937	0.115121574624647
Ceratitis_capitata	7213	0.6971038109	6.216584257	0.112136147775211
Sander_lucioperca	283035	0.3215170578	2.999658357	0.10718455888475
Aquila_chrysaetos	8962	0.1238211201	0.9875679278	0.125379851465849
Alligator_mississippiensis	8496	0.1038610668	0.8155743636	0.127347145073995
Tachyglossus_aculeatus	9261	0.04102315827	0.2484823892	0.165094831879538
Ornithorhynchus_anatinus	9258	0.0358332493	0.2223504956	0.161156597395054
Gracilinanus_agilis	191870	0.01501262853	0.1378028029	0.108942838709125
Monodelphis_domestica	13616	0.02265812486	0.1656168594	0.13681049708397
Dromiciops_gliroides	33562	0.03647508602	0.3019792541	0.120786727978079
Antechinus_flavipes	38775	0.01512257324	0.1038562055	0.145610685150634
Sarcophilus_harrisii	9305	0.01270127535	0.09789894814	0.12973862938585
Trichosurus_vulpecula	9337	0.0316108477	0.2380725218	0.132778228503648
Vombatus_ursinus	29139	0.01789513029	0.1302023662	0.137440899211554
Phascolarctos_cinereus	38626	0.02274040485	0.1431175776	0.1588931648463
Choloepus_didactylus	27675	0.04340773906	0.2945365401	0.14737641395958
Dasypus_novemcinctus	9361	0.05197020499	0.3432871677	0.151389885436723
Trichechus_manatus	9778	0.03227712521	0.2133629027	0.151278056314145
Elephas_maximus	9783	0.001889256119	0.01180853602	0.159990714835453
Loxodonta_africana	9785	0.003812673065	0.01458098399	0.261482563015968
Chrysochloris_asiatica	185453	0.05596340921	0.4630302669	0.120863393196036
Echinops_telfairi	9371	0.08793454449	0.7344241551	0.119732642069795
Orycteropus_afer	9818	0.04865337018	0.3732337904	0.13035628453645
Elephantulus_edwardii	28737	0.08008774329	0.7036184545	0.113822687250168
Galeopterus_variegatus	482537	0.04781701203	0.3484412681	0.137231196209161
Lemur_catta	9447	0.02018853385	0.1326903212	0.152147750246007
Propithecus_coquereli	379532	0.02065930393	0.1311755859	0.157493513661524
Otolemur_garnettii	30611	0.01756529798	0.1393466019	0.126054727854831
