species	sequencing_depth	intron	annotated	annotated_unclassified	annotated_major	annotated_minor	prop_annot_unclassified	prop_annot_minor	prop_annot_major
Zootoca_vivipara_NCBI.taxid8524	416.536308203991	294314	198973	13061	152927	32985	0.904000553709856	0.261688100470459	0.994200976472347
Zootermopsis_nevadensis_NCBI.taxid136037	4313.3464459591	358155	118025	1014	89451	27560	0.520533880903491	0.104137933640407	0.976987264903121
Zonotrichia_albicollis_NCBI.taxid44394	1042.16893972723	254216	127402	13243	100639	13520	0.877717391304348	0.0986364531732193	0.986086479389373
Ziziphus_jujuba_NCBI.taxid326968	4982.61189046802	386654	124370	11262	94170	18938	0.792875246409462	0.0686017742712556	0.976938159409916
Zerene_cesonia_NCBI.taxid33412	1468.00214482487	121009	79141	6855	64607	7679	0.899724373277333	0.159722944443289	0.98919051337406
Zea_mays_NCBI.taxid4577	3645.82283205618	437939	171196	8445	135322	27429	0.70948500378056	0.0952260268503442	0.980629732961339
Xenopus_tropicalis_NCBI.taxid8364	150.403581267218	169672	150430	30306	110966	9158	0.935514739929001	0.361718935144956	0.991130681767433
Xenopus_laevis_NCBI.taxid8355	1429.67969791204	526835	273974	41951	206102	25921	0.797108058294856	0.0973076258906383	0.991714142736161
Vulpes_vulpes_NCBI.taxid9627	1130.17615176152	381734	188257	9301	152792	26164	0.754522592682729	0.121565803229179	0.990984680442594
Vulpes_lagopus_NCBI.taxid494514	2106.43001261034	530318	214158	6950	163879	43329	0.74843850958432	0.121794835757293	0.99153547356575
Vitis_vinifera_NCBI.taxid29760	1470.0258215891	238985	120177	8538	94673	16966	0.843009478672986	0.126937810498593	0.994453839770591
Vigna_unguiculata_NCBI.taxid3917	4702.8165119065	405209	143578	3961	120831	18786	0.751470309239234	0.0674944491150919	0.993643301207197
Vigna_radiata_NCBI.taxid157791	4022.51790957134	402451	140082	2729	116439	20914	0.742989381976586	0.0743418573734013	0.991341438496118
Vigna_angularis_NCBI.taxid3914	1734.97322111706	326307	128121	6984	106707	14430	0.820488721804511	0.0686580515006756	0.991488808154391
Vicugna_pacos_NCBI.taxid30538	878.611888111888	317331	173795	17438	134938	21419	0.737024513947591	0.137346183688257	0.979785364720233
Vespula_vulgaris_NCBI.taxid7454	896.031530217978	140155	50839	996	44255	5588	0.732891832229581	0.0606962472166404	0.947015899509961
Vespula_pensylvanica_NCBI.taxid30213	156.173721272646	65851	42620	14492	25178	2950	0.791955844581671	0.145413318874156	0.923454978910691
Varroa_destructor_NCBI.taxid109461	2531.31534772182	344766	87430	1478	58630	27322	0.496639784946237	0.0969910825854822	0.975638166871901
Varanus_komodoensis_NCBI.taxid61221	419.730099502487	198560	92682	11186	76756	4740	0.713256392271887	0.0510302952005684	0.852929737418186
Vanilla_planifolia_NCBI.taxid51239	6414.45427973583	330166	92664	1638	84075	6951	0.525842696629213	0.0293810576504453	0.929313584613684
Ursus_arctos_NCBI.taxid9644	676.47440243616	436872	204260	13601	152616	38043	0.799306535025858	0.143034928751363	0.99174713749139
Tyto_alba_NCBI.taxid56313	486.894672437981	249573	159617	13207	126866	19544	0.744349884461478	0.189308304032391	0.98658537533731
Tuta_absoluta_NCBI.taxid702717	2911.92690058479	149449	83842	6107	75280	2455	0.832583503749148	0.0381857491717348	0.967323284890071
Tursiops_truncatus_NCBI.taxid9739	4099.9402369546	637642	210820	7263	153016	50541	0.662742950999179	0.107269748152424	0.983867545410706
Trinorchestia_longiramus_NCBI.taxid1923959	59.2193669651056	87205	71776	25856	44376	1544	0.895973386929101	0.12916178684959	0.956523613476171
Trichuris_suis_NCBI.taxid68888	4625.68326545889	146195	44991	66	42341	2584	0.323529411764706	0.0271115307942503	0.835441289635169
Trichonephila_clavipes_NCBI.taxid2585209	951.960677638265	69732	30467	750	28301	1416	0.563486100676183	0.043002915451895	0.797818058805289
Trichonephila_clavata_NCBI.taxid2740835	716.408094523005	208413	135628	17495	115649	2484	0.786751810046319	0.0363908056080517	0.980766132109874
Trichogramma_pretiosum_NCBI.taxid7493	433.031295137217	105647	68191	6365	51490	10336	0.830831484140452	0.224295820493902	0.992023736128237
Trichobilharzia_szidati_NCBI.taxid157070	218.369042215161	83151	62021	23897	34227	3897	0.88047603257065	0.184264031396284	0.981813487851754
Trichinella_patagoniensis_NCBI.taxid990121	1015.93475572047	119609	54120	306	46988	6826	0.598825831702544	0.100126147798281	0.922708349697589
Trichinella_papuae_NCBI.taxid268474	581.662956091527	97942	54623	2106	48206	4311	0.541945445187854	0.101516507323506	0.934405892614848
Trichechus_manatus_NCBI.taxid9778	217.955311973018	194343	128682	19748	69963	38971	0.907369968755743	0.381459040944373	0.993566802999318
Tribolium_castaneum_NCBI.taxid7070	2910.94732190558	121580	64211	5910	47140	11161	0.861013986013986	0.166373501878242	0.989670809539805
Trema_orientale_NCBI.taxid63057	709.935185185185	117340	78029	8014	68463	1552	0.822286066078391	0.0451123448536465	0.935401893675452
Trachemys_scripta_NCBI.taxid34903	2086.13730853392	398958	188532	10581	143127	34824	0.823872926886242	0.144092552900967	0.990930301792477
Timema_podura_NCBI.taxid61482	782.711132908288	69694	32889	1295	30030	1564	0.410589727330374	0.0557218184409292	0.78056768558952
Thrips_palmi_NCBI.taxid161013	4567.97135871464	262377	112277	4599	90762	16916	0.795537104307213	0.102686132273045	0.988036272193858
Thelohanellus_kitauei_NCBI.taxid669202	274.486172043011	37922	16481	1774	13764	943	0.470182878346144	0.0544394411730747	0.817971117846318
Thamnophis_sirtalis_NCBI.taxid35019	450.031213731599	193799	122744	6667	104418	11659	0.803737191078963	0.148435311791816	0.97625236073973
Thamnophis_elegans_NCBI.taxid35005	1476.79113924051	322969	167597	15742	134486	17369	0.858248827826846	0.102811649106192	0.99114874674803
Tetranychus_urticae_NCBI.taxid32264	3441.08468559838	89352	45134	2430	34789	7915	0.869409660107335	0.154033278194025	0.989110656203798
Tetracentron_sinense_NCBI.taxid13715	1695.98115299335	278405	106430	4548	95264	6618	0.57855234702964	0.0430750004881573	0.814883880073564
Terrapene_carolina_NCBI.taxid158814	55.5119893428064	144517	125003	45571	71474	7958	0.927182095625636	0.340872098003941	0.992404992988156
Teladorsagia_circumcincta_NCBI.taxid45464	2197.10890104426	165143	78100	4273	71474	2353	0.492564841498559	0.0424254444484512	0.707621329425975
Tarenaya_hassleriana_NCBI.taxid28532	3143.53067799285	359086	149671	2950	127081	19640	0.744761423882858	0.0866125411784421	0.989974136856537
Talpa_occidentalis_NCBI.taxid50954	1375.30697423314	379323	202994	11672	164894	26428	0.795854357016228	0.134044096389209	0.984453545713979
Takifugu_flavidus_NCBI.taxid433684	655.363182082215	271736	178052	19790	152160	6102	0.707341482593466	0.0826907701272478	0.895243138293178
Tachysurus_fulvidraco_NCBI.taxid1234273	13314.7313699241	669544	258021	18044	204707	35270	0.738509393034011	0.0804589834838945	0.990113711662821
Sus_scrofa_NCBI.taxid9823	897.974742750233	363120	201451	21257	145061	35133	0.785695804841989	0.18519611822442	0.991138168053677
Suricata_suricatta_NCBI.taxid37032	1605.80740201432	489022	215511	12308	161636	41567	0.74661813770094	0.134981019461141	0.982052372562124
Stylophora_pistillata_NCBI.taxid50429	2125.98951388463	257124	159760	4917	135443	19400	0.85320145757418	0.170118732352374	0.986309649512463
Styela_clava_NCBI.taxid7725	1688.13267419962	208767	149400	22469	116207	10724	0.889227481399398	0.161137155908162	0.993672347302624
Sturnus_vulgaris_NCBI.taxid9172	390.458675424193	204897	120862	25296	86689	8877	0.878180871376497	0.101021941005098	0.982645658580821
Struthio_camelus_NCBI.taxid8801	2115.26842105989	428954	156177	4838	129761	21578	0.634991468696679	0.0746902042229145	0.979808962887454
Strigops_habroptila_NCBI.taxid2489341	476.18191731519	285917	180109	12391	139980	27738	0.795110369609856	0.214680432797239	0.991872568679275
Striga_asiatica_NCBI.taxid4170	984.147509578544	232151	100450	2366	92972	5112	0.581755593803787	0.0425054254284218	0.862312993312743
Steinernema_carpocapsae_NCBI.taxid34508	877.035741737305	102751	81677	7816	69187	4674	0.831843337590464	0.213375941565853	0.968327501749475
Stegostoma_fasciatum_NCBI.taxid378071	680.338964396018	401592	209245	7036	166390	35819	0.62675930874755	0.161094320614532	0.990310561963599
Stegodyphus_dumicola_NCBI.taxid202533	3087.11997340554	307470	129093	3090	110946	15057	0.562739027499545	0.0795202484314595	0.985039642727136
Sorghum_bicolor_NCBI.taxid4558	3127.17855216138	331163	135687	4445	113451	17791	0.781607174257078	0.0843419187537629	0.990518347782813
Solenopsis_invicta_NCBI.taxid13686	431.883175164586	129150	78232	9777	55231	13224	0.82701742513957	0.215216860607047	0.988332766673228
Solanum_tuberosum_NCBI.taxid4113	3377.81910970822	265990	129882	5750	108308	15824	0.828649661334486	0.105818549007282	0.989005771057053
Solanum_chilense_NCBI.taxid4083	5487.24283149196	262499	88622	2157	83910	2555	0.830573738929534	0.014679352384892	0.977425216662007
Sitophilus_oryzae_NCBI.taxid7048	2341.86498422713	190148	93844	4538	79930	9376	0.237082702053184	0.106579366161961	0.962606129945204
Sinocyclocheilus_rhinocerous_NCBI.taxid307959	212.408328513592	426401	350441	98961	231201	20279	0.899563676029452	0.249852151200039	0.982884617837238
Sinocyclocheilus_anshuiensis_NCBI.taxid1608454	211.831802650975	432534	356519	94598	240105	21816	0.901053473796506	0.261131858661304	0.984020753758135
Sinapis_alba_NCBI.taxid3728	589.687388067095	247740	173552	13484	154754	5314	0.867584609445374	0.0698199973722244	0.991453539029266
Simochromis_diagramma_NCBI.taxid43689	412.715336948102	353232	260433	18549	212705	29179	0.802778499091145	0.251112315940757	0.994287771062091
Setaria_viridis_NCBI.taxid4556	2070.7589802795	233773	129476	1483	103449	24544	0.880641330166271	0.19185342098475	0.993193033660401
Seriola_lalandi_NCBI.taxid302047	911.586286594761	304273	236203	17751	201893	16559	0.912366365131579	0.202583833910373	0.994164803671496
Senna_tora_NCBI.taxid362788	1819.7465214761	221360	91452	3449	84623	3380	0.60129009762901	0.0285559798587408	0.870069915689903
Scyliorhinus_canicula_NCBI.taxid7830	6418.80188045668	735033	219896	2934	179936	37026	0.504991394148021	0.0677297031314881	0.985680635442345
Scophthalmus_maximus_NCBI.taxid52904	7676.0434298441	521341	246117	12953	196604	36560	0.868920641309452	0.118377298497942	0.995004833216088
Sciurus_carolinensis_NCBI.taxid30640	2359.39155764938	585066	212157	5054	164745	42358	0.690814652815746	0.102942105698051	0.990792417426448
Schistosoma_haematobium_NCBI.taxid6185	4410.03192267503	171582	46844	820	44383	1641	0.391782130912566	0.0139790442116024	0.851897349277337
Schistosoma_bovis_NCBI.taxid6184	2511.92836467787	190297	72235	3028	60957	8250	0.66127975540511	0.0669072624792182	0.976671526765257
Scaptodrosophila_lebanonensis_NCBI.taxid7225	144.987241531016	66096	49494	4975	36928	7591	0.842506350550381	0.331036588024944	0.991089640365003
Sander_lucioperca_NCBI.taxid283035	1656.47840814771	404684	253599	12708	215903	24988	0.798642533936652	0.147654417282681	0.983438022401487
Salmo_salar_NCBI.taxid8030	2625.29597701149	763632	412947	28579	331445	52923	0.75854655483597	0.13641319617178	0.980621015103774
Salix_suchowensis_NCBI.taxid1278906	1457.62730318258	268278	132018	8241	120032	3745	0.774384514189062	0.0283729316928299	0.955334118620865
Salix_dunnii_NCBI.taxid1413687	2632.20202746695	368023	113837	2373	103625	7839	0.562322274881517	0.0323491179201486	0.85303511746983
Rosa_chinensis_NCBI.taxid74649	2319.88785045693	355700	156236	10360	119707	26169	0.804222946747399	0.118187689403348	0.986062488158881
