id	species	dS	dN	dNdS	clade	clade_group	dS_added
Acanthocheilonema_viteae_0	Acanthocheilonema_viteae	0.693833080623528	0.0974499677005871	0.140451602009249	Nematoda	Nematoda	NA
Acanthochromis_polyacanthus_0	Acanthochromis_polyacanthus	0.632492218043396	0.0738974530306841	0.116835355317548	Teleostei	Teleostei	-15.3471453168543
Acinonyx_jubatus_0	Acinonyx_jubatus	0.0336311390913911	0.00370335091177291	0.110116725505765	Mammalia	Mammalia	-8.16123771264712
Acromyrmex_echinatior_0	Acromyrmex_echinatior	0.178604960094563	0.0211107136565201	0.118197801703508	Hymenoptera	Hymenoptera	-0.375236797233111
Acropora_digitifera_0	Acropora_digitifera	0.105278694005801	0.0263217368830556	0.250019599232541	Cnidaria	Other Invertebrates	-1.74034615341326
Acropora_millepora_0	Acropora_millepora	0.061493659854032	0.0109129818979842	0.177465155332898	Cnidaria	Other Invertebrates	-12.2279253262524
Acyrthosiphon_pisum_0	Acyrthosiphon_pisum	0.493303108973428	0.0592233280422255	0.120054641791069	Hemiptera	Other Insecta	-11.7523308429812
Aedes_aegypti_0	Aedes_aegypti	1.77121868698108	0.167019542944263	0.0942963983904978	Diptera	Lepido Diptera	-11.3242605376599
Alligator_mississippiensis_0	Alligator_mississippiensis	0.157354565992485	0.0169046914898982	0.10743057491389	Crocodylia	Other Vertebrates	-12.4094559292215
Anarrhichthys_ocellatus_0	Anarrhichthys_ocellatus	0.242843093254489	0.0462577603626784	0.190484150661853	Teleostei	Teleostei	-7.35597479748527
Anas_platyrhynchos_0	Anas_platyrhynchos	0.198381586592841	0.019560921310708	0.0986025046309106	Aves	Aves	-1.12383758662314
Ancylostoma_ceylanicum_0	Ancylostoma_ceylanicum	1.67824655987243	0.142545963417687	0.0849374381726854	Nematoda	Nematoda	-1.45460892589029
Anneissia_japonica_0	Anneissia_japonica	4.61411298344344	0.459101274194562	0.099499356830214	Echinodermata	Other Invertebrates	-11.1268453753074
Anopheles_gambiae_0	Anopheles_gambiae	2.62690201268022	0.301491051506669	0.114770573874226	Diptera	Lepido Diptera	-9.47640150099585
Anoplophora_glabripennis_0	Anoplophora_glabripennis	2.34089390557583	0.204826076136225	0.087499085562291	Coleoptera	Other Insecta	-10.939640070312
Anser_cygnoides_0	Anser_cygnoides	0.109324400807929	0.0105557310891456	0.0965542094092138	Aves	Aves	-10.9040001419014
Apis_cerana_0	Apis_cerana	0.0986629287053656	0.0137053596524398	0.138910934758157	Hymenoptera	Hymenoptera	-2.94513537127244
Apis_florea_0	Apis_florea	0.121803197981251	0.018953567823389	0.155608129651132	Hymenoptera	Hymenoptera	-4.03976714034895
Apis_mellifera_0	Apis_mellifera	0.108010144037144	0.0161587468193024	0.149603974361385	Hymenoptera	Hymenoptera	-4.12090075201106
Apteryx_rowi_0	Apteryx_rowi	0.180910679430045	0.0239990965856537	0.132657158003399	Aves	Aves	-3.99000687423194
Aquila_chrysaetos_0	Aquila_chrysaetos	0.194164769589798	0.0208012393155401	0.107131892976701	Aves	Aves	-7.11268668965967
Archocentrus_centrarchus_0	Archocentrus_centrarchus	0.676937418738632	0.085708153374175	0.12661163499261	Teleostei	Teleostei	-1.55591079385195
Arctia_plantaginis_0	Arctia_plantaginis	2.14655796687246	0.20679216773801	0.0963366333122167	Lepidoptera	Lepido Diptera	-5.59131326111288
Arvicanthis_niloticus_0	Arvicanthis_niloticus	0.14507243559959	0.0143968046007813	0.0992387323014103	Mammalia	Mammalia	-11.982252788297
Arvicola_amphibius_0	Arvicola_amphibius	0.105177083268211	0.0113253517188683	0.107678891322625	Mammalia	Mammalia	-1.28157300542864
Asterias_rubens_0	Asterias_rubens	4.23694838628674	0.434858120326926	0.102634745736904	Echinodermata	Other Invertebrates	1.73930847974021
Athalia_rosae_0	Athalia_rosae	2.89289474282943	0.279706226026649	0.0966873152643911	Hymenoptera	Hymenoptera	-8.83324417368994
