species	NCBI.taxid	No_AAS_total	No_CDS_total	No_AAS_Busco	No_CDS_Busco	No_AAS_CDS_corresponding	nb_gene_85
Naja_naja	35670	25817	25817	285	285	277	176
Thamnophis_elegans	35005	30876	31010	288	288	270	174
Thamnophis_sirtalis	35019	25180	25243	272	272	183	121
Crotalus_tigris	88082	51661	51843	295	295	293	191
Perca_fluviatilis	8168	49921	50212	287	287	282	189
Colossoma_macropomum	42526	43618	43938	286	286	284	188
Sander_lucioperca	283035	56557	56899	284	284	283	188
Pantherophis_guttatus	94885	41701	41848	294	294	291	191
Gekko_japonicus	146911	24464	24536	294	294	278	181
Calidris_pugnax	198806	30889	30937	279	279	274	186
Sturnus_vulgaris	9172	26611	26619	292	292	289	191
Myotis_myotis	51298	61156	61234	262	262	261	172
Miniopterus_natalensis	291302	29787	29861	293	293	288	191
Acanthochromis_polyacanthus	80966	36596	36621	287	287	281	186
Paramormyrops_kingsleyae	1676925	55288	55349	282	282	282	187
Cyanistes_caeruleus	156563	31326	31355	282	282	277	184
Nothoprocta_perdicaria	30464	21504	21515	286	286	176	116
Pipra_filicauda	649802	35857	35876	277	277	277	187
Talpa_occidentalis	50954	39507	39745	272	272	264	174
Contarinia_nasturtii	265458	24963	24963	288	288	288	188
Arctia_plantaginis	874455	18801	18894	297	297	297	189
Pipistrellus_kuhlii	59472	53802	53872	284	284	284	186
Molossus_molossus	27622	42753	42794	280	280	278	187
Drosophila_subpulchrella	1486046	25688	25688	293	293	293	191
Micropterus_salmoides	27706	47899	48385	267	267	262	171
Apteryx_rowi	308060	37618	37643	294	294	222	153
Electrophorus_electricus	8005	45294	45431	289	289	285	187
Erythrura_gouldiae	NA	18989	18989	254	254	254	171
Marmota_flaviventris	93162	37627	37793	278	278	277	183
Drosophila_guanche	7266	22824	22824	292	292	292	189
Strigops_habroptila	2489341	43613	43644	291	291	286	189
Suricata_suricatta	37032	43269	43409	287	287	286	189
Onychomys_torridus	38674	43242	43554	282	282	280	185
Cottoperca_gobio	56716	37849	37909	271	271	266	178
Anarrhichthys_ocellatus	433405	41887	41903	284	284	281	187
Varanus_komodoensis	61221	18293	18293	251	251	251	165
Nylanderia_fulva	613905	24514	24514	288	288	237	153
Thrips_palmi	161013	27217	27217	292	292	291	187
Dermochelys_coriacea	27794	55150	55241	292	292	284	186
Archocentrus_centrarchus	63155	41106	41345	280	280	267	181
Gopherus_evgoodei	1825980	50852	51007	289	289	282	188
Asterias_rubens	7604	24049	24049	302	302	297	190
Actinia_tenebrosa	6105	27037	27037	294	294	204	137
Photinus_pyralis	7054	32294	32294	250	250	248	160
Pecten_maximus	6579	39918	39918	284	284	281	184
Notolabrus_celidotus	1203425	39434	39563	277	277	267	180
Cyclopterus_lumpus	8103	38625	38667	281	281	273	181
Odontomachus_brunneus	486640	29175	29175	296	296	295	193
Stegodyphus_dumicola	202533	29944	29944	289	289	279	181
Belonocnema_treatae	1159321	25246	25246	294	294	294	190
Ignelater_luminosus	2038154	27558	27558	271	271	271	177
Oxyura_jamaicensis	8884	39795	39815	280	280	278	189
Anneissia_japonica	1529436	32774	32774	295	295	270	172
Arvicanthis_niloticus	61156	41473	41699	274	274	273	188
Dissostichus_mawsoni	36200	29240	29240	266	266	205	140
Bombus_vosnesenskii	207650	24067	24067	297	297	293	190
Osmia_lignaria	473952	25907	25907	299	299	296	190
Zerene_cesonia	33412	17465	17465	281	281	281	179
Molothrus_ater	84834	28498	28503	286	286	272	182
Pseudochaenichthys_georgianus	52239	37944	38061	279	279	274	179
Gymnodraco_acuticeps	8218	45727	45847	281	281	265	174
Cloeon_dipterum	197152	30082	30161	293	293	293	190
Branchiostoma_floridae	7739	43041	43041	296	296	283	184
Exaiptasia_diaphana	2652724	27753	27753	286	286	86	61
Chelonus_insularis	460826	19220	19220	298	298	298	193
Clarias_magur	1594786	23712	23712	251	251	146	95
Arvicola_amphibius	1047088	40754	40990	267	267	257	176
Vespula_vulgaris	7454	15512	15512	283	283	283	184
Struthio_camelus	8801	25438	25453	278	278	266	181
Pan_troglodytes	9598	80807	80981	293	293	284	187
Vicugna_pacos	30538	44159	44289	292	292	282	183
Gorilla_gorilla	9593	51652	51793	288	288	283	185
Equus_asinus	9793	42247	42462	293	293	291	190
Peromyscus_maniculatus	10042	45588	45916	280	280	278	182
Ceratosolen_solmsi	142686	12833	12833	294	294	288	188
Glossina_fuscipes	7396	22320	22320	287	287	286	187
Trachemys_scripta	34903	42076	42199	286	286	270	180
Diabrotica_virgifera	50389	28061	28061	291	291	246	159
Odocoileus_virginianus	9874	48221	48326	286	286	284	187
Anas_platyrhynchos	8839	45225	45273	273	273	267	181
Podarcis_muralis	64176	50554	50591	288	288	282	181
Balaenoptera_acutorostrata	9767	37625	37684	284	284	275	186
Seriola_lalandi	302047	38827	38915	280	280	279	191
Anser_cygnoides	8845	31811	31821	271	271	254	177
Tyto_alba	56313	32967	32983	287	287	273	181
Eurytemora_affinis	88015	30425	30425	286	286	272	174
Centruroides_sculpturatus	218467	35529	35529	286	286	278	180
Ixodes_scapularis	6945	32572	32572	268	268	262	165
Tetranychus_urticae	32264	15684	15684	274	274	274	180
Lamprotornis_superbus	245042	14256	14846	270	270	269	178
Ovis_aries	9940	42390	42628	283	283	277	188
Neophocaena_asiaeorientalis	189058	38119	38173	290	290	285	188
Osmia_bicornis	1437190	24839	24839	278	278	276	178
Patagioenas_fasciata	372321	24805	24805	285	285	282	186
Motacilla_alba	45807	42246	42301	281	281	276	186
Musca_domestica	7370	21304	21304	292	292	281	185
Lucilia_cuprina	7375	18864	18864	296	296	295	189
Ceratitis_capitata	7213	22949	22949	301	301	300	194
Drosophila_suzukii	28584	23160	23160	268	268	263	175
Drosophila_melanogaster	7227	30493	30493	295	295	293	193
Drosophila_pseudoobscura	7237	23456	23456	287	287	286	185
Drosophila_grimshawi	7222	14986	14986	283	283	283	188
Aedes_aegypti	7159	28317	28317	284	284	283	185
Bombyx_mori	7091	22510	22510	295	295	231	151
Leptinotarsa_decemlineata	7539	19038	19038	283	283	267	175
Anoplophora_glabripennis	217634	20632	20632	290	290	287	183
Dendroctonus_ponderosae	77166	20551	20551	282	282	252	166
Tribolium_castaneum	7070	22610	22610	298	298	295	191
Onthophagus_taurus	166361	21668	21668	285	285	285	186
Bombus_terrestris	30195	22091	22091	298	298	266	172
Apis_cerana	7461	19255	19255	296	296	284	183
Apis_florea	7463	17663	17663	300	300	240	158
Apis_mellifera	7460	23471	23471	299	299	297	192
Megachile_rotundata	143995	26024	26024	297	297	296	191
Acromyrmex_echinatior	103372	20241	20241	298	298	291	189
Solenopsis_invicta	13686	25235	25235	292	292	280	183
Polistes_dominula	743375	20855	20855	298	298	295	193
Polistes_canadensis	91411	19297	19297	298	298	293	191
Pogonomyrmex_barbatus	144034	19128	19128	298	298	275	181
Camponotus_floridanus	104421	23971	23971	295	295	292	190
Linepithema_humile	83485	21674	21674	296	296	288	185
Harpegnathos_saltator	610380	26784	26784	295	295	295	192
Trichogramma_pretiosum	7493	21161	21161	282	282	281	184
