species	NCBI.taxid	No_AAS_total	No_CDS_total	No_AAS_Busco	No_CDS_Busco	No_AAS_CDS_corresponding	nb_gene_to_study
Acromyrmex_charruanus	2715315	8986	14640	944	944	944	711
Acromyrmex_echinatior	103372	20241	20241	964	964	947	713
Acromyrmex_heyeri	230685	9118	16064	934	934	928	701
Acromyrmex_insinuator	230686	8975	14546	946	946	945	713
Alligator_mississippiensis	8496	42388	42494	968	968	958	721
Ampulex_compressa	860918	21627	21627	961	961	959	718
Aphidius_gifuensis	684658	20617	20617	900	900	897	686
Apis_cerana	7461	19255	19255	955	955	914	692
Apis_dorsata	7462	20012	20012	976	976	959	717
Apis_florea	7463	17663	17663	973	973	806	598
Apis_laboriosa	183418	20470	20470	971	971	967	728
Apis_mellifera	7460	23471	23471	970	970	964	721
Aquila_chrysaetos	8962	52413	52443	932	932	926	720
Athalia_rosae	37344	22113	22113	971	971	971	728
Atta_cephalotes	12957	10657	10657	956	956	922	693
Atta_colombica	520822	16933	16933	958	958	941	709
Belonocnema_kinseyi	2817044	25246	25246	955	955	953	716
Belonocnema_treatae	1159321	25246	25246	955	955	953	716
Bombus_affinis	309941	28024	28024	967	967	967	728
Bombus_bifarius	103933	23896	23896	959	959	954	720
Bombus_huntii	85661	27776	27776	966	966	965	727
Bombus_impatiens	132113	24471	24471	966	966	959	722
Bombus_pyrosoma	396416	28292	28292	967	967	966	728
Bombus_terrestris	30195	22091	22091	966	966	881	660
Bombus_vancouverensis	2705177	24285	24285	965	965	961	725
Bombus_vosnesenskii	207650	24067	24067	966	966	959	725
Caenorhabditis_elegans	6239	28350	30301	866	866	866	673
Camponotus_floridanus	104421	23971	23971	957	957	954	716
Cataglyphis_hispanica	1086592	22395	22395	961	961	950	715
Cephus_cinctus	211228	31876	31876	966	966	961	722
Ceratina_calcarata	156304	23278	23278	934	934	925	698
Ceratitis_capitata	7213	22949	22949	970	970	967	727
Ceratosolen_solmsi	142686	12833	12833	952	952	928	695
Chelonus_insularis	460826	19220	19220	957	957	953	721
Colletes_gigas	935657	18601	18601	955	955	952	714
Copidosoma_floridanum	29053	17308	17308	921	921	911	691
Cotesia_congregata	51543	13989	14126	897	897	897	678
Cotesia_glomerata	32391	25331	25331	947	947	940	708
Cotesia_typhae	2053667	8423	8597	738	738	737	575
Cyphomyrmex_costatus	456900	15690	15690	959	959	950	718
Diachasma_alloeum	454923	19064	19064	962	962	953	715
Dinoponera_quadriceps	609295	22408	22408	955	955	949	719
Diprion_similis	362088	20442	20442	941	941	940	705
Dufourea_novaeangliae	178035	12157	12157	971	971	942	703
Eciton_burchellii	213866	12562	12562	951	951	941	714
Eufriesea_mexicana	516756	15659	15659	946	946	929	702
Fopius_arisanus	64838	18906	18906	967	967	943	703
Formica_exsecta	72781	22509	22509	926	926	905	676
Frieseomelitta_varia	561572	23628	23628	962	962	961	726
Habropoda_laboriosa	597456	12256	12256	964	964	911	682
Haliotis_rufescens	6454	55609	55609	957	957	957	716
Harpegnathos_saltator	610380	26784	26784	945	945	944	714
Heterotrigona_itama	395501	9722	12314	698	698	524	400
Lasius_niger	67767	18247	18247	841	841	811	606
Leptopilina_boulardi	63433	23859	23859	962	962	961	724
Leptopilina_heterotoma	63436	24645	24645	961	961	961	723
Linepithema_humile	83485	21674	21674	960	960	933	701
Megachile_rotundata	143995	26024	26024	960	960	957	720
Megalopta_genalis	115081	22381	22381	929	929	907	685
Melipona_quadrifasciata	166423	14257	14257	896	896	895	675
Microplitis_demolitor	69319	20167	20167	951	951	951	714
Mischocyttarus_mexicanus	91405	17033	17033	868	868	867	652
Monomorium_pharaonis	307658	29165	29165	938	938	933	702
Muscidifurax_raptorellus	51938	13	13	0	0	NA	0
Nasonia_vitripennis	7425	24846	24846	945	945	860	650
Neodiprion_fabricii	2872261	27443	27443	969	969	969	725
Neodiprion_lecontei	441921	28581	28581	967	967	967	724
Neodiprion_pinetum	441929	28705	28705	967	967	967	724
Neodiprion_virginianus	2961670	27752	27752	964	964	964	721
Nomia_melanderi	2448451	25323	25323	964	964	958	722
Nylanderia_fulva	613905	24514	24514	934	934	778	591
Odontomachus_brunneus	486640	29175	29175	947	947	942	713
Ooceraea_biroi	2015173	24215	24215	940	940	939	704
Orussus_abietinus	222816	19696	19696	963	963	958	719
Osmia_bicornis	1437190	24839	24839	934	934	931	695
Osmia_lignaria	473952	25907	25907	960	960	956	716
Pogonomyrmex_barbatus	144034	19128	19128	964	964	887	668
Polistes_canadensis	91411	19297	19297	961	961	949	716
Polistes_dominula	743375	20855	20855	965	965	954	719
Polistes_exclamans	27506	15639	15639	944	944	944	712
Polistes_fuscatus	30207	20897	20897	960	960	945	711
Pseudoatta_argentina	621737	9309	13185	877	877	877	665
Pseudomyrmex_gracilis	219809	23473	23473	959	959	954	721
Sander_lucioperca	283035	56557	56899	930	930	928	718
Solenopsis_invicta	13686	25235	25235	954	954	911	685
Temnothorax_curvispinosus	300111	27275	27275	876	876	866	657
Temnothorax_longispinosus	300112	13061	13061	909	909	869	660
Trachymyrmex_cornetzi	471704	21276	21276	955	955	944	710
Trachymyrmex_septentrionalis	34720	20394	20394	962	962	953	720
Trachymyrmex_zeteki	64791	18778	18778	966	966	937	702
Tribolium_castaneum	7070	22610	22610	961	961	955	715
Trichogramma_brassicae	86971	16905	16905	638	638	631	492
Trichogramma_pretiosum	7493	21161	21161	907	907	906	700
Ursus_arctos	9644	51919	52138	953	953	951	724
Venturia_canescens	32260	23831	23831	952	952	952	718
Vespa_crabro	7445	26263	26263	962	962	961	726
Vespa_mandarinia	7446	27198	27198	961	961	961	725
Vespa_velutina	202808	28781	28781	960	960	953	719
Vespula_pensylvanica	30213	18491	18491	949	949	949	715
Vespula_vulgaris	7454	15512	15512	916	916	915	691
Vollenhovia_emeryi	411798	26071	26071	961	961	961	725
