species	NCBI.taxid	No_AAS_total	No_CDS_total	No_AAS_Busco	No_CDS_Busco	No_AAS_CDS_corresponding	nb_gene_85
Microtus_ochrogaster	79684	37795	37971	937	937	925	716
Melospiza_melodia	44397	14000	16856	806	806	806	642
Lonchura_striata	40157	29134	29150	944	944	922	711
Cyprinus_carpio	7962	80686	80987	282	282	259	208
Callithrix_jacchus	9483	85133	85291	869	869	862	682
Pelodiscus_sinensis	13735	38587	38784	928	928	884	684
Panthera_tigris	9694	29473	29550	944	944	907	699
Monodelphis_domestica	13616	49112	49302	932	932	907	689
Heterocephalus_glaber	10181	60814	60912	935	935	910	695
Macaca_mulatta	9544	67976	68172	928	928	881	680
Ornithorhynchus_anatinus	9258	43095	43203	954	954	942	711
Erinaceus_europaeus	9365	29382	29483	936	936	924	709
Felis_catus	9685	54726	54812	955	955	942	722
Oryctolagus_cuniculus	9986	38458	38705	889	889	722	562
Rattus_norvegicus	10116	56110	56593	894	894	817	638
Mus_musculus	10090	76226	77058	940	940	939	723
Bos_taurus	9913	63687	63863	942	942	800	611
Crocodylus_porosus	8502	28676	28686	875	875	863	687
Gallus_gallus	9031	49673	49772	932	932	797	612
Loxodonta_africana	9785	41267	41482	950	950	905	695
Cervus_elaphus	9860	19243	19243	828	828	828	629
Sus_scrofa	9823	63575	63712	947	947	833	636
Canis_lupus	9612	62946	63166	931	931	924	721
Danio_rerio	7955	52829	52917	914	914	632	482
Xenopus_tropicalis	8364	39662	39721	949	949	792	595
Xenopus_laevis	8355	56667	56769	461	461	365	300
Callorhinchus_milii	7868	28237	28450	931	931	662	509
Homo_sapiens	9606	113620	114507	947	947	932	705
Equus_caballus	9796	60900	61177	941	941	929	715
Blattella_germanica	6973	29581	29581	912	912	911	684
Cryptotermes_secundus	105785	26728	26728	947	947	940	715
Zootermopsis_nevadensis	136037	30187	30187	954	954	929	696
Acyrthosiphon_pisum	7029	27984	27984	874	874	815	617
Cimex_lectularius	79782	24194	24194	945	945	939	708
Halyomorpha_halys	286706	25026	25026	947	947	931	705
Athalia_rosae	37344	22113	22113	971	971	971	730
Cephus_cinctus	211228	31876	31876	966	966	961	724
Orussus_abietinus	222816	19696	19696	963	963	958	721
Nasonia_vitripennis	7425	24846	24846	945	945	860	652
Trichogramma_pretiosum	7493	21161	21161	907	907	906	701
Harpegnathos_saltator	610380	26784	26784	945	945	944	716
Linepithema_humile	83485	21674	21674	960	960	933	703
Camponotus_floridanus	104421	23971	23971	957	957	954	718
Pogonomyrmex_barbatus	144034	19128	19128	964	964	887	670
Polistes_canadensis	91411	19297	19297	961	961	949	718
Polistes_dominula	743375	20855	20855	965	965	954	721
Solenopsis_invicta	13686	25235	25235	954	954	911	687
Acromyrmex_echinatior	103372	20241	20241	964	964	947	715
Atta_cephalotes	12957	10657	10657	956	956	922	694
Dufourea_novaeangliae	178035	12157	12157	971	971	942	705
Megachile_rotundata	143995	26024	26024	960	960	957	722
Habropoda_laboriosa	597456	12256	12256	964	964	911	684
Eufriesea_mexicana	516756	15659	15659	946	946	929	704
Apis_mellifera	7460	23471	23471	970	970	964	723
Apis_florea	7463	17663	17663	973	973	806	600
Apis_cerana	7461	19255	19255	955	955	914	693
Melipona_quadrifasciata	166423	14257	14257	896	896	895	677
Bombus_terrestris	30195	22091	22091	966	966	881	662
Onthophagus_taurus	166361	21668	21668	931	931	931	708
Tribolium_castaneum	7070	22610	22610	961	961	955	717
Dendroctonus_ponderosae	77166	20551	20551	910	910	835	628
Anoplophora_glabripennis	217634	20632	20632	946	946	936	706
Leptinotarsa_decemlineata	7539	19038	19038	926	926	849	642
Plutella_xylostella	51655	21674	21674	726	726	697	536
Bombyx_mori	7091	22510	22510	957	957	792	590
Danaus_plexippus	13037	15232	15232	934	934	928	695
Aedes_aegypti	7159	28317	28317	909	909	905	681
Culex_quinquefasciatus	7176	18883	18883	882	882	881	652
Anopheles_gambiae	7165	14102	14102	946	946	934	710
Drosophila_grimshawi	7222	14986	14986	925	925	925	705
Drosophila_pseudoobscura	7237	23456	23456	931	931	918	692
Drosophila_melanogaster	7227	30493	30493	956	956	941	714
Drosophila_suzukii	28584	23160	23160	881	881	864	657
Ceratitis_capitata	7213	22949	22949	970	970	967	729
Lucilia_cuprina	7375	18864	18864	968	968	964	724
Musca_domestica	7370	21304	21304	944	944	908	682
Enhydra_lutris	34882	36603	36734	944	944	937	719
Carassius_auratus	7957	96703	97252	271	271	268	227
Motacilla_alba	45807	42246	42301	894	894	883	701
Patagioenas_fasciata	372321	24805	24805	907	907	903	710
Terrapene_carolina	158814	34138	34350	878	878	870	662
Osmia_bicornis	1437190	24839	24839	934	934	931	697
Neophocaena_asiaeorientalis	189058	38119	38173	942	942	922	710
Ovis_aries	9940	42390	42628	907	907	887	694
Lamprotornis_superbus	245042	14256	14846	836	836	831	681
Nematolebias_whitei	451745	24104	24108	931	931	866	668
Tetranychus_urticae	32264	15684	15684	820	820	817	639
Ixodes_scapularis	6945	32572	32572	845	845	827	630
Centruroides_sculpturatus	218467	35529	35529	903	903	883	670
Eurytemora_affinis	88015	30425	30425	902	902	841	644
Tyto_alba	56313	32967	32983	921	921	857	683
Anser_cygnoides	8845	31811	31821	857	857	803	653
