species	NCBI.taxid	No_AAS_total	No_CDS_total	No_AAS_Busco	No_CDS_Busco	No_AAS_CDS_corresponding	nb_gene_to_study
Acanthocheilonema_viteae	6277	10138	10397	815	815	795	609
Alligator_mississippiensis	8496	42388	42494	968	968	958	721
Ancylostoma_caninum	29170	30198	30198	765	765	764	608
Ancylostoma_ceylanicum	53326	15892	15892	763	763	763	601
Ancylostoma_duodenale	51022	27483	27483	747	747	732	569
Angiostrongylus_cantonensis	6313	10314	10314	661	661	645	507
Angiostrongylus_costaricensis	334426	13364	13417	840	840	802	619
Anisakis_simplex	6269	20971	20971	792	792	671	514
Aphelenchoides_besseyi	269767	11794	12576	737	737	734	571
Aphelenchoides_bicaudatus	293665	10675	11699	775	775	775	595
Aphelenchoides_fujianensis	1052528	17477	20050	532	532	529	411
Aphelenchus_avenae	70226	43185	43185	737	737	728	573
Aquila_chrysaetos	8962	52413	52443	932	932	926	720
Athalia_rosae	37344	22113	22113	971	971	971	728
Brugia_malayi	6279	14388	14709	879	879	879	673
Brugia_timori	42155	15861	16203	796	796	671	511
Bursaphelenchus_okinawaensis	465554	14544	14593	843	843	843	651
Bursaphelenchus_xylophilus	6326	15860	15884	843	843	843	651
Caenorhabditis_angaria	860376	19424	19429	849	849	829	640
Caenorhabditis_auriculariae	2777116	16279	16279	856	856	856	665
Caenorhabditis_bovis	2654633	15174	15307	831	831	831	645
Caenorhabditis_brenneri	135651	30670	30673	572	572	571	444
Caenorhabditis_briggsae	6238	21954	21954	846	846	845	660
Caenorhabditis_elegans	6239	28350	30301	866	866	866	673
Caenorhabditis_nigoni	1611254	44605	44605	838	838	838	654
Caenorhabditis_remanei	31234	26177	26296	834	834	834	645
Ceratitis_capitata	7213	22949	22949	970	970	967	727
Cercopithifilaria_johnstoni	2874296	11551	11690	872	872	869	662
Cylicostephanus_goldi	71465	13791	13906	468	468	429	342
Dictyocaulus_viviparus	29172	14171	14171	808	808	799	626
Diploscapter_pachys	2018661	38423	38423	383	383	383	299
Dirofilaria_immitis	6287	9741	9741	815	815	815	630
Ditylenchus_destructor	166010	21283	21283	774	774	774	599
Dracunculus_medinensis	318479	10879	10969	858	858	761	581
Enterobius_vermicularis	51028	12844	12895	862	862	834	634
Gongylonema_pulchrum	637853	27123	27158	724	724	558	428
Haemonchus_placei	6290	21425	21928	842	842	758	581
Haliotis_rufescens	6454	55609	55609	957	957	957	716
Loa_loa	7209	15440	15440	878	878	878	669
Meloidogyne_enterolobii	390850	59773	59773	109	109	108	90
Meloidogyne_graminicola	189291	10198	10198	597	597	597	461
Necator_americanus	51031	19153	19153	799	799	798	621
Oesophagostomum_dentatum	61180	25289	25289	697	697	684	534
Onchocerca_flexuosa	387005	8140	8140	639	639	639	489
Parelaphostrongylus_tenuis	148309	29657	29657	798	798	791	623
Pristionchus_pacificus	54126	28149	28149	849	849	836	646
Sander_lucioperca	283035	56557	56899	930	930	928	718
Soboliphyme_baturini	241478	13156	13193	788	788	718	546
Steinernema_carpocapsae	34508	36556	36561	787	787	787	626
Strongyloides_ratti	34506	12445	12445	787	787	787	608
Strongylus_vulgaris	40348	20915	21079	619	619	581	448
Teladorsagia_circumcincta	45464	25532	25532	683	683	659	517
Thelazia_callipaeda	103827	10886	10912	862	862	847	648
Toxocara_canis	6265	18596	18596	860	860	860	663
Tribolium_castaneum	7070	22610	22610	961	961	955	715
Trichinella_britovi	45882	20907	20907	772	772	772	598
Trichinella_nativa	6335	16586	16586	784	784	784	597
Trichinella_nelsoni	6336	17008	17008	785	785	785	601
Trichinella_papuae	268474	16247	16247	724	724	724	561
Trichinella_patagoniensis	990121	19538	19538	757	757	757	588
Trichinella_pseudospiralis	6337	16961	16961	720	720	720	559
Trichinella_spiralis	6334	16380	16380	740	740	738	574
Trichinella_zimbabwensis	268475	19269	19269	737	737	736	571
Trichuris_suis	68888	9829	9829	786	786	786	615
Trichuris_trichiura	36087	9650	9650	791	791	696	529
Ursus_arctos	9644	51919	52138	953	953	951	724
