species	NCBI.taxid	No_AAS_total	No_CDS_total	No_AAS_Busco	No_CDS_Busco	No_AAS_CDS_corresponding	nb_gene_to_study
Acanthaster_planci	133434	33214	33214	962	962	954	715
Acropora_digitifera	70779	33878	33878	825	825	792	596
Acropora_millepora	45264	41860	41860	867	867	851	642
Actinia_tenebrosa	6105	27037	27037	951	951	688	515
Adineta_ricciae	249248	49015	49284	487	487	486	378
Adineta_steineri	433720	50321	50525	543	543	538	429
Adineta_vaga	104782	32378	32378	688	688	688	551
Alligator_mississippiensis	8496	42388	42494	968	968	958	721
Amphibalanus_amphitrite	1232801	59724	59724	325	325	321	247
Amphimedon_queenslandica	400682	23542	23542	868	868	863	645
Anneissia_japonica	1529436	32774	32774	945	945	880	652
Aplysia_californica	6500	26656	26656	949	949	795	599
Apostichopus_japonicus	307972	30221	30221	786	786	770	577
Aquila_chrysaetos	8962	52413	52443	932	932	926	720
Araneus_ventricosus	182803	279517	279517	829	829	816	622
Argiope_bruennichi	94029	30141	30141	932	932	932	709
Armadillidium_nasatum	96803	14636	14636	792	792	792	604
Armadillidium_vulgare	13347	19051	19051	749	749	749	564
Asterias_rubens	7604	24049	24049	956	956	947	708
Athalia_rosae	37344	22113	22113	971	971	971	728
Batillaria_attramentaria	370345	29795	29795	658	658	592	461
Biomphalaria_glabrata	6526	53149	53149	955	955	953	716
Blomia_tropicalis	40697	10651	10651	866	866	865	661
Branchiostoma_belcheri	7741	34675	34675	959	959	928	700
Branchiostoma_floridae	7739	43041	43041	944	944	878	651
Branchiostoma_lanceolatum	7740	39310	39383	949	949	948	707
Bugula_neritina	10212	25318	25318	765	765	765	579
Bulinus_truncatus	55810	26279	26279	783	783	777	581
Caenorhabditis_elegans	6239	28350	30301	866	866	866	673
Caerostris_darwini	1538125	56117	56117	868	868	867	653
Caerostris_extrusa	172846	82824	82824	895	895	884	669
Caligus_rogercresseyi	217165	19128	19128	317	317	264	208
Candidula_unifasciata	100452	22464	22464	866	866	819	632
Capitella_teleta	283909	31978	31978	915	915	915	684
Centruroides_sculpturatus	218467	35529	35529	903	903	883	668
Ceratitis_capitata	7213	22949	22949	970	970	967	727
Cherax_quadricarinatus	27406	31450	31450	899	899	776	585
Chionoecetes_opilio	41210	22650	22650	781	781	781	608
Ciona_intestinalis	7719	21096	21096	922	922	891	681
Clonorchis_sinensis	79923	14408	14408	817	817	814	627
Crassostrea_angulata	558553	49950	49950	949	949	947	712
Crassostrea_gigas	29159	63341	63341	907	907	898	676
Crassostrea_virginica	6565	60213	60213	683	683	596	440
Daphnia_galeata	27404	15649	15845	894	894	890	675
Daphnia_magna	35525	28221	28221	880	880	858	648
Daphnia_pulex	6669	27985	27985	929	929	925	697
Daphnia_pulicaria	35523	27597	27597	917	917	910	683
Daphnia_sinensis	1820382	16955	16955	920	920	920	691
Darwinula_stevensoni	69355	15624	15746	854	854	848	645
Dendronephthya_gigantea	151771	28741	28741	844	844	833	628
Dermacentor_andersoni	34620	36216	36216	932	932	931	696
Dermacentor_silvarum	543639	36397	36397	905	905	893	675
Dermatophagoides_farinae	6954	12615	12615	898	898	857	651
Dermatophagoides_pteronyssinus	6956	12837	12837	892	892	879	667
Desmophyllum_pertusum	174260	37484	37484	875	875	873	658
Dibothriocephalus_latus	60516	19930	19966	652	652	533	410
Dicrocoelium_dendriticum	57078	16905	16907	676	676	671	520
Didymodactylos_carnosus	1234261	46863	46863	677	677	655	515
Dimorphilus_gyrociliatus	2664684	16175	16378	888	888	888	674
Dinothrombium_tinctorium	1965070	19024	19024	516	516	515	388
Dreissena_polymorpha	45954	75288	75288	780	780	772	589
Echinococcus_granulosus	6210	11319	11319	801	801	801	609
Echinococcus_multilocularis	6211	10656	10657	747	747	747	570
Echinostoma_caproni	27848	18599	18607	753	753	596	451
Elysia_chlorotica	188477	23871	23871	936	936	933	704
Elysia_marginata	1093978	70752	70752	942	942	932	694
Enteromyxum_leei	188704	13	13	0	0	NA	0
Eriocheir_sinensis	95602	54884	54884	890	890	885	669
Euroglyphus_maynei	6958	15257	15257	815	815	811	620
Eurytemora_affinis	88015	30425	30425	902	902	841	642
Exaiptasia_diaphana	2652724	27753	27753	908	908	231	160
Fasciolopsis_buski	27845	11837	11837	805	805	798	623
Folsomia_candida	158441	37114	37114	914	914	913	699
Fragariocoptes_setiger	1670756	3058	3058	374	374	374	282
Galendromus_occidentalis	34638	11873	11873	893	893	867	656
Gigantopelta_aegis	1735272	33249	33249	934	934	922	691
Haemaphysalis_longicornis	44386	25651	25651	663	663	663	492
Haliotis_rubra	36100	43422	43422	917	917	818	599
Haliotis_rufescens	6454	55609	55609	957	957	957	716
Halotydeus_destructor	2874060	14583	14583	887	887	887	673
Helobdella_robusta	6412	23368	23368	914	914	914	685
Henneguya_salminicola	69463	8187	8187	425	425	425	322
Homarus_americanus	6706	40732	40732	941	941	885	668
Hyalella_azteca	294128	22614	22614	923	923	874	655
Hyalomma_asiaticum	266040	29644	29657	751	751	751	570
Hydatigera_taeniaeformis	6205	11598	11649	802	802	720	553
Hydra_vulgaris	6087	32703	32703	922	922	909	681
