species	clade	NCBI.taxid	clade_dnds
Rangifer_tarandus	Mammalia	9870	Mammalia
Equus_quagga	Mammalia	89248	Mammalia
Culex_pipiens	Diptera	7175	Mecopterida
Rhinolophus_ferrumequinum	Mammalia	59479	Mammalia
Budorcas_taxicolor	Mammalia	37181	Mammalia
Pediculus_humanus	Invertebrates	121225	Other Insecta
Falco_peregrinus	Aves	8954	Aves
Schistocerca_serialis	Invertebrates	2023354	Other Insecta
Trichonephila_inaurata	Arachnida	2747482	Other Invertebrates
Pieris_napi	Lepidoptera	78633	Mecopterida
Uria_aalge	Aves	13746	Aves
Megadyptes_antipodes	Aves	37085	Aves
Apteryx_mantelli	Aves	2696672	Aves
Perognathus_longimembris	Mammalia	38669	Mammalia
Cervus_hanglu	Mammalia	2100816	Mammalia
Limosa_lapponica	Aves	161683	Aves
Colobus_angolensis	Mammalia	54131	Mammalia
Marmota_marmota	Mammalia	9993	Mammalia
Buceros_rhinoceros	Aves	175835	Aves
Pteronotus_parnellii	Mammalia	59476	Mammalia
Pararge_aegeria	Lepidoptera	116150	Mecopterida
Balearica_regulorum	Aves	925459	Aves
Ovis_ammon	Mammalia	30527	Mammalia
Schistocerca_gregaria	Invertebrates	7010	Other Insecta
Anthonomus_grandis	Coleoptera	7044	Other Insecta
Chrysemys_picta	Testudines	8479	Other Vertebrates
Orycteropus_afer	Mammalia	9818	Mammalia
Peromyscus_californicus	Mammalia	42520	Mammalia
Accipiter_gentilis	Aves	8957	Aves
Macaca_thibetana	Mammalia	54602	Mammalia
Gulo_gulo	Mammalia	48420	Mammalia
Nycticebus_coucang	Mammalia	9470	Mammalia
Gasterosteus_aculeatus	Teleostei	69293	Teleostei
Pitangus_sulphuratus	Aves	371930	Aves
Bradysia_hygida	Diptera	35572	Mecopterida
Melozone_crissalis	Aves	40204	Aves
Oppia_nitens	Arachnida	1686743	Other Invertebrates
Anastrepha_obliqua	Diptera	95512	Mecopterida
Tokudaia_osimensis	Mammalia	73109	Mammalia
