species	NCBI.taxid	No_AAS_total	No_CDS_total	No_AAS_Busco	No_CDS_Busco	No_AAS_CDS_corresponding	nb_gene_to_study
Acanthisitta_chloris	57068	16077	16089	868	868	756	604
Accipiter_gentilis	8957	44814	44840	957	957	947	719
Aegithalos_caudatus	73327	13259	15004	803	803	803	644
Aegotheles_bennettii	48278	13701	15054	809	809	808	661
Agelaius_phoeniceus	39638	27550	27581	944	944	920	711
Aix_galericulata	8832	13219	16600	827	827	819	646
Alaudala_cheleensis	670337	14297	16068	837	837	837	668
Aleadryas_rufinucha	461220	13899	15340	824	824	822	658
Alectura_lathami	81907	13399	15139	798	798	798	651
Alligator_mississippiensis	8496	42388	42494	968	968	958	721
Alopecoenas_beccarii	262131	14599	16030	862	862	860	671
Amazona_guildingii	175529	14211	15795	860	860	856	685
Anas_platyrhynchos	8839	45225	45273	886	886	860	688
Anhinga_anhinga	56067	13590	15174	800	800	800	643
Anser_cygnoides	8845	31811	31821	857	857	803	651
Anseranas_semipalmata	8851	14223	15749	838	838	836	666
Anthoscopus_minutus	156561	13582	15222	848	848	844	661
Antrostomus_carolinensis	279965	16876	16887	844	844	758	611
Apaloderma_vittatum	57397	15288	15303	822	822	716	585
Aphelocoma_coerulescens	39617	14584	16167	868	868	868	682
Aptenodytes_forsteri	9233	19104	19116	875	875	859	692
Aptenodytes_patagonicus	9234	13942	14992	794	794	794	644
Apteryx_mantelli	2696672	22793	22817	884	884	854	675
Apteryx_rowi	308060	37618	37643	932	932	753	590
Apus_apus	8895	36344	36363	890	890	886	708
Aquila_chrysaetos	8962	52413	52443	932	932	926	720
Aramus_guarauna	54356	14295	15841	849	849	845	669
Ardeotis_kori	89386	13698	15169	826	826	826	666
Arenaria_interpres	54971	13872	15264	821	821	818	648
Asarcornis_scutulata	75869	14721	16361	859	859	859	681
Athalia_rosae	37344	22113	22113	971	971	971	728
Athene_cunicularia	194338	27746	27752	852	852	847	692
Atlantisia_rogersi	2478892	13725	14985	768	768	768	598
Atrichornis_clamosus	449594	14599	16080	870	870	870	680
Aythya_fuligula	219594	27761	27809	917	917	903	711
Balearica_regulorum	925459	16163	16179	848	848	756	611
Bambusicola_thoracicus	9083	17763	17763	791	791	780	615
Baryphthengus_martii	176943	13396	15154	825	825	824	660
Bombycilla_garrulus	125297	13804	15599	821	821	817	659
Brachypodius_atriceps	182895	12867	14275	800	800	800	644
Brachypteracias_leptosomus	135165	13435	14926	840	840	840	664
Bucco_capensis	135168	14416	15880	884	884	884	688
Buceros_rhinoceros	175835	15510	15525	832	832	753	614
Buphagus_erythrorhynchus	245048	11105	12579	746	746	743	586
Burhinus_bistriatus	240201	13982	15874	833	833	833	661
Caenorhabditis_elegans	6239	28350	30301	866	866	866	673
Calcarius_ornatus	198940	13683	15518	819	819	819	653
Calidris_pugnax	198806	30889	30937	907	907	896	707
Callaeas_wilsoni	1347786	14567	16099	865	865	865	679
Callipepla_squamata	9009	17131	17131	859	859	852	677
Caloenas_nicobarica	187106	14071	15520	843	843	843	659
Calonectris_borealis	1323832	14421	15799	859	859	859	663
Calypte_anna	9244	29214	29231	886	886	857	686
Calyptomena_viridis	135972	13242	14872	797	797	797	638
Camarhynchus_parvulus	87175	28897	28914	962	962	926	705
Campylorhamphus_procurvoides	190295	14098	15733	829	829	824	659
Cariama_cristata	54380	16125	16140	863	863	783	629
Catharus_fuscescens	159581	13926	15664	819	819	818	657
Catharus_ustulatus	91951	36071	36231	935	935	922	700
Centrocercus_urophasianus	9002	31539	31548	892	892	881	703
Centropus_bengalensis	1463675	13170	14518	813	813	813	661
Centropus_unirufus	1118519	14022	15345	839	839	839	671
Cephalopterus_ornatus	114276	13914	15494	829	829	829	669
Cepphus_grylle	28697	14764	16242	872	872	872	685
Ceratitis_capitata	7213	22949	22949	970	970	967	727
Cercotrichas_coryphoeus	614051	13559	15241	816	816	816	651
Certhia_brachydactyla	73330	13885	15671	838	838	833	666
Certhia_familiaris	73333	13157	14709	771	771	771	627
Cettia_cetti	68486	14916	16477	879	879	879	687
Ceuthmochares_aereus	1961834	12210	13522	756	756	756	614
Ceyx_cyanopectus	390723	12043	13153	748	748	748	586
Chaetops_frenatus	221966	13233	15034	795	795	794	636
Chaetorhynchus_papuensis	254446	14337	15932	844	844	844	673
Chaetura_pelagica	8897	15932	15944	877	877	817	660
Charadrius_vociferus	50402	16428	16448	881	881	829	674
Chauna_torquata	30388	13482	15083	815	815	812	642
Chionis_minor	227182	14305	15689	851	851	850	679
Chiroxiphia_lanceolata	296741	39412	39421	931	931	894	702
Chlamydotis_macqueenii	187382	15683	15694	835	835	742	607
Chloebia_gouldiae	44316	18989	18989	837	837	836	662
Chloroceryle_aenea	176938	12200	13866	764	764	761	620
Chloropsis_cyanopogon	1218682	12574	14216	764	764	762	610
Chloropsis_hardwickii	667144	13520	15362	803	803	803	648
Chordeiles_acutipennis	118183	14031	15496	835	835	834	664
Chroicocephalus_maculipennis	287016	13945	15490	823	823	823	645
Chunga_burmeisteri	1352770	14415	15895	854	854	854	675
Ciccaba_nigrolineata	1118524	13842	15524	818	818	815	655
Cinclus_mexicanus	161649	13497	15131	823	823	818	642
Circaetus_pectoralis	321084	14150	15855	849	849	849	668
Cisticola_juncidis	52622	13396	15071	811	811	808	650
Climacteris_rufus	47695	14096	15620	839	839	838	665
Cnemophilus_loriae	254448	14124	15866	837	837	830	662
Cochlearius_cochlearius	110676	14064	15455	838	838	838	672
Colius_striatus	57412	15797	15809	849	849	742	611
Columba_livia	8932	32506	32532	899	899	824	650
Columbina_picui	115618	12298	14192	757	757	757	608
Copsychus_sechellarum	797021	14408	16238	877	877	877	680
Corapipo_altera	415028	39226	39239	913	913	900	707
Corvus_brachyrhynchos	85066	29421	29441	885	885	857	685
Corvus_cornix	181096	36899	36913	867	867	818	660
Corvus_hawaiiensis	134902	43147	43185	933	933	921	716
Corvus_kubaryi	68294	41335	41343	861	861	858	687
Corvus_moneduloides	1196302	43047	43081	929	929	918	713
Corythaixoides_concolor	103956	14239	15729	839	839	839	672
Coturnix_japonica	93934	40894	40934	941	941	921	705
Crotophaga_sulcirostris	33598	13871	15262	841	841	841	678
Crypturellus_soui	458187	14176	15595	825	825	825	655
Crypturellus_undulatus	48396	14065	15484	831	831	831	664
Cuculus_canorus	55661	16796	16805	901	901	845	678
