species	NCBI.taxid	dN	dS	dNdS
Sander_lucioperca	283035	0.3323093722	2.589749644	0.128317180376838
Ursus_arctos	9644	0.1948695015	1.654988482	0.117746741816902
Alligator_mississippiensis	8496	0.1095976678	0.8778316667	0.124850437683578
Aquila_chrysaetos	8962	0.1240879289	0.9851140546	0.125963007349829
Haliotis_rufescens	6454	0.5683538901	5.223359538	0.108810026567235
Caenorhabditis_elegans	6239	1.202465476	11.62281092	0.103457372255007
Tribolium_castaneum	7070	0.5153655705	5.181916885	0.0994546191954215
Ceratitis_capitata	7213	0.7054457264	7.214641208	0.0977797379054363
Athalia_rosae	37344	0.1656827003	1.972883492	0.0839799719404819
Diprion_similis	362088	0.03945710924	0.3421608834	0.115317416906108
Neodiprion_lecontei	441921	0.001822736662	0.0147659465	0.123441911563204
Neodiprion_pinetum	441929	0.001830437634	0.01123924132	0.16286131615866
Neodiprion_virginianus	2961670	0.002555099079	0.02031966762	0.125745121760018
Neodiprion_fabricii	2872261	0.004626867443	0.02836390573	0.163125187590306
Cephus_cinctus	211228	0.2289190088	2.690332833	0.0850894751727546
Orussus_abietinus	222816	0.3096622904	3.276217773	0.0945182255440991
Leptopilina_heterotoma	63436	0.07938260453	0.8803364545	0.0901730288734737
Leptopilina_boulardi	63433	0.06992629524	0.8112559015	0.0861951144031215
Belonocnema_kinseyi	2817044	0.00000000000000000002687954082	0.00000000000000000295508931	0.00909601639755517
Belonocnema_treatae	1159321	0.00000000000000000002687954082	0.00000000000000000295508931	0.00909601639755517
Nasonia_vitripennis	7425	0.1602349352	1.745058312	0.0918221093806062
Ceratosolen_solmsi	142686	0.238652447	2.368270216	0.1007707842575
Copidosoma_floridanum	29053	0.273120499	2.686371834	0.101668911035791
Trichogramma_pretiosum	7493	0.367420612	3.774046664	0.0973545492971149
Venturia_canescens	32260	0.2883728672	3.275543314	0.0880381785725334
Aphidius_gifuensis	684658	0.3277140437	3.798877263	0.086266025726033
Fopius_arisanus	64838	0.1126556888	1.258840898	0.0894916021389067
Diachasma_alloeum	454923	0.09244621114	1.092770778	0.0845979898082524
Chelonus_insularis	460826	0.2417054003	2.724370912	0.0887197111213321
Microplitis_demolitor	69319	0.1014257994	1.199307774	0.0845702842913449
Cotesia_glomerata	32391	0.01484508387	0.1532771935	0.0968512244452075
Cotesia_congregata	51543	0.02168395363	0.1913993858	0.113291657334044
Mischocyttarus_mexicanus	91405	0.06922164592	0.4465311025	0.155020883276546
Polistes_dominula	743375	0.04574055389	0.3061090521	0.149425682044376
Polistes_fuscatus	30207	0.01523800494	0.1022862859	0.148974076103393
Polistes_exclamans	27506	0.01086105002	0.04356630885	0.249299293575568
Polistes_canadensis	91411	0.00474245052	0.02382376336	0.199063869479268
