species	NCBI.taxid	No_AAS_total	No_CDS_total	No_AAS_Busco	No_CDS_Busco	No_AAS_CDS_corresponding	nb_gene_to_study
Aedes_aegypti	7159	28317	28317	909	909	905	679
Alligator_mississippiensis	8496	42388	42494	968	968	958	721
Amyelois_transitella	680683	18472	18472	936	936	890	669
Anastrepha_ludens	28586	25247	25247	963	963	962	725
Anastrepha_obliqua	95512	22869	22869	956	956	955	716
Anopheles_albimanus	7167	23947	23947	958	958	947	714
Anopheles_aquasalis	42839	20271	20271	958	958	958	723
Anopheles_arabiensis	7173	25532	25532	954	954	945	711
Anopheles_coluzzii	1518534	24012	24012	960	960	960	723
Anopheles_cruzii	68878	14301	14301	935	935	934	705
Anopheles_darlingi	43151	20247	20247	954	954	953	719
Anopheles_funestus	62324	25342	25342	955	955	955	720
Anopheles_gambiae	7165	14102	14102	946	946	934	708
Anopheles_maculipalpis	1496333	14422	14422	958	958	956	720
Anopheles_marshallii	1521116	12038	12038	953	953	946	717
Anopheles_merus	30066	28438	28438	889	889	889	668
Anopheles_moucheti	186751	15528	15528	952	952	950	716
Anopheles_nili	185578	11869	11869	952	952	949	716
Anopheles_sinensis	74873	19352	19352	876	876	876	661
Anopheles_stephensi	30069	29660	29660	912	912	912	682
Aquila_chrysaetos	8962	52413	52443	932	932	926	720
Arctia_plantaginis	874455	18801	18894	939	939	939	710
Aricia_agestis	91739	21296	21296	969	969	968	725
Athalia_rosae	37344	22113	22113	971	971	971	728
Bactrocera_dorsalis	27457	30102	30102	968	968	963	722
Bactrocera_latifrons	174628	22638	22638	959	959	798	595
Bactrocera_neohumeralis	98809	25557	25557	959	959	951	712
Bactrocera_oleae	104688	18715	18715	956	956	927	696
Bactrocera_tryoni	59916	23950	23950	958	958	958	719
Bicyclus_anynana	110368	21766	21766	965	965	960	718
Bombyx_mandarina	7092	19224	19224	918	918	913	681
Bombyx_mori	7091	22510	22510	957	957	792	590
Bradysia_coprophila	38358	28473	28473	936	936	936	702
Brenthis_ino	405034	19333	19333	962	962	962	722
Caenorhabditis_elegans	6239	28350	30301	866	866	866	673
Ceratitis_capitata	7213	22949	22949	970	970	967	727
Chilo_suppressalis	168631	12906	12906	904	904	904	683
Chironomus_riparius	315576	16522	16523	931	931	931	699
Choristoneura_fumiferana	7141	22898	22898	826	826	826	618
Clunio_marinus	568069	22620	22620	913	913	912	692
Colias_croceus	72248	20988	20988	966	966	965	725
Contarinia_nasturtii	265458	24963	24963	939	939	937	703
Culex_pipiens	7175	25920	25920	904	904	901	681
Culex_quinquefasciatus	7176	18883	18883	882	882	881	650
Danaus_chrysippus	151541	19635	19635	953	953	929	700
Danaus_plexippus	13037	15232	15232	934	934	928	693
Dendrolimus_kikuchii	765133	15321	15321	925	925	925	696
Diatraea_saccharalis	40085	16172	16172	951	951	951	715
Drosophila_albomicans	7291	24248	24248	954	954	937	710
Drosophila_ananassae	7217	25915	25915	958	958	955	722
Drosophila_arizonae	7263	19500	19500	922	922	856	651
Drosophila_biarmipes	125945	26154	26154	955	955	954	723
Drosophila_bipectinata	42026	21079	21079	948	948	943	713
Drosophila_bunnanda	244254	12184	12184	867	867	861	658
Drosophila_busckii	30019	19109	19109	939	939	934	709
Drosophila_elegans	30023	23444	23444	959	959	955	723
Drosophila_erecta	7220	23135	23135	954	954	952	719
Drosophila_eugracilis	29029	22460	22460	954	954	942	715
Drosophila_ficusphila	30025	22110	22110	957	957	930	700
Drosophila_grimshawi	7222	14986	14986	925	925	925	704
Drosophila_guanche	7266	22824	22824	952	952	948	716
Drosophila_gunungcola	103775	24987	24987	952	952	918	696
Drosophila_hydei	7224	21429	21429	934	934	933	704
Drosophila_innubila	198719	19534	19534	945	945	934	708
Drosophila_ironensis	2848634	12677	12677	878	878	867	653
Drosophila_kikkawai	30033	22799	22799	952	952	948	718
Drosophila_mauritiana	7226	23239	23239	954	954	953	720
Drosophila_melanogaster	7227	30493	30493	956	956	941	712
Drosophila_miranda	7229	32149	32149	820	820	818	630
Drosophila_mojavensis	7230	23305	23305	952	952	952	719
Drosophila_navojoa	7232	20344	20344	949	949	944	714
Drosophila_novamexicana	47314	20149	20149	934	934	933	703
Drosophila_obscura	7282	23284	23284	946	946	935	704
Drosophila_pandora	1867034	13780	13780	862	862	856	652
Drosophila_persimilis	7234	20342	20342	941	941	938	708
Drosophila_pseudoobscura	7237	23456	23456	931	931	918	690
Drosophila_pseudotakahashii	193234	13080	13080	882	882	872	659
Drosophila_rhopaloa	1041015	23428	23428	953	953	948	718
Drosophila_rubida	30044	11848	11848	890	890	880	656
Drosophila_santomea	129105	24461	24461	952	952	950	720
Drosophila_sechellia	7238	23935	23935	952	952	950	718
Drosophila_serrata	7274	20941	20941	932	932	849	642
Drosophila_setifemur	2848635	12430	12430	907	907	901	675
Drosophila_simulans	7240	26225	26225	955	955	953	721
Drosophila_subobscura	7241	22475	22475	952	952	939	708
Drosophila_subpulchrella	1486046	25688	25688	942	942	941	711
Drosophila_suzukii	28584	23160	23160	881	881	864	655
Drosophila_takahashii	29030	20007	20007	944	944	938	706
Drosophila_teissieri	7243	22853	22853	943	943	939	712
Drosophila_virilis	7244	23429	23429	936	936	932	706
Drosophila_willistoni	7260	21170	21170	938	938	936	707
Drosophila_yakuba	7245	25398	25398	953	953	952	720
Episyrphus_balteatus	286459	23026	23026	954	954	954	713
Eumeta_japonica	151549	96513	96513	847	847	843	644
Eupeodes_corollae	290404	22320	22320	953	953	952	716
Euphydryas_editha	104508	26018	26018	945	945	945	710
Galleria_mellonella	7137	23155	23155	959	959	951	711
Glossina_fuscipes	7396	22320	22320	939	939	933	705
Haliotis_rufescens	6454	55609	55609	957	957	957	716
Helicoverpa_armigera	29058	28010	28010	916	916	904	680
Helicoverpa_zea	7113	23696	23696	964	964	962	723
Hermetia_illucens	343691	24828	24828	969	969	963	722
Hyposmocoma_kahamanoa	1477025	20437	20437	928	928	922	694
Iphiclides_podalirius	110791	20212	20212	836	836	836	635
Leguminivora_glycinivorella	1035111	23735	23735	899	899	820	604
Leptidea_sinapis	189913	22285	22285	953	953	953	719
Lucilia_cuprina	7375	18864	18864	968	968	964	722
Lucilia_sericata	13632	23700	23700	888	888	853	636
Lutzomyia_longipalpis	7200	20287	20287	956	956	952	714
Manduca_sexta	7130	24854	24854	854	854	827	617
Maniola_hyperantus	2795564	17675	17675	959	959	944	710
Maniola_jurtina	191418	25734	25734	961	961	957	715
Melitaea_cinxia	113334	14667	14667	966	966	959	719
Musca_domestica	7370	21304	21304	944	944	908	680
Mythimna_separata	271217	17542	17542	949	949	949	718
Nymphalis_io	171585	21050	21050	968	968	968	727
Ostrinia_furnacalis	93504	23871	23871	956	956	940	702
Papilio_machaon	76193	18225	18225	954	954	950	714
Papilio_polytes	76194	16633	16633	939	939	924	698
Papilio_xuthus	66420	19075	19075	956	956	948	714
Pararge_aegeria	116150	20956	20956	966	966	961	719
Parnassius_apollo	110799	30102	30102	945	945	929	705
Pectinophora_gossypiella	13191	23452	23452	956	956	955	718
Phlebotomus_papatasi	29031	20318	20318	945	945	939	704
Phthorimaea_operculella	192464	16619	16619	898	898	898	674
Pieris_brassicae	7116	21929	21929	955	955	954	717
Pieris_macdunnoughi	345717	18654	18655	946	946	946	708
Pieris_napi	78633	23367	23367	958	958	956	719
Pieris_rapae	64459	20497	20497	953	953	953	714
Plodia_interpunctella	58824	26649	26649	964	964	963	722
Polypedilum_vanderplanki	319348	19128	19128	949	949	949	709
Sabethes_cyaneus	53552	17957	17957	936	936	934	706
Sander_lucioperca	283035	56557	56899	930	930	928	718
Sarcophaga_bullata	7385	15763	15763	884	884	882	667
Scaptodrosophila_lebanonensis	7225	19800	19800	943	943	943	712
Sitodiplosis_mosellana	263140	32394	32394	936	936	927	699
Spodoptera_exigua	7107	13955	13955	921	921	921	693
Spodoptera_frugiperda	7108	29539	29539	954	954	948	712
Spodoptera_littoralis	7109	13294	13297	940	940	936	706
Spodoptera_litura	69820	22882	22882	954	954	949	713
Stomoxys_calcitrans	35570	22450	22450	966	966	941	707
Tribolium_castaneum	7070	22610	22610	961	961	955	715
Trichoplusia_ni	7111	23658	23658	892	892	883	667
Tuta_absoluta	702717	17885	17885	862	862	862	645
Ursus_arctos	9644	51919	52138	953	953	951	724
Vanessa_atalanta	42275	19685	19685	971	971	970	728
Vanessa_cardui	171605	19836	19836	971	971	970	729
Vanessa_tameamea	334116	18760	18760	968	968	963	722
Zaprionus_bogoriensis	309927	11883	11883	898	898	885	675
Zerene_cesonia	33412	17465	17465	925	925	921	691
Zeugodacus_cucurbitae	28588	27226	27226	965	965	964	726
