species	NCBI.taxid	No_AAS_total	No_CDS_total	No_AAS_Busco	No_CDS_Busco	No_AAS_CDS_corresponding	nb_gene_to_study
Acinonyx_jubatus	32536	56261	56361	953	953	951	724
Acomys_russatus	60746	33440	33557	902	902	899	709
Ailuropoda_melanoleuca	9646	53684	53813	929	929	913	711
Alligator_mississippiensis	8496	42388	42494	968	968	958	721
Antechinus_flavipes	38775	40823	41031	913	913	897	677
Aotus_nancymaae	37293	47568	47641	923	923	887	682
Apodemus_sylvaticus	10129	46365	46632	918	918	915	708
Aquila_chrysaetos	8962	52413	52443	932	932	926	720
Artibeus_jamaicensis	9417	42600	42787	924	924	912	708
Arvicanthis_niloticus	61156	41473	41699	893	893	892	700
Arvicola_amphibius	1047088	40754	40990	863	863	838	658
Athalia_rosae	37344	22113	22113	971	971	971	728
Balaenoptera_acutorostrata	9767	37625	37684	927	927	882	686
Balaenoptera_musculus	9771	52259	52306	853	853	837	656
Bison_bison	9901	35554	35692	937	937	902	689
Bos_mutus	72004	28881	28990	934	934	897	690
Bos_taurus	9913	63687	63863	942	942	800	610
Bubalus_bubalis	89462	64378	64670	900	900	895	698
Budorcas_taxicolor	37181	28977	29116	876	876	873	679
Caenorhabditis_elegans	6239	28350	30301	866	866	866	673
Callithrix_jacchus	9483	85133	85291	869	869	862	680
Callorhinus_ursinus	34884	46164	46221	806	806	802	619
Camelus_dromedarius	9838	51736	51822	957	957	925	709
Camelus_ferus	419612	54519	54601	937	937	934	713
Canis_lupus	9612	62946	63166	931	931	924	719
Capra_hircus	9925	42653	42815	936	936	926	714
Carlito_syrichta	1868482	33081	33260	915	915	896	694
Castor_canadensis	51338	37422	37636	935	935	803	611
Cavia_porcellus	10141	37360	37654	950	950	914	688
Cebus_imitator	2715852	55885	56047	875	875	867	686
Ceratitis_capitata	7213	22949	22949	970	970	967	727
Ceratotherium_simum	9807	33629	33782	959	959	949	724
Cercocebus_atys	9531	65920	66135	939	939	909	695
Cervus_canadensis	1574408	56132	56339	841	841	837	656
Cervus_elaphus	9860	19243	19243	828	828	828	627
Cervus_hanglu	2100816	19312	19312	846	846	845	659
Chinchilla_lanigera	34839	45448	45609	949	949	841	631
Chlorocebus_sabaeus	60711	61846	62042	872	872	858	670
Choloepus_didactylus	27675	54527	54704	796	796	781	616
Chrysochloris_asiatica	185453	25227	25375	926	926	907	701
Colobus_angolensis	54131	38656	38775	914	914	883	690
Condylura_cristata	143302	29166	29250	929	929	916	693
Crocuta_crocuta	9678	17057	19698	831	831	828	642
Dasypus_novemcinctus	9361	38156	38498	927	927	879	673
Delphinapterus_leucas	9749	50490	50540	938	938	934	716
Desmodus_rotundus	9430	44446	44497	914	914	838	656
Dipodomys_ordii	10020	29351	29552	942	942	926	704
Dipodomys_spectabilis	105255	37300	37670	909	909	905	698
Dromiciops_gliroides	33562	43302	43431	854	854	801	623
Echinops_telfairi	9371	32083	32137	894	894	864	666
Elephantulus_edwardii	28737	25209	25317	861	861	836	653
Elephas_maximus	9783	53692	53885	941	941	940	716
Enhydra_lutris	34882	36603	36734	944	944	937	717
Eptesicus_fuscus	29078	38834	39013	904	904	904	707
Equus_asinus	9793	42247	42462	950	950	947	723
