species	NCBI.taxid	No_AAS_total	No_CDS_total	No_AAS_Busco	No_CDS_Busco	No_AAS_CDS_corresponding	nb_gene_to_study
Acanthoscelides_obtectus	200917	60987	61041	826	826	826	625
Acyrthosiphon_pisum	7029	27984	27984	874	874	815	615
Adelges_cooleyi	133065	24967	24967	912	912	909	684
Aethina_tumida	116153	21401	21401	934	934	934	705
Agrilus_planipennis	224129	22159	22159	865	865	861	650
Alligator_mississippiensis	8496	42388	42494	968	968	958	721
Anoplophora_glabripennis	217634	20632	20632	946	946	936	704
Anthonomus_grandis	7044	23731	23731	947	947	944	712
Aphis_craccivora	307492	32062	32062	903	903	903	688
Aphis_glycines	307491	18358	18358	755	755	753	602
Aphis_gossypii	80765	26009	26009	906	906	899	676
Apolygus_lucorum	248454	20111	20353	878	878	874	653
Aquila_chrysaetos	8962	52413	52443	932	932	926	720
Asbolus_verrucosus	1661398	15272	15272	925	925	925	701
Athalia_rosae	37344	22113	22113	971	971	971	728
Bemisia_tabaci	7038	22737	22737	935	935	913	689
Blattella_germanica	6973	29581	29581	912	912	911	682
Brassicogethes_aeneus	1431903	16015	16015	914	914	913	685
Caenorhabditis_elegans	6239	28350	30301	866	866	866	673
Callosobruchus_maculatus	64391	31345	31361	825	825	824	622
Ceratitis_capitata	7213	22949	22949	970	970	967	727
Ceutorhynchus_assimilis	467358	15470	15471	901	901	901	677
Chrysoperla_carnea	189513	17649	17649	949	949	949	712
Cimex_lectularius	79782	24194	24194	945	945	939	706
Cinara_cedri	506608	22234	22497	875	875	875	661
Cloeon_dipterum	197152	30082	30161	926	926	926	699
Coccinella_septempunctata	41139	23111	23111	945	945	943	712
Coptotermes_formosanus	36987	12984	12984	913	913	884	668
Cryptotermes_secundus	105785	26728	26728	947	947	940	713
Daktulosphaira_vitifoliae	58002	29510	29510	915	915	914	688
Dendroctonus_ponderosae	77166	20551	20551	910	910	835	626
Diabrotica_balteata	107213	15923	15923	904	904	903	689
Diabrotica_virgifera	50389	28061	28061	936	936	818	613
Diaphorina_citri	121845	24727	24727	837	837	781	593
Frankliniella_occidentalis	133901	27492	27492	960	960	934	696
Gonioctena_quinquepunctata	63699	40565	40565	919	919	918	692
Gryllus_bimaculatus	6999	25032	25032	913	913	911	688
Haliotis_rufescens	6454	55609	55609	957	957	957	716
Halyomorpha_halys	286706	25026	25026	947	947	931	703
Harmonia_axyridis	115357	23861	23861	923	923	922	703
Ignelater_luminosus	2038154	27558	27558	905	905	898	681
Ischnura_elegans	197161	27076	27076	969	969	969	724
Leptinotarsa_decemlineata	7539	19038	19038	926	926	849	640
Megalurothrips_usitatus	439358	12782	12782	857	857	851	645
Melanaphis_sacchari	742174	19074	19074	926	926	921	695
Myzus_persicae	13164	23910	23910	909	909	902	685
Nezara_viridula	85310	20098	20099	870	870	869	654
Nicrophorus_vespilloides	110193	19577	19577	959	959	953	715
Nilaparvata_lugens	108931	32453	32453	885	885	857	645
Onthophagus_taurus	166361	21668	21668	931	931	931	706
Pediculus_humanus	121225	10775	10775	962	962	961	720
Phaedon_cochleariae	80249	13464	13464	859	859	859	653
Photinus_pyralis	7054	32294	32294	814	814	811	611
Phyllotreta_striolata	444603	12196	12196	913	913	912	683
Psylliodes_chrysocephala	2598218	17475	17476	894	894	891	680
Rhopalosiphum_maidis	43146	19503	19503	889	889	875	657
Sander_lucioperca	283035	56557	56899	930	930	928	718
Schistocerca_americana	7009	26125	26125	936	936	934	699
Schistocerca_cancellata	274614	26362	26362	937	937	932	696
Schistocerca_gregaria	7010	37988	37988	924	924	923	692
Schistocerca_nitens	7011	28445	28445	942	942	942	708
Schistocerca_piceifrons	274613	25717	25717	919	919	907	683
Schistocerca_serialis	2023354	27654	27654	934	934	925	696
Sipha_flava	143950	21316	21316	908	908	894	673
Sitophilus_oryzae	7048	23498	23498	927	927	919	692
Tenebrio_molitor	7067	21418	21418	934	934	934	703
Thrips_palmi	161013	27217	27217	948	948	940	702
Timema_podura	61482	16656	16693	809	809	800	609
Tribolium_castaneum	7070	22610	22610	961	961	955	715
Tribolium_madens	41895	20571	20571	965	965	920	691
Ursus_arctos	9644	51919	52138	953	953	951	724
Zootermopsis_nevadensis	136037	30187	30187	954	954	929	694
Zophobas_morio	2755281	30408	30408	846	846	846	636
