species	NCBI.taxid	No_AAS_total	No_CDS_total	No_AAS_Busco	No_CDS_Busco	No_AAS_CDS_corresponding	nb_gene_to_study
Alligator_mississippiensis	8496	42388	42494	968	968	958	721
Alligator_sinensis	38654	43105	43286	950	950	920	698
Amblyraja_radiata	386614	38895	38932	913	913	904	695
Aquila_chrysaetos	8962	52413	52443	932	932	926	720
Athalia_rosae	37344	22113	22113	971	971	971	728
Atractosteus_spatula	7917	15524	18711	880	880	867	658
Bombina_bombina	8345	33491	33589	908	908	855	652
Bufo_bufo	8384	38109	38156	942	942	924	696
Bufo_gargarizans	30331	38512	38582	886	886	881	670
Caenorhabditis_elegans	6239	28350	30301	866	866	866	673
Carcharodon_carcharias	13397	44456	44525	936	936	932	716
Caretta_caretta	8467	54596	54723	953	953	936	718
Ceratitis_capitata	7213	22949	22949	970	970	967	727
Chelonia_mydas	8469	71110	71295	958	958	953	721
Chelonoidis_abingdonii	106734	44358	44546	953	953	924	706
Chelydra_serpentina	8475	21003	21013	918	918	902	689
Chiloscyllium_plagiosum	36176	47685	47886	931	931	926	705
Chiloscyllium_punctatum	137246	33501	33501	921	921	914	701
Chrysemys_picta	8479	57048	57292	959	959	948	721
Crocodylus_porosus	8502	28676	28686	875	875	863	685
Crotalus_tigris	88082	51661	51843	954	954	951	712
Dermochelys_coriacea	27794	55150	55241	947	947	912	703
Eleutherodactylus_coqui	57060	34542	34542	950	950	945	709
Engystomops_pustulosus	76066	64871	64871	895	895	893	671
Erpetoichthys_calabaricus	27687	40209	40367	961	961	951	716
Eublepharis_macularius	481883	34188	34269	958	958	955	721
Gavialis_gangeticus	94835	27294	27317	859	859	849	681
Gekko_japonicus	146911	24464	24536	949	949	907	681
Geotrypetes_seraphini	260995	50018	50054	926	926	912	695
Gopherus_evgoodei	1825980	50852	51007	946	946	918	693
Gopherus_flavomarginatus	286002	53745	53896	960	960	956	723
Haliotis_rufescens	6454	55609	55609	957	957	957	716
Hemicordylus_capensis	884348	71278	71338	955	955	955	716
Hymenochirus_boettgeri	247094	28027	28027	939	939	938	702
Lacerta_agilis	80427	39267	39306	923	923	893	688
Lepisosteus_oculatus	7918	41647	41719	946	946	934	707
Leucoraja_erinacea	7782	36230	36284	914	914	898	683
Malaclemys_terrapin	8485	44760	44948	955	955	951	724
Mauremys_mutica	74926	54920	55334	927	927	923	705
Mauremys_reevesii	260615	67501	67787	951	951	942	713
Microcaecilia_unicolor	1415580	37109	37174	919	919	880	666
Naja_naja	35670	25817	25817	919	919	903	681
Nanorana_parkeri	125878	24758	24819	946	946	923	694
Notechis_scutatus	8663	31232	31291	942	942	930	706
Ophiophagus_hannah	8665	18445	18445	769	769	757	586
Pantherophis_guttatus	94885	41701	41848	957	957	949	717
Pelodiscus_sinensis	13735	38587	38784	928	928	884	683
Petromyzon_marinus	7757	37576	37576	925	925	918	692
Phrynocephalus_forsythii	171643	20194	20194	904	904	893	675
Phrynosoma_platyrhinos	52577	16750	16750	830	830	801	616
Platysternon_megacephalum	55544	21529	21529	909	909	909	689
Podarcis_muralis	64176	50554	50591	935	935	906	684
Podarcis_raffonei	65483	51561	51627	946	946	940	719
Pogona_vitticeps	103695	38712	38792	959	959	946	716
Polypterus_senegalus	55291	42243	42457	948	948	942	713
Pristis_pectinata	685728	37177	37265	925	925	868	654
Protobothrops_mucrosquamatus	103944	23351	23450	935	935	882	666
Protopterus_annectens	7888	37069	37239	947	947	866	651
Pseudonaja_textilis	8673	31677	31722	949	949	938	703
Python_bivittatus	176946	32724	32814	957	957	948	718
Rana_temporaria	8407	41969	42090	912	912	890	686
Rhinatrema_bivittatum	194408	49282	49339	936	936	914	686
Rhincodon_typus	259920	36827	36899	929	929	910	690
Sander_lucioperca	283035	56557	56899	930	930	928	718
Sceloporus_undulatus	8520	43690	43731	944	944	913	687
Scyliorhinus_canicula	7830	49345	49579	891	891	856	663
Scyliorhinus_torazame	75743	27605	27605	901	901	894	685
Spea_bombifrons	233779	27799	27833	959	959	958	723
Sphaerodactylus_townsendi	933632	38121	38166	945	945	920	692
Stegostoma_fasciatum	378071	44136	44199	949	949	944	709
Terrapene_carolina	158814	34138	34350	878	878	870	660
Thamnophis_elegans	35005	30876	31010	926	926	872	666
Trachemys_scripta	34903	42076	42199	921	921	880	684
Tribolium_castaneum	7070	22610	22610	961	961	955	715
Ursus_arctos	9644	51919	52138	953	953	951	724
Varanus_komodoensis	61221	18293	18293	797	797	797	615
Xenopus_tropicalis	8364	39662	39721	949	949	792	593
Zootoca_vivipara	8524	44296	44363	943	943	933	710
