species	NCBI.taxid	No_AAS_total	No_CDS_total	No_AAS_Busco	No_CDS_Busco	No_AAS_CDS_corresponding	nb_gene_to_study
Acanthochromis_polyacanthus	80966	36596	36621	920	920	904	697
Acanthopagrus_latus	8177	54558	54718	928	928	925	718
Albula_goreensis	1534307	23626	23626	822	822	822	636
Alligator_mississippiensis	8496	42388	42494	968	968	958	721
Alosa_alosa	278164	43714	43775	879	879	847	648
Alosa_sapidissima	34773	56007	56159	905	905	903	694
Ameiurus_melas	219545	24354	24354	913	913	913	699
Amphiprion_ocellaris	80972	47242	47359	918	918	916	706
Anabas_testudineus	64144	40360	40551	917	917	914	707
Anarrhichthys_ocellatus	433405	41887	41903	909	909	899	701
Anguilla_anguilla	7936	58091	58286	839	839	835	645
Anoplopoma_fimbria	229290	31719	31819	920	920	887	690
Aquila_chrysaetos	8962	52413	52443	932	932	926	720
Archocentrus_centrarchus	63155	41106	41345	915	915	890	685
Astatotilapia_calliptera	8154	52718	52859	912	912	909	702
Astyanax_mexicanus	7994	52494	52668	910	910	910	700
Athalia_rosae	37344	22113	22113	971	971	971	728
Betta_splendens	158456	49263	49476	919	919	917	711
Boleophthalmus_pectinirostris	150288	33893	34005	929	929	898	693
Brienomyrus_brachyistius	42636	62316	62372	871	871	864	669
Caenorhabditis_elegans	6239	28350	30301	866	866	866	673
Caranx_melampygus	181461	30859	30859	834	834	815	631
Ceratitis_capitata	7213	22949	22949	970	970	967	727
Chaenocephalus_aceratus	36190	39863	39863	857	857	833	646
Chanos_chanos	29144	29908	30105	894	894	891	689
Cheilinus_undulatus	241271	40002	40068	913	913	912	706
Chelmon_rostratus	109905	33912	34085	930	930	926	718
Clarias_gariepinus	13013	40777	41027	927	927	924	706
Clupea_harengus	7950	46831	47030	886	886	878	673
Colossoma_macropomum	42526	43618	43938	910	910	899	695
Coryphaenoides_rupestris	163118	38853	38853	888	888	886	676
Cottoperca_gobio	56716	37849	37909	867	867	850	666
Ctenopharyngodon_idella	7959	59198	59323	905	905	897	687
Cyclopterus_lumpus	8103	38625	38667	928	928	909	696
Cynoglossus_semilaevis	244447	39239	39251	932	932	891	683
Cyprinodon_tularosa	77115	42363	42560	937	937	934	722
Cyprinodon_variegatus	28743	36524	36633	928	928	913	700
Dallia_pectoralis	75939	34041	34046	873	873	873	673
Danio_aesculapii	1142201	36526	36666	906	906	881	674
Danionella_translucida	623744	35381	35770	898	898	879	668
Denticeps_clupeoides	299321	50058	50150	839	839	831	641
Dicentrarchus_labrax	13489	54417	54655	926	926	919	713
Dissostichus_eleginoides	100907	35554	35554	863	863	855	654
Dunckerocampus_dactyliophorus	161453	48560	48579	930	930	927	712
Echeneis_naucrates	173247	38188	38340	921	921	916	711
Electrophorus_electricus	8005	45294	45431	918	918	908	694
Epinephelus_fuscoguttatus	293821	45198	45301	932	932	926	717
Epinephelus_lanceolatus	310571	42970	43029	925	925	906	703
Epinephelus_moara	300413	42851	42926	929	929	924	717
Esox_lucius	8010	58111	58192	908	908	857	663
Etheostoma_cragini	417921	45178	45242	921	921	917	708
Etheostoma_spectabile	54343	45686	45778	851	851	817	629
Fundulus_heteroclitus	8078	49534	49787	895	895	883	681
Gadus_morhua	8049	45039	45098	935	935	911	693
Gambusia_affinis	33528	49230	49373	933	933	926	713
Gasterosteus_aculeatus	69293	45395	45534	920	920	900	691
Girardinichthys_multiradiatus	208333	48638	48818	887	887	886	685
Gouania_willdenowi	441366	43478	43489	903	903	882	680
Gymnodraco_acuticeps	8218	45727	45847	898	898	843	651
Haliotis_rufescens	6454	55609	55609	957	957	957	716
Haplochromis_burtoni	8153	48919	49023	916	916	885	682
Hemibagrus_wyckioides	337641	22794	22794	913	913	913	699
Hippocampus_comes	109280	41961	41983	945	945	936	713
Hippocampus_zosterae	109293	42893	42902	932	932	928	705
Hippoglossus_hippoglossus	8267	47030	47083	928	928	921	714
Hippoglossus_stenolepis	195615	42078	42138	935	935	932	718
Hypomesus_transpacificus	137520	38428	38495	854	854	849	660
Ictalurus_furcatus	66913	44245	44470	902	902	900	691
Ictalurus_punctatus	7998	50969	51173	889	889	796	612
Kryptolebias_marmoratus	37003	42533	42570	941	941	928	714
Labeo_rohita	84645	47439	47779	916	916	903	694
Labrus_bergylta	56723	36555	36848	868	868	762	585
Lampris_incognitus	2546036	29527	29635	917	917	915	707
Larimichthys_crocea	215358	46335	46391	931	931	926	715
Lates_calcarifer	8187	45223	45427	891	891	878	682
Liparis_tanakae	230148	68289	68289	866	866	866	656
Lucifuga_dentata	670423	29968	29968	889	889	879	680
Mastacembelus_armatus	205130	42270	42594	927	927	925	713
Maylandia_zebra	106582	46173	46358	907	907	905	701
Megalobrama_amblycephala	75352	59927	60670	916	916	898	686
Megalops_atlanticus	7932	23905	23905	793	793	793	615
Megalops_cyprinoides	118141	40137	40195	800	800	798	627
Melanotaenia_boesemani	1250792	45791	46013	935	935	931	718
Menidia_menidia	238744	21493	21493	805	805	757	588
Micropterus_dolomieu	147949	48260	48455	936	936	920	711
Micropterus_salmoides	27706	47899	48385	858	858	832	645
Misgurnus_anguillicaudatus	75329	53917	54278	895	895	882	677
Monopterus_albus	43700	40334	40372	938	938	884	677
Mugil_cephalus	48193	44626	44782	922	922	921	711
Muraenolepis_orangiensis	630683	34850	34850	864	864	852	658
Myripristis_murdjan	586833	38141	38366	917	917	908	704
Nematolebias_whitei	451745	24104	24108	931	931	866	666
Neolamprologus_brichardi	32507	36390	36452	927	927	902	694
Nothobranchius_furzeri	105023	36873	36915	943	943	880	673
Notolabrus_celidotus	1203425	39434	39563	886	886	854	659
Notothenia_coriiceps	8208	32182	32201	875	875	855	644
Onychostoma_macrolepis	369639	24754	24754	891	891	891	683
Oreochromis_aureus	47969	49669	49985	930	930	927	720
Oreochromis_niloticus	8128	61679	62032	928	928	918	709
Oryzias_javanicus	123683	21454	21454	865	865	865	663
Oryzias_latipes	8090	44766	44871	931	931	925	713
Oryzias_melastigma	30732	43112	43304	931	931	893	685
Pangasianodon_gigas	30993	22017	22338	906	906	906	698
Pangasianodon_hypophthalmus	310915	47335	47541	918	918	918	704
Pangasius_djambal	1691987	22470	22482	915	915	915	699
Paralichthys_olivaceus	8255	36123	36127	934	934	915	705
Parambassis_ranga	210632	40932	41023	910	910	906	703
Paramormyrops_kingsleyae	1676925	55288	55349	888	888	886	684
Perca_flavescens	8167	42939	43197	935	935	927	717
Perca_fluviatilis	8168	49921	50212	931	931	902	696
Periophthalmus_magnuspinnatus	409849	27511	27601	926	926	920	708
Pimephales_promelas	90988	48455	48589	896	896	876	672
Plectropomus_leopardus	160734	36199	36279	909	909	860	660
Pleuronectes_platessa	8262	37127	37236	934	934	926	718
Poecilia_formosa	48698	49495	49631	891	891	891	685
Poecilia_latipinna	48699	47072	47233	909	909	905	695
Poecilia_mexicana	48701	47406	47558	914	914	908	696
Poecilia_reticulata	8081	43715	43783	939	939	831	638
Poeciliopsis_prolifica	188132	41253	41361	887	887	858	661
Pogonophryne_albipinna	1090488	31128	31128	836	836	823	633
Prochilodus_magdalenae	148989	34724	34724	900	900	883	676
Pseudochaenichthys_georgianus	52239	37944	38061	895	895	869	674
Pseudoliparis_swirei	2059687	39420	39429	916	916	909	705
Pundamilia_nyererei	303518	38583	38653	928	928	924	714
Pungitius_pungitius	134920	43582	43626	934	934	929	714
Puntigrus_tetrazona	1606681	48681	48806	873	873	848	654
Pygocentrus_nattereri	42514	50672	50925	913	913	913	703
Salarias_fasciatus	181472	39222	39329	873	873	857	661
Sander_lucioperca	283035	56557	56899	930	930	928	718
Scatophagus_argus	75038	48218	48369	932	932	931	721
Scleropages_formosus	113540	47753	47841	879	879	878	681
Scomber_japonicus	13676	30506	30707	925	925	918	709
Scophthalmus_maximus	52904	50910	50995	934	934	934	723
Scortum_barcoo	214431	26905	26905	889	889	874	677
Sebastes_umbrosus	72105	50695	50991	919	919	911	707
Seriola_aureovittata	2871759	42699	42853	926	926	921	714
Seriola_dumerili	41447	32734	32812	929	929	922	712
Seriola_lalandi	302047	38827	38915	912	912	906	710
Silurus_asotus	30991	24309	24309	917	917	917	703
Silurus_meridionalis	175797	44389	44653	917	917	861	655
Simochromis_diagramma	43689	53676	53980	917	917	916	709
Siniperca_chuatsi	119488	58502	58704	921	921	916	707
Solea_senegalensis	28829	42011	42109	909	909	906	698
Sparus_aurata	8175	52790	53145	918	918	916	708
Sphaeramia_orbicularis	375764	42318	42559	892	892	858	667
Stegastes_partitus	144197	31597	31672	911	911	898	697
Synchiropus_splendidus	270530	44870	44913	910	910	907	699
Syngnathus_acus	161584	41949	41962	942	942	934	715
Syngnathus_scovelli	161590	47846	47855	942	942	942	720
Tachysurus_fulvidraco	1234273	55521	55926	913	913	912	698
Takifugu_bimaculatus	433685	20140	20140	822	822	818	630
Takifugu_flavidus	433684	29408	29408	883	883	883	680
Takifugu_rubripes	31033	46759	46831	880	880	874	670
Tetraodon_nigroviridis	99883	27918	27918	893	893	884	680
Thalassophryne_amazonica	390379	36356	36431	926	926	879	671
Thunnus_albacares	8236	48150	48429	931	931	931	722
Thunnus_maccoyii	8240	49507	49841	930	930	930	721
Toxotes_jaculatrix	941984	38398	38515	930	930	926	717
Trematomus_bernacchii	40690	40874	41199	920	920	885	676
Tribolium_castaneum	7070	22610	22610	961	961	955	715
Triplophysa_rosa	992332	25821	26023	911	911	910	700
Triplophysa_tibetana	1572043	24310	24310	898	898	898	686
Ursus_arctos	9644	51919	52138	953	953	951	724
Xiphias_gladius	8245	44415	44597	932	932	928	716
Xiphophorus_couchianus	32473	47076	47192	936	936	935	724
Xiphophorus_hellerii	8084	46248	46429	920	920	914	710
Xiphophorus_maculatus	8083	43564	43711	937	937	934	723
