Species	Base-substitution Mutation rate	Silent-site diversity	Ne	ref mutation rate	ref silent-site Diversity
Acanthaster_cf.	0.00000000913	NA	125000	Popovic et al. (2023)	NA
Acyrthosiphon_pisum	0.00000000027	0.00425	3951981.10488093	Fazalova and Nevado (2020)	Fazalova and Nevado (2020)
Anopheles_coluzzii	0.000000001	0.026	6673511.2936345	Rashid et al. (2022)	Rottshaeffer et al. (2014)
Anopheles_stephensi	0.00000000136	0.0138248818611414	2576964.81149493	Rashid et al. (2022)	F. Ali (NCBI sequences)
Apis_mellifera	0.0000000068	0.00443148926237162	163647.60194272	Yang et al. (2015)	F. Ali (NCBI sequences)
Bombus_terrestris	0.00000000358	0.00248309409888357	173832.067280151	Liu et al. (2017)	F. Ali (NCBI sequences)
Bombyx_mori	0.0000000041	0.00945836762688615	582236.742503192	Han et al. (2023)	F. Ali (NCBI sequences)
Caenorhabditis_briggsae	0.0000000013277	0.00142	279618.889809445	Denver et al. (2012)	Cutter and Choi (2010)
Caenorhabditis_elegans	0.00000000145	0.00187	124155.298307105	Denver et al. (2012)	Cutter (2006)
Chironomus_riparius	0.000000005422	0.0103337296868807	481447.375312357	Waldvogel and Pfenninger (2021)	F. Ali (NCBI sequences)
Daphnia_galeata	0.000000000745	0.0092	3115914.73773481	Pfenninger et al. (2022)	Pfenninger et al. (2022)
Daphnia_magna	0.00000000896	0.015	424900.290065265	Ho et al. (2020)	Haag et al. (2009)
Daphnia_pulex	0.000000003935	0.01457	1494285.89485586	Keith et al. (2016)	Maruki et al. (2022)
Drosophila_melanogaster	0.00000000486	0.0127	627824.294333939	Wang et al. (2022)	Wang et al. (2022)
Drosophila_pseudoobscura	0.00000000805	0.01	350177.774106756	Krasovec (2021)	Manzano-Winkler et al. (2013)
Drosophila_simulans	0.0000000045	0.0225	1465439.57485146	Wang et al. (2022)	Wang et al. (2022)
Heliconius_melpomene	0.0000000029	0.02675	2369416.37067415	Keightley et al. (2015)	Martin et al. (2016)
Pristionchus_pacificus	0.000000002	0.014	1774847.87018256	Weller et al. (2014)	Rodelsperger et al. (2014)
Ailurus_fulgens	0.0000000131	0.00131	25032.792958776	Bergeron et al. (2023)	Bergeron et al. (2023)
Amphiprion_ocellaris	0.00000000737	0.00315	107189.750835893	Bergeron et al. (2023)	Bergeron et al. (2023)
Aotus_nancymaae	0.0000000081	NA	NA	Thomas et al. (2018)	NA
Aptenodytes_forsteri	0.0000000141	0.003817397	67943.712094349	Bergeron et al. (2023)	Bergeron et al. (2023)
Ara_glaucogularis	0.00000001	0.000958615	23988.3706118941	Bergeron et al. (2023)	Bergeron et al. (2023)
Arctocephalus_gazella	0.00000000678	0.002990232	110589.98173767	Bergeron et al. (2023)	Bergeron et al. (2023)
Balaena_mysticetus	0.000000012	NA	NA	Suarez-Menendez et al. (2023)	NA
Balaenoptera_musculus	0.0000000124	NA	NA	Suarez-Menendez et al. (2023)	NA
Balaenoptera_physalus	0.0000000088	NA	NA	Suarez-Menendez et al. (2023)	NA
Betta_splendens	0.00000000497	0.00322	185229.466404759	Bergeron et al. (2023)	Bergeron et al. (2023)
Bos_taurus	0.0000000108779	NA	NA	Harland (2016)	NA
Callithrix_jacchus	0.0000000043	NA	NA	Yang et al. (2021)	NA
