#The RNA-seq samples used in the study
species	Run	Experiment	SRAStudy	BioProject	Sample	BioSample	download_path
Abrus_precatorius	SRR7822999	SRX4674142	SRP161602	PRJNA482671	SRS3768575	SAMN10039699	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/7822/SRR7822999/SRR7822999.lite.1
Abrus_precatorius	SRR7823852	SRX4674977	SRP161602	PRJNA482671	SRS3768575	SAMN10039699	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/7823/SRR7823852/SRR7823852.lite.1
Abrus_precatorius	SRR7823853	SRX4674978	SRP161602	PRJNA482671	SRS3768575	SAMN10039699	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/7823/SRR7823853/SRR7823853.lite.1
Abrus_precatorius	SRR7823854	SRX4674979	SRP161602	PRJNA482671	SRS3768575	SAMN10039699	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/7823/SRR7823854/SRR7823854.lite.1
Abrus_precatorius	SRR7823855	SRX4674980	SRP161602	PRJNA482671	SRS3768575	SAMN10039699	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/7823/SRR7823855/SRR7823855.lite.1
Abrus_precatorius	SRR7823856	SRX4674981	SRP161602	PRJNA482671	SRS3768575	SAMN10039699	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/7823/SRR7823856/SRR7823856.lite.1
Acanthocheilonema_viteae	SRR3136719	SRX1507752	SRP067891	PRJNA284514	SRS1228578	SAMN04376674	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/136/SRR3136719/SRR3136719.sralite.1
Acanthocheilonema_viteae	SRR3136720	SRX1507753	SRP067891	PRJNA284514	SRS1228579	SAMN04376675	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/136/SRR3136720.sralite.1
Acanthocheilonema_viteae	SRR3136989	SRX1507758	SRP067891	PRJNA284514	SRS1228580	SAMN04376676	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/136/SRR3136989/SRR3136989.sralite.1
Acanthocheilonema_viteae	SRR3143223	SRX1507756	SRP067891	PRJNA284514	SRS1228581	SAMN04376677	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/143/SRR3143223/SRR3143223.sralite.1
Acanthocheilonema_viteae	SRR3136721	SRX1507754	SRP067891	PRJNA284514	SRS1228582	SAMN04376678	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/136/SRR3136721/SRR3136721.sralite.1
Acanthocheilonema_viteae	SRR3136990	SRX1507755	SRP067891	PRJNA284514	SRS1228583	SAMN04376679	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/136/SRR3136990/SRR3136990.sralite.1
Acanthocheilonema_viteae	SRR3136969	SRX1507757	SRP067891	PRJNA284514	SRS1228584	SAMN04376680	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/136/SRR3136969/SRR3136969.sralite.1
Acanthochromis_polyacanthus	SRR5272258	SRX2576301	SRP069797	PRJNA311159	SRS1991539	SAMN06340232	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/272/SRR5272258.sralite.1
Acanthochromis_polyacanthus	SRR5272257	SRX2576300	SRP069797	PRJNA311159	SRS1991538	SAMN06340233	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/272/SRR5272257.sralite.1
Acanthochromis_polyacanthus	SRR5272256	SRX2576299	SRP069797	PRJNA311159	SRS1991537	SAMN06340234	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/272/SRR5272256.sralite.1
Acanthochromis_polyacanthus	SRR7810962	SRX4662595	SRP160415	PRJNA489934	SRS3757830	SAMN09995079	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/810/SRR7810962.sralite.1
Acanthochromis_polyacanthus	SRR7810961	SRX4662596	SRP160415	PRJNA489934	SRS3757838	SAMN09995080	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7810961/SRR7810961
Acanthochromis_polyacanthus	SRR7810960	SRX4662597	SRP160415	PRJNA489934	SRS3757836	SAMN09995081	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7810960/SRR7810960
Acanthochromis_polyacanthus	SRR7810959	SRX4662598	SRP160415	PRJNA489934	SRS3757841	SAMN09995082	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/810/SRR7810959.sralite.1
Acanthochromis_polyacanthus	SRR7810966	SRX4662591	SRP160415	PRJNA489934	SRS3757831	SAMN09995083	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7810966/SRR7810966
Acanthochromis_polyacanthus	SRR7810965	SRX4662592	SRP160415	PRJNA489934	SRS3757833	SAMN09995084	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7810965/SRR7810965
Acanthochromis_polyacanthus	SRR7810967	SRX4662590	SRP160415	PRJNA489934	SRS3757835	SAMN09995085	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/810/SRR7810967.sralite.1
Acanthochromis_polyacanthus	SRR7810963	SRX4662594	SRP160415	PRJNA489934	SRS3757840	SAMN09995086	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7810963/SRR7810963
Acanthochromis_polyacanthus	SRR7810956	SRX4662601	SRP160415	PRJNA489934	SRS3757842	SAMN09995087	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7810956/SRR7810956
Acanthochromis_polyacanthus	SRR7810926	SRX4662631	SRP160415	PRJNA489934	SRS3757876	SAMN09995088	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/810/SRR7810926.sralite.1
Acanthochromis_polyacanthus	SRR7810933	SRX4662624	SRP160415	PRJNA489934	SRS3757868	SAMN09995089	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7810933/SRR7810933
Acanthochromis_polyacanthus	SRR7810932	SRX4662625	SRP160415	PRJNA489934	SRS3757866	SAMN09995090	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7810932/SRR7810932
Acanthochromis_polyacanthus	SRR7810935	SRX4662622	SRP160415	PRJNA489934	SRS3757861	SAMN09995091	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7810935/SRR7810935
Acanthochromis_polyacanthus	SRR7810934	SRX4662623	SRP160415	PRJNA489934	SRS3757865	SAMN09995092	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7810934/SRR7810934
Acanthochromis_polyacanthus	SRR5272240	SRX2576283	SRP069797	PRJNA311159	SRS1991521	SAMN06340250	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/272/SRR5272240.sralite.1
Acanthochromis_polyacanthus	SRR5272239	SRX2576282	SRP069797	PRJNA311159	SRS1991520	SAMN06340251	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/272/SRR5272239.sralite.1
Acanthochromis_polyacanthus	SRR5272238	SRX2576281	SRP069797	PRJNA311159	SRS1991519	SAMN06340252	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/272/SRR5272238.sralite.1
Acanthochromis_polyacanthus	SRR5272237	SRX2576280	SRP069797	PRJNA311159	SRS1991518	SAMN06340253	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/272/SRR5272237.sralite.1
Acanthochromis_polyacanthus	SRR5272236	SRX2576279	SRP069797	PRJNA311159	SRS1991517	SAMN06340254	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/272/SRR5272236.sralite.1
Acanthochromis_polyacanthus	SRR5272235	SRX2576278	SRP069797	PRJNA311159	SRS1991516	SAMN06340255	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/272/SRR5272235.sralite.1
Acanthochromis_polyacanthus	SRR5272255	SRX2576298	SRP069797	PRJNA311159	SRS1991536	SAMN06340235	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/272/SRR5272255.sralite.1
Acanthochromis_polyacanthus	SRR5272254	SRX2576297	SRP069797	PRJNA311159	SRS1991535	SAMN06340236	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/272/SRR5272254.sralite.1
Acanthochromis_polyacanthus	SRR5272253	SRX2576296	SRP069797	PRJNA311159	SRS1991534	SAMN06340237	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/272/SRR5272253.sralite.1
Acanthochromis_polyacanthus	SRR5272234	SRX2576277	SRP069797	PRJNA311159	SRS1991515	SAMN06340256	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/272/SRR5272234.sralite.1
