Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR19451809	2022-11-04 05:29:46	2022-05-31 16:35:54	21407213	6422163900	21407213	300	1942	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19451/SRR19451809/SRR19451809.lite.1	SRX15504785	Aruthenus_110G6	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP376761	PRJNA841439	NA	841439	SRS13219432	SAMN28777501	simple	7906	Acipenser ruthenus	Acipenser ruthenus_110G6	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	CHARLES UNIVERSITY	SRA1429056	NA	public	389543126630A042BD0F9365CFF1662A	C6B1BF99CBCB4BE166B7619675CC412B
SRR19502741	2022-11-04 05:29:46	2022-06-01 12:18:14	21124661	6337398300	21124661	300	1970	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19502/SRR19502741/SRR19502741.lite.1	SRX15555451	Aruthenus_110G7	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP376761	PRJNA841439	NA	841439	SRS13265186	SAMN28812810	simple	7906	Acipenser ruthenus	Acipenser ruthenus_110G7	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	CHARLES UNIVERSITY	SRA1429684	NA	public	25ABF9ECA2D1032265F14DCDD6A64209	6AC200E8707732BA73619B0E884C44DB
SRR19510840	2022-11-04 05:29:46	2022-06-01 16:08:48	15405649	4621694700	15405649	300	1416	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19510/SRR19510840/SRR19510840.lite.1	SRX15563361	Aruthenus_110G8	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP376761	PRJNA841439	NA	841439	SRS13271146	SAMN28815248	simple	7906	Acipenser ruthenus	Acipenser ruthenus_110G8	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	CHARLES UNIVERSITY	SRA1429920	NA	public	0B4B679C11A7FFABCCE2018980905CCA	0B5E3F9DD747B7C18122C343DD267164
SRR17179728	2022-06-29 10:16:55	2021-12-09 08:58:09	18567616	2952580970	18567616	159	989	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR017/17179/SRR17179728/SRR17179728.lite.1	SRX13363057	GSM5725213	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP349969	PRJNA787475	3	787475	SRS11267931	SAMN23806534	simple	7906	Acipenser ruthenus	GSM5725213	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	LABORATORY OF GENE EXPRESSION, INSTITUTE OF BIOTECHNOLOGY, CZECH ACADEMY OF SCIENCE, V.V.I.	SRA1340839	NA	public	61254444BFCF3F9D1E310DB390CBC58D	EB59F4D1DDE14E31C3B742FDFA7BDD3E
SRR17179727	2022-06-29 10:16:55	2021-12-09 09:00:03	15997601	2543903267	15997601	159	850	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17179/SRR17179727/SRR17179727.lite.1	SRX13363058	GSM5725214	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP349969	PRJNA787475	3	787475	SRS11267932	SAMN23806533	simple	7906	Acipenser ruthenus	GSM5725214	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	LABORATORY OF GENE EXPRESSION, INSTITUTE OF BIOTECHNOLOGY, CZECH ACADEMY OF SCIENCE, V.V.I.	SRA1340839	NA	public	25C6C70240F5C28F4D56622AA6349930	80540C123B49E1B8C1CAA2CBC0B60954
SRR17179726	2022-06-29 10:16:55	2021-12-09 09:01:15	28334348	4505833245	28334348	159	1496	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR017/17179/SRR17179726/SRR17179726.lite.1	SRX13363059	GSM5725215	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP349969	PRJNA787475	3	787475	SRS11267930	SAMN23806532	simple	7906	Acipenser ruthenus	GSM5725215	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	LABORATORY OF GENE EXPRESSION, INSTITUTE OF BIOTECHNOLOGY, CZECH ACADEMY OF SCIENCE, V.V.I.	SRA1340839	NA	public	9E67B803A0C46F36B840C48AF222CF70	BC3A00E315DCBD2FF6C38C16C3E6CF8A
SRR17179725	2022-06-29 10:16:55	2021-12-09 08:59:25	15232918	2422368110	15232918	159	819	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR017/17179/SRR17179725/SRR17179725.lite.1	SRX13363060	GSM5725216	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP349969	PRJNA787475	3	787475	SRS11267933	SAMN23806531	simple	7906	Acipenser ruthenus	GSM5725216	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	LABORATORY OF GENE EXPRESSION, INSTITUTE OF BIOTECHNOLOGY, CZECH ACADEMY OF SCIENCE, V.V.I.	SRA1340839	NA	public	6EDCF1845B57EA6251209E3400CAD22E	C02660CED547FE4BC74A322A8AB4B416
SRR17179724	2022-06-29 10:16:55	2021-12-09 09:00:50	19155504	3046788646	19155504	159	1009	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR017/17179/SRR17179724/SRR17179724.lite.1	SRX13363061	GSM5725217	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP349969	PRJNA787475	3	787475	SRS11267935	SAMN23806530	simple	7906	Acipenser ruthenus	GSM5725217	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	LABORATORY OF GENE EXPRESSION, INSTITUTE OF BIOTECHNOLOGY, CZECH ACADEMY OF SCIENCE, V.V.I.	SRA1340839	NA	public	92CD1CE42A1970E46C15265F3F4988D3	F97D6FCBAC0BD420BDB990D195D9D407
SRR17179723	2022-06-29 10:16:55	2021-12-09 08:55:43	7350792	1169141350	7350792	159	389	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR017/17179/SRR17179723/SRR17179723.lite.1	SRX13363062	GSM5725218	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP349969	PRJNA787475	3	787475	SRS11267934	SAMN23806529	simple	7906	Acipenser ruthenus	GSM5725218	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	LABORATORY OF GENE EXPRESSION, INSTITUTE OF BIOTECHNOLOGY, CZECH ACADEMY OF SCIENCE, V.V.I.	SRA1340839	NA	public	62273A110FB4030DF82B14CA7BAAF62D	665CC9C7EB3C4933C52A2A30CAEB7396
SRR17179722	2022-06-29 10:16:55	2021-12-09 09:02:49	23710909	3771215211	23710909	159	1250	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR017/17179/SRR17179722/SRR17179722.lite.1	SRX13363063	GSM5725219	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP349969	PRJNA787475	3	787475	SRS11267936	SAMN23806528	simple	7906	Acipenser ruthenus	GSM5725219	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	LABORATORY OF GENE EXPRESSION, INSTITUTE OF BIOTECHNOLOGY, CZECH ACADEMY OF SCIENCE, V.V.I.	SRA1340839	NA	public	2697E392DF09C6690E96D2D8250BF166	77303A4CA109787ED811EDD46B63D0B7
SRR17179721	2022-06-29 10:16:55	2021-12-09 08:57:39	12739074	2025866798	12739074	159	686	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR017/17179/SRR17179721/SRR17179721.lite.1	SRX13363064	GSM5725220	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP349969	PRJNA787475	3	787475	SRS11267937	SAMN23806527	simple	7906	Acipenser ruthenus	GSM5725220	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	LABORATORY OF GENE EXPRESSION, INSTITUTE OF BIOTECHNOLOGY, CZECH ACADEMY OF SCIENCE, V.V.I.	SRA1340839	NA	public	B76E43441EF48A26BEB80188941D370F	ADAD43A215F6630C3162F38A52836868
