Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR17216034	2022-05-19 09:22:32	2021-12-13 13:55:05	67857992	20357397600	67857992	300	6077	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17216/SRR17216034/SRR17216034.lite.1	SRX13395815		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	SRP350516	PRJNA788430	3	788430	SRS11298976	SAMN23970876	simple	60746	Acomys russatus	GSM5730459	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA1342397	NA	public	8D60E17ECAFDBE9B69B581D1F874129F	DFC3D9D36E2B03FA03E1F34C1530FDF5
SRR17216035	2022-05-19 09:22:32	2021-12-13 12:41:51	59002742	17700822600	59002742	300	5321	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR017/17216/SRR17216035/SRR17216035.lite.1	SRX13395816		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	SRP350516	PRJNA788430	3	788430	SRS11298977	SAMN23970919	simple	60746	Acomys russatus	GSM5730460	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA1342397	NA	public	A6FA050AD3CB92ECD7851948B3ACB9AD	F5B3648A5B4BFD3089AC65141E071C4B
SRR17216036	2022-05-19 09:22:33	2021-12-13 13:21:39	73748715	22124614500	73748715	300	6646	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17216/SRR17216036/SRR17216036.lite.1	SRX13395913		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	SRP350516	PRJNA788430	3	788430	SRS11299074	SAMN23970920	simple	60746	Acomys russatus	GSM5730461	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA1342397	NA	public	DA9C892C3B556D12D54B618E40EBBD7D	E83F8ECB88CA3992025A0AEC917949D5
SRR17216037	2022-05-19 09:22:33	2021-12-13 13:05:08	72722214	21816664200	72722214	300	6523	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR017/17216/SRR17216037/SRR17216037.lite.1	SRX13395914		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	SRP350516	PRJNA788430	3	788430	SRS11299075	SAMN23970921	simple	60746	Acomys russatus	GSM5730462	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA1342397	NA	public	7DF057CCB8626514999C4886647B19C8	4A5AE4015D9A31AEFC03858A6DAECB71
SRR17216038	2022-05-19 09:22:33	2021-12-13 13:25:48	76124451	22837335300	76124451	300	6783	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17216/SRR17216038/SRR17216038.lite.1	SRX13395915		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	SRP350516	PRJNA788430	3	788430	SRS11299076	SAMN23970922	simple	60746	Acomys russatus	GSM5730463	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA1342397	NA	public	306459952D6F485278A7B718376CDBF2	47A288B08912A603BBF165E8DEC05E86
SRR17216039	2022-05-19 09:22:33	2021-12-13 13:28:18	77948501	23384550300	77948501	300	6979	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17216/SRR17216039/SRR17216039.lite.1	SRX13395916		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	SRP350516	PRJNA788430	3	788430	SRS11299077	SAMN23970923	simple	60746	Acomys russatus	GSM5730464	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA1342397	NA	public	A6586363D947D6982C68D3FD1E00AF6A	64D68A5287DFC7A5DAA53D66196A86B1
SRR17216040	2022-05-19 09:22:33	2021-12-13 12:45:08	58121882	17436564600	58121882	300	5234	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17216/SRR17216040/SRR17216040.lite.1	SRX13395917		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	SRP350516	PRJNA788430	3	788430	SRS11299078	SAMN23970924	simple	60746	Acomys russatus	GSM5730465	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA1342397	NA	public	EB2FBD018149617DEC5671EAC27663C5	BF5147161520A9D791A5A432445C05AB
SRR17216041	2022-05-19 09:22:33	2021-12-13 14:00:54	70697552	21209265600	70697552	300	6300	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17216/SRR17216041/SRR17216041.lite.1	SRX13395918		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	SRP350516	PRJNA788430	3	788430	SRS11299079	SAMN23970877	simple	60746	Acomys russatus	GSM5730466	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA1342397	NA	public	D41ECCB072B56E88029AB73543589926	4E21873013C5EFB3A3A99E5A1ECF71FB
SRR17216042	2022-05-19 09:22:33	2021-12-13 13:29:22	65427498	19628249400	65427498	300	5859	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17216/SRR17216042/SRR17216042.lite.1	SRX13395919		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	SRP350516	PRJNA788430	3	788430	SRS11299080	SAMN23970878	simple	60746	Acomys russatus	GSM5730467	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA1342397	NA	public	79F5D7F8B044FE8E5C682F805281D1B1	AB669B652C07722A7FF9054221D11017
SRR17216043	2022-05-19 09:22:33	2021-12-13 13:37:24	73685396	22105618800	73685396	300	6615	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17216/SRR17216043/SRR17216043.lite.1	SRX13395920		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	SRP350516	PRJNA788430	3	788430	SRS11299081	SAMN23970879	simple	60746	Acomys russatus	GSM5730468	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA1342397	NA	public	6EC90314B5C72B915E06FDB443FFC3B7	029BDAD10D24F5D98656CB1BD401A980
