Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR7454528	2018-06-29 04:05:13	2018-06-29 04:01:18	14949330	3019764660	14949330	202	2039		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/454/SRR7454528.sralite.1	SRX4325050	Ap_Embryo_Sex_T1A_1	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP151634	PRJNA478421		478421	SRS3487497	SAMN09515188	simple	7029	Acyrthosiphon pisum	Ap_Embryo_Sex_T1A					not applicable		no					INRA	SRA730337		public	814E94AF0626830647D6E309AA5DBF40	7F32AED4B7708E4B4E23418CA7547B25
SRR7454529	2018-06-29 04:03:14	2018-06-29 04:00:47	14717785	2972992570	14717785	202	2012		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR745/4529/SRR7454529.sralite.1	SRX4325049	Ap_Embryo_Sex_T1A_2	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP151634	PRJNA478421		478421	SRS3487497	SAMN09515188	simple	7029	Acyrthosiphon pisum	Ap_Embryo_Sex_T1A					not applicable		no					INRA	SRA730337		public	69A24998E8A8A7FB61F287AF928C41E4	DFC9746B1D74D22E9CE284619D8BB677
SRR7454530	2018-06-29 04:16:20	2018-06-29 04:10:10	55889663	6036083604	55889663	108	3914		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/454/SRR7454530.sralite.1	SRX4325048	Ap_Embryo_T0_1	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina Genome Analyzer	SRP151634	PRJNA478421		478421	SRS3487498	SAMN09515187	simple	7029	Acyrthosiphon pisum	Ap_Embryo_T0					not determined		no					INRA	SRA730337		public	F286050D97ECDD4922838FCD6C3BA4BE	8E1C2C47278A46432F2E95E89D43F50C
SRR7454531	2018-06-29 04:11:16	2018-06-29 04:04:53	27279489	5510456778	27279489	202	2428		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/454/SRR7454531.sralite.1	SRX4325047	Ap_Embryo_T0_2	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151634	PRJNA478421		478421	SRS3487498	SAMN09515187	simple	7029	Acyrthosiphon pisum	Ap_Embryo_T0					not determined		no					INRA	SRA730337		public	CBFBE23FDDE3CF7514D1AF85AEE40ACF	B6EBBF1810128EF54059D2BCB67AF4A4
SRR7454532	2018-06-29 04:11:16	2018-06-29 04:05:29	18742035	3785891070	18742035	202	2559		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/454/SRR7454532.sralite.1	SRX4325046	Ap_Embryo_Asex_T1K_1	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP151634	PRJNA478421		478421	SRS3487496	SAMN09515189	simple	7029	Acyrthosiphon pisum	Ap_Embryo_Asex_T1K					not applicable		no					INRA	SRA730337		public	9779BE537FD028C27DBDF1D7AA29DB98	985327865D89D4045D938293032F4B22
SRR7454533	2018-06-29 04:05:13	2018-06-29 04:01:24	14711502	2971723404	14711502	202	2008		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/454/SRR7454533.sralite.1	SRX4325045	Ap_Embryo_Asex_T1K_2	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP151634	PRJNA478421		478421	SRS3487496	SAMN09515189	simple	7029	Acyrthosiphon pisum	Ap_Embryo_Asex_T1K					not applicable		no					INRA	SRA730337		public	D951882262B3F9026339CAC0DDB4C442	E1241F9E56673348D9420E1A7AFEC383
SRR7454536	2018-06-29 04:11:16	2018-06-29 04:04:41	17286654	3491904108	17286654	202	2390		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/454/SRR7454536.sralite.1	SRX4325042	Ap_Embryo_Asex_T1K_3	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP151634	PRJNA478421		478421	SRS3487496	SAMN09515189	simple	7029	Acyrthosiphon pisum	Ap_Embryo_Asex_T1K					not applicable		no					INRA	SRA730337		public	23064BE5483165E157DC70B0F887D4B9	2644D19CCCA53076FC43F11D7551E3F1
SRR7454537	2018-06-29 04:12:17	2018-06-29 04:07:33	34035995	6875270990	34035995	202	3032		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/454/SRR7454537.sralite.1	SRX4325041	Ap_Embryo_Asex_T1K_4	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151634	PRJNA478421		478421	SRS3487496	SAMN09515189	simple	7029	Acyrthosiphon pisum	Ap_Embryo_Asex_T1K					not applicable		no					INRA	SRA730337		public	3B3370D36BF0BDF2125FD54EE725DD41	1D211DC1A9A27B0CF86B536C46C40AE5
SRR7454542	2018-06-29 04:05:13	2018-06-29 04:02:07	13758528	2779222656	13758528	202	1904		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/454/SRR7454542.sralite.1	SRX4325036	Ap_Embryo_Asex_T2K_3	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP151634	PRJNA478421		478421	SRS3487494	SAMN09515191	simple	7029	Acyrthosiphon pisum	Ap_Embryo_Asex_T2K					not applicable		no					INRA	SRA730337		public	CDF7984DE36760D74D866107738ABC9B	B2319F7AE7660B45B3C334653EBC3C62
SRR7454543	2018-06-29 04:12:17	2018-06-29 04:07:39	31582449	6379654698	31582449	202	2840		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/454/SRR7454543.sralite.1	SRX4325035	Ap_Embryo_Asex_T2K_4	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151634	PRJNA478421		478421	SRS3487494	SAMN09515191	simple	7029	Acyrthosiphon pisum	Ap_Embryo_Asex_T2K					not applicable		no					INRA	SRA730337		public	300BCA78DBDD8A0A9226EA64689E5B69	5C8A2ED8C2AA73CE3DBCB9275EF32F19
