Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR3185495	2016-05-06 00:00:00	2016-02-25 08:54:00	8632279	431613950	0	50	245	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/185/SRR3185495.sralite.1	SRX1598501	rep1	RNA-Seq	other	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP070765	PRJNA313073	NA	313073	SRS1308479	SAMN04514955	simple	104782	Adineta vaga	Adineta_vagaMBL	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	MARINE BIOLOGICAL LABORATORY	SRA357341	NA	public	E1F1998FF9C7749414A75C816C3DD4E6	91C59F93E55D560C3970AC1FE170B273
SRR3187155	2016-05-06 00:00:00	2016-02-25 09:01:03	13152441	657622050	0	50	378	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/187/SRR3187155.sralite.1	SRX1600134	rep2	RNA-Seq	other	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP070765	PRJNA313073	NA	313073	SRS1308479	SAMN04514955	simple	104782	Adineta vaga	Adineta_vagaMBL	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	MARINE BIOLOGICAL LABORATORY	SRA357341	NA	public	5CA5458F969A1265AE7B0F4F49D66D5A	D5B21193DA597F0C764B1F5F3A13CC5B
SRR7962065	2018-10-30 16:58:11	2018-10-03 17:06:33	32913790	9849971989	32913790	299	4232	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/962/SRR7962065/SRR7962065.sralite.1	SRX4795730	Rec3	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP163271	PRJNA494578	NA	494578	SRS408324	SAMN01995737	simple	104782	Adineta vaga	Adineta_vagaMBL	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	MARINE BIOLOGICAL LABORATORY	SRA788536	NA	public	AFA77371724591FBCE383120CD686B01	CA5AE6C4F90250A3619840CB77DA0DDB
SRR7962066	2018-10-30 16:58:11	2018-10-03 17:01:16	24035648	7225765889	24035648	300	2973	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/962/SRR7962066/SRR7962066.sralite.1	SRX4795729	Ent2	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP163271	PRJNA494578	NA	494578	SRS408324	SAMN01995737	simple	104782	Adineta vaga	Adineta_vagaMBL	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	MARINE BIOLOGICAL LABORATORY	SRA788536	NA	public	137B395BDD650E05006508A9485E5C36	6A0474F6EAA899856D824573376C659E
SRR7962067	2018-10-30 16:58:11	2018-10-03 17:02:31	23646830	7108106612	23646830	300	2940	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/962/SRR7962067/SRR7962067.sralite.1	SRX4795728	Ent1	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP163271	PRJNA494578	NA	494578	SRS408324	SAMN01995737	simple	104782	Adineta vaga	Adineta_vagaMBL	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	MARINE BIOLOGICAL LABORATORY	SRA788536	NA	public	0339BA7B2908670A636F67AC2FB736FD	94D95F23CEEBDCDFE2C86F80757EEDA6
SRR7962068	2018-10-30 16:58:11	2018-10-03 17:02:51	27296479	8179049720	27296479	299	3448	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/962/SRR7962068/SRR7962068.sralite.1	SRX4795727	Hyd1	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP163271	PRJNA494578	NA	494578	SRS408324	SAMN01995737	simple	104782	Adineta vaga	Adineta_vagaMBL	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	MARINE BIOLOGICAL LABORATORY	SRA788536	NA	public	B5E380E514302E7773A56CC94C781C91	0A5CEDC9CF27A76DA467A81AC1CAD6C3
SRR7962069	2018-10-30 16:58:11	2018-10-03 17:03:57	21241513	6382649253	21241513	300	2606	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/962/SRR7962069/SRR7962069.sralite.1	SRX4795726	Ent3	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP163271	PRJNA494578	NA	494578	SRS408324	SAMN01995737	simple	104782	Adineta vaga	Adineta_vagaMBL	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	MARINE BIOLOGICAL LABORATORY	SRA788536	NA	public	3C966AE68D0AF7BB867DB33B5E07CC1F	172A1E54C8B11A21960CB2A7D5E1E47C
SRR7962070	2018-10-30 16:58:11	2018-10-03 17:08:26	26006541	7787758714	26006541	299	3252	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/962/SRR7962070/SRR7962070.sralite.1	SRX4795725	Hyd3	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP163271	PRJNA494578	NA	494578	SRS408324	SAMN01995737	simple	104782	Adineta vaga	Adineta_vagaMBL	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	MARINE BIOLOGICAL LABORATORY	SRA788536	NA	public	B7E9C9B1508A53705A72C27527960506	0A36FDEAF17E7E1D35A82DA4B6CFA28F
SRR7962071	2018-10-30 16:58:11	2018-10-03 16:59:06	19379572	5802306046	19379572	299	2440	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/962/SRR7962071/SRR7962071.sralite.1	SRX4795724	Hyd2	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP163271	PRJNA494578	NA	494578	SRS408324	SAMN01995737	simple	104782	Adineta vaga	Adineta_vagaMBL	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	MARINE BIOLOGICAL LABORATORY	SRA788536	NA	public	D79EFCD2CDEC96210AC5F6880D04E051	BA191BF9C0534017BD891449101EB59C
SRR7962072	2018-10-30 16:58:11	2018-10-03 17:05:21	31601409	9463334262	31601409	299	4090	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/962/SRR7962072/SRR7962072.sralite.1	SRX4795723	Rec2	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP163271	PRJNA494578	NA	494578	SRS408324	SAMN01995737	simple	104782	Adineta vaga	Adineta_vagaMBL	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	MARINE BIOLOGICAL LABORATORY	SRA788536	NA	public	4A36CB753E399ACA8C7C651DBF7F7DD1	A4E192DE7C23829B2717989C3856B1FB
