Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR21518245	2022-10-02 00:25:31	2022-09-10 19:09:29	29766579	8607495070	29766579	289	3652	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21518/SRR21518245/SRR21518245.lite.1	SRX17520725	YX1 RNA	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP396531	PRJNA878951	NA	878951	SRS15071290	SAMN30788816	simple	9646	Ailuropoda melanoleuca	YX1	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	SICHUAN UNIVERSITY	SRA1494345	NA	public	8A3E7A659C0B3B817B10EF0EA976E88F	8E32C8C7542AC88711725ABF1A58FAD8
SRR21518244	2022-10-02 00:25:31	2022-09-10 19:19:18	34424069	10327220700	34424069	300	3447	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21518/SRR21518244/SRR21518244.lite.1	SRX17520726	XQ RNA	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP396531	PRJNA878951	NA	878951	SRS15071291	SAMN30788825	simple	9646	Ailuropoda melanoleuca	XQ	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	SICHUAN UNIVERSITY	SRA1494345	NA	public	5E24077CE7E41E6C799FCDE5CA5C864D	3CF5468F0041D87DFDFCE9661F2AD3B8
SRR21518241	2022-10-02 00:25:31	2022-09-10 20:14:26	34843524	10453057200	34843524	300	3555	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21518/SRR21518241/SRR21518241.lite.1	SRX17520729	YX2 RNA	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP396531	PRJNA878951	NA	878951	SRS15071294	SAMN30788818	simple	9646	Ailuropoda melanoleuca	YX2	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	SICHUAN UNIVERSITY	SRA1494345	NA	public	BC19166D077C946EC2F2640EAB3763D8	71117D0951D4FB9AE5642744D5D9F759
SRR21518239	2022-10-02 00:25:31	2022-09-10 19:18:33	27374357	8212307100	27374357	300	2788	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21518/SRR21518239/SRR21518239.lite.1	SRX17520731	XHT  RNA	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP396531	PRJNA878951	NA	878951	SRS15071296	SAMN30788820	simple	9646	Ailuropoda melanoleuca	XHT  RNA-seq	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	SICHUAN UNIVERSITY	SRA1494345	NA	public	660D8DC1FC962A1FAF9B46403ACA46B4	F58D4C97056566743BF9790146EA08BA
SRR11774170	2021-02-10 08:28:56	2020-05-11 23:10:26	24255725	7276717500	24255725	300	2504	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR011/11774/SRR11774170/SRR11774170.lite.1	SRX8327197	RRAS27450-V	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP261196	PRJNA631846	NA	631846	SRS6646939	SAMN14894223	simple	9646	Ailuropoda melanoleuca	B1	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	SICHUANG UNIVERSITY	SRA1074543	NA	public	E9E596E72BD30D1A4199DCE05468313C	52F4A6E4FB8842D8F903636FD9ACBDB0
SRR11774169	2021-02-10 08:28:56	2020-05-11 23:04:29	23393326	7017997800	23393326	300	2375	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR011/11774/SRR11774169/SRR11774169.lite.1	SRX8327198	RRAS27451-V	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP261196	PRJNA631846	NA	631846	SRS6646938	SAMN14894224	simple	9646	Ailuropoda melanoleuca	B2	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	SICHUANG UNIVERSITY	SRA1074543	NA	public	671B3DE9CADEE2516C2354E5EE17E7FD	E897F3A3AF62E671D278CAD42FCE2F2B
SRR11774165	2021-02-10 08:28:56	2020-05-11 23:05:13	21185680	6355704000	21185680	300	2103	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR011/774/SRR11774165/SRR11774165.lite.1	SRX8327202	RRAS27453-V	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP261196	PRJNA631846	NA	631846	SRS6646943	SAMN14894225	simple	9646	Ailuropoda melanoleuca	B3	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	SICHUANG UNIVERSITY	SRA1074543	NA	public	B333BDBB9D033CBBB5189ED20C39BA4A	A880EA99FAF64DCADF2C652868B2F604
SRR11774164	2021-02-10 08:28:56	2020-05-11 23:08:57	23105752	6931725600	23105752	300	2293	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR011/11774/SRR11774164/SRR11774164.lite.1	SRX8327203	RRAS27456-V	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP261196	PRJNA631846	NA	631846	SRS6646944	SAMN14894226	simple	9646	Ailuropoda melanoleuca	B4	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	SICHUANG UNIVERSITY	SRA1074543	NA	public	E8BB065A89DA6D21E19F90BA7F05148C	B5B5B942EEA987FEBB33AFD4961B2514
SRR11774163	2021-02-10 08:28:56	2020-05-11 23:08:32	25280164	7584049200	25280164	300	2540	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR011/11774/SRR11774163/SRR11774163.lite.1	SRX8327204	RRAS27461-V	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP261196	PRJNA631846	NA	631846	SRS6646945	SAMN14894227	simple	9646	Ailuropoda melanoleuca	B5	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	SICHUANG UNIVERSITY	SRA1074543	NA	public	D73A9345A0803A635D48418070EB38DF	7F69CC20E207FA861C2A1EDA93B7A2CB
SRR11774162	2021-02-10 08:28:56	2020-05-11 23:21:12	26703372	8011011600	26703372	300	2687	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR011/11774/SRR11774162/SRR11774162.lite.1	SRX8327205	FRAS190061733-1a	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP261196	PRJNA631846	NA	631846	SRS6646946	SAMN14894228	simple	9646	Ailuropoda melanoleuca	B6	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	SICHUANG UNIVERSITY	SRA1074543	NA	public	8A99A9E5408576028A51809333F0F3E7	B4FCD7AAF5339B5262A45684D2AFB841
