Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR6396162	2019-07-02 15:53:49	2017-12-20 11:00:57	60358618	4587254968	0	76	1976		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/396/SRR6396162.sralite.1	SRX3489468		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP127233	PRJNA423192	3	423192	SRS2773408	SAMN08213287	simple	8496	Alligator mississippiensis	GSM2895517							no					GEO	SRA640465		public	EDFAF017BD91B94059BD2BAFD875DBB9	26EF82217C05007FC22CA6B669981FBA
SRR6396167	2019-07-02 15:53:49	2017-12-20 10:52:36	52312752	3975769152	0	76	1631		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/396/SRR6396167.sralite.1	SRX3489473		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP127233	PRJNA423192	3	423192	SRS2773413	SAMN08213330	simple	8496	Alligator mississippiensis	GSM2895522							no					GEO	SRA640465		public	D9213B5DD6D2A845862CC7A70E8E2992	8F10B1815C81C997F32B5CE1A3423539
SRR6396172	2019-07-02 15:53:50	2017-12-20 10:54:15	41055120	3120189120	0	76	1273		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/396/SRR6396172.sralite.1	SRX3489478		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP127233	PRJNA423192	3	423192	SRS2773417	SAMN08213333	simple	8496	Alligator mississippiensis	GSM2895527							no					GEO	SRA640465		public	B7502133FD229058A257893E6B7A6022	E042EC1A18762469037635C26A07F9AA
SRR6396173	2019-07-02 15:53:50	2017-12-20 11:01:02	75082495	5706269620	0	76	2321		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/396/SRR6396173.sralite.1	SRX3489479		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP127233	PRJNA423192	3	423192	SRS2773419	SAMN08213321	simple	8496	Alligator mississippiensis	GSM2895528							no					GEO	SRA640465		public	8ED1AB6E0B420AC06DA8DBB01775FC50	CBD8B117E6EE0DC88703BC5BC7611887
SRR6396175	2019-07-02 15:53:50	2017-12-20 10:57:55	53085072	4034465472	0	76	1621		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/396/SRR6396175.sralite.1	SRX3489481		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP127233	PRJNA423192	3	423192	SRS2773421	SAMN08213327	simple	8496	Alligator mississippiensis	GSM2895530							no					GEO	SRA640465		public	BD1C6134455347041E653F8C2FE6739E	AC8037DF68FE6356687E7AF268B55B03
SRR7359808	2019-06-17 16:26:31	2018-06-18 21:19:25	31647944	1582397200	0	50	1070		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7359808/SRR7359808	SRX4232784		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP150794	PRJNA476613	3	476613	SRS3431425	SAMN09445559	simple	8496	Alligator mississippiensis	GSM3197092							no					GEO	SRA724428		public	B9B9D075A097186477B3933327E30CE1	299BFA98CBD6B48DC4C79855402F50E4
SRR7359809	2019-06-17 16:26:31	2018-06-18 21:17:42	34321225	1716061250	0	50	1160		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/359/SRR7359809.sralite.1	SRX4232785		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP150794	PRJNA476613	3	476613	SRS3431423	SAMN09445558	simple	8496	Alligator mississippiensis	GSM3197093							no					GEO	SRA724428		public	FBC0D2DC4E04260AA8699556A943F0D2	369201B4C68930205A4558B3CE550E47
SRR7359810	2019-06-17 16:26:31	2018-06-18 21:17:27	31446968	1572348400	0	50	1083		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7359810/SRR7359810	SRX4232786		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP150794	PRJNA476613	3	476613	SRS3431426	SAMN09445557	simple	8496	Alligator mississippiensis	GSM3197094							no					GEO	SRA724428		public	0E4B2E58BB168AD464CC7F4BD1968FEA	8B3E7B353EF805281825D7F6BE8D0FE9
SRR7359811	2019-06-17 16:26:31	2018-06-18 21:17:15	29273151	1463657550	0	50	1016		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/359/SRR7359811.sralite.1	SRX4232787		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP150794	PRJNA476613	3	476613	SRS3431456	SAMN09445556	simple	8496	Alligator mississippiensis	GSM3197095							no					GEO	SRA724428		public	8C71C071F5F0490DEE4585EEC6DEE53E	5ED18F8F814BA63E54D743C5F0D9FAB4
SRR7904051	2019-05-02 10:37:14	2018-09-26 09:01:49	48605152	3693991552	0	76	2432		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7904051/SRR7904051	SRX4740527		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162630	PRJNA493197		493197	SRS3821858	SAMN10131481	simple	8496	Alligator mississippiensis	GSM3401691							no					GEO	SRA784158		public	115C7E03283DD467AD80299AA6CE88C6	8C6F2D0C221EEB9AA5EA36BD746AA6C2
