Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR4404405	2020-08-12 08:42:39	2020-11-13 09:09:10	24250014	7275004200	24250014	300	2954		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR4404405/ERR4404405	ERX4346707	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2500	ERP122123	PRJEB38680		656750	ERS4872567	SAMEA7112018	simple	4615	Ananas comosus	SAMEA7112018							no					GBC	ERA2797118		public	A5BD08101FD0B55B649443F5A50A61C7	EB63301D7F9C8D783DC3E22AF8239F05
ERR4404406	2020-08-12 08:42:39	2020-11-13 09:24:48	37798410	11339523000	37798410	300	4591		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR4404406/ERR4404406	ERX4346708	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2500	ERP122123	PRJEB38680		656750	ERS4872568	SAMEA7112019	simple	4615	Ananas comosus	SAMEA7112019							no					GBC	ERA2797118		public	6E812DC94FC9E89D0A9C59FEB0B213EE	785AD3EC5C8C1045B0F9041243C621B3
ERR4404407	2020-08-12 08:42:39	2020-09-04 02:10:59	17234286	5170285800	17234286	300	1827		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR4404407/ERR4404407	ERX4346709	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2500	ERP122123	PRJEB38680		656750	ERS4872569	SAMEA7112020	simple	4615	Ananas comosus	SAMEA7112020							no					GBC	ERA2797118		public	298CCC7E2280B9ADE89CC652D15E951C	28477E0C8A1026BDD3F5B332A18396A5
ERR4404408	2020-08-12 08:42:39	2020-09-04 02:13:16	16736044	5020813200	16736044	300	1935		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR4404408/ERR4404408	ERX4346710	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2500	ERP122123	PRJEB38680		656750	ERS4872570	SAMEA7112021	simple	4615	Ananas comosus	SAMEA7112021							no					GBC	ERA2797118		public	2C793D83E29E8EAB0594545EF27CB035	24129BA82AA1F2FC00E508A900CE5918
ERR4404409	2020-08-12 08:42:39	2020-11-13 09:07:46	16991956	3432375112	16991956	202	1582		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR4404409/ERR4404409	ERX4346711	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2500	ERP122123	PRJEB38680		656750	ERS4872571	SAMEA7112022	simple	4615	Ananas comosus	SAMEA7112022							no					GBC	ERA2797118		public	65A8054307002440EC55F1E56FF24EE9	CEE08B25D1221288F34EF79D9B516CBD
ERR4404410	2020-08-12 08:42:39	2020-11-13 09:18:13	20524407	4145930214	20524407	202	1899		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR4404410/ERR4404410	ERX4346712	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2500	ERP122123	PRJEB38680		656750	ERS4872572	SAMEA7112023	simple	4615	Ananas comosus	SAMEA7112023							no					GBC	ERA2797118		public	49152D2BB9EA19784877C60E6D2C7DEB	D6D5199BD986D2E12DF32C06B34A99D4
ERR4404411	2020-08-12 08:42:39	2020-11-13 09:05:40	20427445	4126343890	20427445	202	1911		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR4404411/ERR4404411	ERX4346713	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2500	ERP122123	PRJEB38680		656750	ERS4872573	SAMEA7112024	simple	4615	Ananas comosus	SAMEA7112024							no					GBC	ERA2797118		public	F6FC0456A31C4D0A919818129330188E	717CB7481592A0259D238E44D3EBC339
ERR4404412	2020-08-12 08:42:39	2020-11-13 09:10:42	22585264	4562223328	22585264	202	2068		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR4404412/ERR4404412	ERX4346714	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2500	ERP122123	PRJEB38680		656750	ERS4872574	SAMEA7112025	simple	4615	Ananas comosus	SAMEA7112025							no					GBC	ERA2797118		public	A48C66715DB6BB31BD9D1BB3FA52EE6F	1542D4A4F62A15E42C1B4F126C1AC55B
ERR4404413	2020-08-12 08:42:39	2020-09-04 02:13:12	21528358	4348728316	21528358	202	2020		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR4404413/ERR4404413	ERX4346715	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2500	ERP122123	PRJEB38680		656750	ERS4872575	SAMEA7112026	simple	4615	Ananas comosus	SAMEA7112026							no					GBC	ERA2797118		public	23AAD129B424CB8A171A4BC7ADB64A7B	D723DC444E669619370596CCAF82C67C
ERR4404414	2020-08-12 08:42:39	2020-11-13 09:10:04	21350585	4312818170	21350585	202	1963		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR4404414/ERR4404414	ERX4346716	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2500	ERP122123	PRJEB38680		656750	ERS4872576	SAMEA7112027	simple	4615	Ananas comosus	SAMEA7112027							no					GBC	ERA2797118		public	BC814C54A279AF228B06C21011FA4A9E	814965DB4A7E0E45305AF5A059403567
