Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR1124849	2014-03-11 00:00:00	2014-01-17 17:29:11	40444862	2022243100	0	50	1285	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR112/4849/SRR1124849.sralite.1	SRX435796	ACEY-18D.Cry5B.24hr	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP035476	PRJNA231490	2	231490	SRS535627	SAMN02585483	simple	53326	Ancylostoma ceylanicum	ACEY-18D.Cry5B.24hr	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	CAL. INST. OF TECH., DIVISION OF BIOLOGY	SRA128021	NA	public	A56A94D0AF490DDEAE1FCEE2D31419BE	8AC2584AD1E0150811D3D7E1461BF533
SRR5901546	2017-08-04 16:15:10	2017-08-04 16:07:30	163482	764051613	0	4673	2774	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/5901/SRR5901546/SRR5901546.lite.1	SRX3063119	Aceylanicum_RNAseq_P4_0.225nM_B01_4	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	PACBIO_SMRT	PacBio RS II	SRP058598	PRJNA72583	NA	72583	SRS2408232	SAMN07451676	simple	53326	Ancylostoma ceylanicum	13-0003_Aceylanicum_RNAseq_P4_0.225nM	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	MCDONNELL GENOME INSTITUTE	SRA596576	NA	public	2DB6FDB1DF31D65844D4AD349DBAB722	7576312EF9D6534737BE1ED9E1906DDA
SRR5901547	2017-08-04 16:08:11	2017-08-04 16:02:07	163482	771956451	0	4721	2813	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/5901/SRR5901547/SRR5901547.lite.1	SRX3063118	Aceylanicum_RNAseq_P4_0.225nM_B01_3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	PACBIO_SMRT	PacBio RS II	SRP058598	PRJNA72583	NA	72583	SRS2408232	SAMN07451676	simple	53326	Ancylostoma ceylanicum	13-0003_Aceylanicum_RNAseq_P4_0.225nM	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	MCDONNELL GENOME INSTITUTE	SRA596576	NA	public	36328C59F466838B7F10304DF5ADF6A6	027AA6DFCD21F7C354A8E87F0A13315B
SRR5901548	2017-08-04 16:03:10	2017-08-04 15:58:20	163482	761990704	0	4661	2769	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/5901/SRR5901548/SRR5901548.lite.1	SRX3063117	Aceylanicum_RNAseq_P4_0.225nM_B01_2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	PACBIO_SMRT	PacBio RS II	SRP058598	PRJNA72583	NA	72583	SRS2408232	SAMN07451676	simple	53326	Ancylostoma ceylanicum	13-0003_Aceylanicum_RNAseq_P4_0.225nM	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	MCDONNELL GENOME INSTITUTE	SRA596576	NA	public	997128A8207539C8F4DB5399A7DE0562	C9EC4AD541D6A1F5FBE7EC846DA50A8B
SRR5901549	2017-08-04 16:11:10	2017-08-04 16:03:40	163482	739205216	0	4521	2697	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/5901/SRR5901549/SRR5901549.lite.1	SRX3063116	Aceylanicum_RNAseq_P4_0.225nM_B01_1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	PACBIO_SMRT	PacBio RS II	SRP058598	PRJNA72583	NA	72583	SRS2408232	SAMN07451676	simple	53326	Ancylostoma ceylanicum	13-0003_Aceylanicum_RNAseq_P4_0.225nM	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	MCDONNELL GENOME INSTITUTE	SRA596576	NA	public	FD0D62FF3E12B0F9DB7E33BD2FB1E0B0	BD139838DD991DD3B9E3CF1A2A3DFF76
SRR2125591	2015-07-23 15:27:07	2015-07-23 15:59:15	34001091	6800218200	34001091	200	4862	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/125/SRR2125591.sralite.1	SRX1116920	2886647667	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	416	0	ILLUMINA	Illumina HiSeq 2000	SRP058598	PRJNA72583	NA	72583	SRS1010197	SAMN03897460	simple	53326	Ancylostoma ceylanicum	495211	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	WUGSC	SRA279768	NA	public	A31E6EFCBC9467E8F54C389DEACB4CFE	26F6DEA644A05EC3ACFE835EABC93C9D
SRR2125593	2015-07-23 16:23:42	2015-07-23 16:43:18	34106569	6821313800	34106569	200	4848	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/125/SRR2125593.sralite.1	SRX1116920	2886647667	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	416	0	ILLUMINA	Illumina HiSeq 2000	SRP058598	PRJNA72583	NA	72583	SRS1010197	SAMN03897460	simple	53326	Ancylostoma ceylanicum	495211	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	WUGSC	SRA279787	NA	public	FA5C50A41127463395ADE8DA2773372D	45B34C85BA914E5A91A4FC585296D2DB
SRR2125595	2015-07-23 16:23:51	2015-07-23 16:43:02	40018276	8003655200	40018276	200	5717	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/125/SRR2125595.sralite.1	SRX1116921	2886647671	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	408	0	ILLUMINA	Illumina HiSeq 2000	SRP058598	PRJNA72583	NA	72583	SRS1010198	SAMN03897461	simple	53326	Ancylostoma ceylanicum	495215	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	WUGSC	SRA279789	NA	public	E707A9F60241C3C36A0BF38356CE8F1B	76F4B1EEC84433D670E47D1812F4495B
SRR2125600	2015-07-23 16:24:16	2015-07-23 17:03:33	39222542	7844508400	39222542	200	5570	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/125/SRR2125600.sralite.1	SRX1116922	2886647670	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	410	0	ILLUMINA	Illumina HiSeq 2000	SRP058598	PRJNA72583	NA	72583	SRS1010230	SAMN03897481	simple	53326	Ancylostoma ceylanicum	495379	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	WUGSC	SRA279794	NA	public	F7551D1E50DBFF829B56AB9FD1E8CF60	425C7AA12BEA94769FD5AC062B1AD591
SRR2125609	2015-07-23 16:35:16	2015-07-23 16:49:51	40466070	8093214000	40466070	200	5772	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/125/SRR2125609.sralite.1	SRX1116899	2886647672	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	430	0	ILLUMINA	Illumina HiSeq 2000	SRP058598	PRJNA72583	NA	72583	SRS1010231	SAMN03897482	simple	53326	Ancylostoma ceylanicum	495383	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	WUGSC	SRA279803	NA	public	7E3B3DF46F66D5B6664863A29DDF622F	C07A02B2025C0A52FB37B06BACAEE164
