Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR1799851	2015-02-12 01:26:35	2015-02-12 01:21:41	30041447	6068372294	30041447	202	4059	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/799/SRR1799851.sralite.1	SRX873912	ICD_AGI5DM.DDM3004-F-1_1pA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	286	0	ILLUMINA	Illumina HiSeq 2000	SRP054254	PRJNA274806	NA	274806	SRS843793	SAMN03339737	simple	217634	Anoplophora glabripennis	AGLA.00-female	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	BCM	SRA239110	NA	public	7AFEA619210BAFEF82BEEFE1074194DF	7B7F1FA48C79F08B7E37F1802386C268
SRR1799852	2015-02-12 01:12:27	2015-02-12 01:07:02	33265245	6719579490	33265245	202	4552	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/799/SRR1799852.sralite.1	SRX873913	ICD_AGI5DM.DDM3005-M-1_1pA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	295	0	ILLUMINA	Illumina HiSeq 2000	SRP054254	PRJNA274806	NA	274806	SRS843794	SAMN03339738	simple	217634	Anoplophora glabripennis	AGLA.00-male	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	BCM	SRA239112	NA	public	61C076FD33D88371343FC3A601871355	04F6FC29C05D07EF4D27BE2CF7B0CFCF
SRR1986051	2016-04-22 16:02:17	2015-04-22 14:17:58	14386396	1510571580	0	105	920	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR198/6051/SRR1986051.sralite.1	SRX1004277		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP057561	PRJNA281943	2	281943	SRS919999	SAMN03497776	simple	217634	Anoplophora glabripennis	GSM1664591	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA261355	NA	public	3C73693EB3D76FFA81EE3805CB13FE82	E6C55890725483D71E7E1168328FFD00
SRR1986052	2016-04-22 16:02:17	2015-04-22 14:16:01	14365044	1508329620	0	105	919	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR198/6052/SRR1986052.sralite.1	SRX1004278		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP057561	PRJNA281943	2	281943	SRS919998	SAMN03497777	simple	217634	Anoplophora glabripennis	GSM1664592	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA261355	NA	public	7843DED4D5625F7977D0025112747BE5	00495EE334183FB674399EBE0F90AB0A
SRR1986053	2016-04-22 16:02:17	2015-04-22 14:16:34	12062202	1266531210	0	105	816	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR198/6053/SRR1986053.sralite.1	SRX1004279		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP057561	PRJNA281943	2	281943	SRS919997	SAMN03497778	simple	217634	Anoplophora glabripennis	GSM1664593	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA261355	NA	public	23764CE42D6F702FD3E1F0C4EBDF704A	192046C84ACEE7A99A92A8B0CE7D546C
SRR1986054	2016-04-22 16:02:17	2015-04-22 14:18:01	11408020	1197842100	0	105	731	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR198/6054/SRR1986054.sralite.1	SRX1004280		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP057561	PRJNA281943	2	281943	SRS919996	SAMN03497779	simple	217634	Anoplophora glabripennis	GSM1664594	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA261355	NA	public	57971BD77978EB8EB24229D4B067F743	68CE12CBCCC5AB87166A36D221247C6B
SRR1986055	2016-04-22 16:02:17	2015-04-22 14:18:19	13691666	1437624930	0	105	874	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR198/6055/SRR1986055.sralite.1	SRX1004281		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP057561	PRJNA281943	2	281943	SRS919995	SAMN03497780	simple	217634	Anoplophora glabripennis	GSM1664595	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA261355	NA	public	C0EEC42A85F84690E646A60E85E3D5BE	E4574751265AC102B19570F12AD40F81
SRR1986056	2016-04-22 16:02:17	2015-04-22 14:15:54	10690300	1122481500	0	105	693	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/986/SRR1986056.sralite.1	SRX1004282		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP057561	PRJNA281943	2	281943	SRS919994	SAMN03497781	simple	217634	Anoplophora glabripennis	GSM1664596	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA261355	NA	public	F7E81C2A43130F5FD39D3B4B4F5029A3	F02D3A5B6594015C41F642B04975EFBD
SRR1986057	2016-04-22 16:02:17	2015-04-22 14:14:37	7135992	749279160	0	105	465	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR198/6057/SRR1986057.sralite.1	SRX1004283		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP057561	PRJNA281943	2	281943	SRS919993	SAMN03497782	simple	217634	Anoplophora glabripennis	GSM1664597	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA261355	NA	public	E287C6F2E3511EC21706D78856ED7EB1	96E69D152FC43180D7545EE93FCD93DD
SRR1986058	2016-04-22 16:02:17	2015-04-22 14:18:17	14018281	1471919505	0	105	915	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR198/6058/SRR1986058.sralite.1	SRX1004284		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP057561	PRJNA281943	2	281943	SRS919992	SAMN03497905	simple	217634	Anoplophora glabripennis	GSM1664598	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA261355	NA	public	658D12AAE45D47238D8C6315B644C53A	80FFF25BC30C1A513F84481F4E8179C3
