Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR8335256	2018-12-18 10:09:12	2018-12-18 08:39:03	27901570	8370471000	27901570	300	2587		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/335/SRR8335256.sralite.1	SRX5146666	MF1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP173769	PRJNA510543		510543	SRS4156915	SAMN10606944	simple	7460	Apis mellifera	bee5					female		no					JINGGANGSHAN UNIVERSITY	SRA824558		public	12B16FA2648EC4A2C62758733DB8D170	AE50F6C0ED80AA36FD5314CCDA003EB9
SRR8335255	2018-12-18 10:08:12	2018-12-18 08:36:12	28916122	8674836600	28916122	300	2672		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/335/SRR8335255.sralite.1	SRX5146667	MF2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP173769	PRJNA510543		510543	SRS4156916	SAMN10606945	simple	7460	Apis mellifera	bee6					female		no					JINGGANGSHAN UNIVERSITY	SRA824558		public	E698223F90F9DA8287FD8E0DA9311995	247B5A04F25DB8B99DEDC779A389E0E5
SRR8335258	2018-12-18 10:09:12	2018-12-18 08:40:08	30763486	9229045800	30763486	300	2647		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/335/SRR8335258.sralite.1	SRX5146664	MF3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP173769	PRJNA510543		510543	SRS4156913	SAMN10606946	simple	7460	Apis mellifera	bee7					female		no					JINGGANGSHAN UNIVERSITY	SRA824558		public	439479288CE533DEC6E028C5890F173D	4F0D5805D971AE649E0882375F3755DC
SRR8335257	2018-12-18 10:14:36	2018-12-18 08:37:43	27386200	8215860000	27386200	300	2583		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/335/SRR8335257.sralite.1	SRX5146665	MF4	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP173769	PRJNA510543		510543	SRS4156914	SAMN10606947	simple	7460	Apis mellifera	bee8					female		no					JINGGANGSHAN UNIVERSITY	SRA824558		public	BC23C4CAA7AAC65F75912F739C3740FD	F62BCA5A5D5EBD507A7DF351FA729D77
SRR6727829	2018-07-27 18:19:04	2018-02-14 19:03:30	7172760	1082872814	7172760	150	392		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/727/SRR6727829.sralite.1	SRX3700792		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP132898	PRJNA434146	3	434146	SRS2960249	SAMN08537410	simple	7460	Apis mellifera	GSM3004744							no					GEO	SRA659646		public	E68F8A766595B9514061C1672ED62599	2DEF720383EE134DA665E86C134F785E
SRR6727830	2018-07-27 18:19:04	2018-02-14 19:03:31	7055290	1065175253	7055290	150	385		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/727/SRR6727830.sralite.1	SRX3700792		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP132898	PRJNA434146	3	434146	SRS2960249	SAMN08537410	simple	7460	Apis mellifera	GSM3004744							no					GEO	SRA659646		public	E08193E2E2CCA8D0875FF4FF033510A6	D4B04DD629DE24479006E40F0970838A
SRR6727831	2018-07-27 18:19:04	2018-02-14 19:03:41	7250417	1094583163	7250417	150	400		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/727/SRR6727831.sralite.1	SRX3700792		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP132898	PRJNA434146	3	434146	SRS2960249	SAMN08537410	simple	7460	Apis mellifera	GSM3004744							no					GEO	SRA659646		public	E8B6DF60A9A8BB4DB11C00B1E9D59121	D822A5FD41A90FD65430A86341654369
SRR6727832	2018-07-27 18:19:04	2018-02-14 19:05:55	7148982	1079310172	7148982	150	393		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/727/SRR6727832.sralite.1	SRX3700792		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP132898	PRJNA434146	3	434146	SRS2960249	SAMN08537410	simple	7460	Apis mellifera	GSM3004744							no					GEO	SRA659646		public	C7EA6C0C8F87278C4B04AA2628FB7A7A	BB6545FDAB64C78C760C594C6757389B
SRR6727833	2018-07-27 18:19:04	2018-02-14 19:04:19	7247137	1093918762	7247137	150	392		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/727/SRR6727833.sralite.1	SRX3700793		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP132898	PRJNA434146	3	434146	SRS2960250	SAMN08537409	simple	7460	Apis mellifera	GSM3004745							no					GEO	SRA659646		public	FC86ED3C7586F83910912B390E89C975	FC71E7E90EE20AE11B239DAEB97A446B
SRR6727834	2018-07-27 18:19:04	2018-02-14 19:04:13	7172351	1082668893	7172351	150	387		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/727/SRR6727834.sralite.1	SRX3700793		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP132898	PRJNA434146	3	434146	SRS2960250	SAMN08537409	simple	7460	Apis mellifera	GSM3004745							no					GEO	SRA659646		public	A99C74653231CBD02076D06BB796117D	D7BA0A94C6F03A5BEFD408E0B4626818
