Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR3486427	2016-05-09 17:01:04	2016-05-09 17:21:05	36383856	7349538912	36383856	202	4749	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/486/SRR3486427.sralite.1	SRX1748252	ROWI1	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP074490	PRJNA320876	NA	320876	SRS1426047	SAMN04958829	simple	308060	Apteryx rowi	ROWI1	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	BASESPACE	SRA424054	NA	public	120FFF93141D21710F787DE301571723	5F605F79E0A3DB8EADE3B435B2D246EE
SRR3496357	2016-05-15 20:09:06	2016-05-10 20:06:13	36561236	7385369672	36561236	202	4767	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/496/SRR3496357.sralite.1	SRX1755876	ROWI1	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP074490	PRJNA320876	NA	320876	SRS1426047	SAMN04958829	simple	308060	Apteryx rowi	ROWI1	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	ILLUMINA	SRA424665	NA	public	3AEB83F72092312C331D06EDBAB8DF54	BC17E9A2EA3A3ACDF550939F9CB0CF7A
SRR3496358	2016-05-15 20:07:03	2016-05-10 20:02:51	30261905	6112904810	30261905	202	3937	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/496/SRR3496358.sralite.1	SRX1755877	ROWI2	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP074490	PRJNA320876	NA	320876	SRS1426051	SAMN04958830	simple	308060	Apteryx rowi	ROWI2	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	ILLUMINA	SRA424665	NA	public	910426FE794A1D4E8AD5F9E9F31A850D	BBBB2AAA3027B969658E256E27B3BE8D
SRR3486436	2016-05-09 17:01:21	2016-05-09 17:14:01	36561236	7385369672	36561236	202	4767	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR348/6436/SRR3486436.sralite.1	SRX1748261	ROWI2	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP074490	PRJNA320876	NA	320876	SRS1426051	SAMN04958830	simple	308060	Apteryx rowi	ROWI2	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	BASESPACE	SRA424063	NA	public	3AEB83F72092312C331D06EDBAB8DF54	BC17E9A2EA3A3ACDF550939F9CB0CF7A
SRR3486432	2016-05-09 17:01:14	2016-05-09 17:11:37	30261905	6112904810	30261905	202	3937	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/486/SRR3486432.sralite.1	SRX1748257	ROWI3	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP074490	PRJNA320876	NA	320876	SRS1426046	SAMN04958832	simple	308060	Apteryx rowi	ROWI3	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	BASESPACE	SRA424059	NA	public	910426FE794A1D4E8AD5F9E9F31A850D	BBBB2AAA3027B969658E256E27B3BE8D
SRR3496345	2016-05-15 20:06:54	2016-05-10 20:02:52	38520359	7781112518	38520359	202	5030	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/496/SRR3496345.sralite.1	SRX1755864	ROWI3	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP074490	PRJNA320876	NA	320876	SRS1426046	SAMN04958832	simple	308060	Apteryx rowi	ROWI3	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	ILLUMINA	SRA424665	NA	public	03F0859CF2732C5B251A0C1EE481A026	FB58E441CE2339223336C118ACD216F5
SRR3496346	2016-05-15 20:19:33	2016-05-10 20:14:24	41009012	8283820424	41009012	202	5397	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/496/SRR3496346.sralite.1	SRX1755865	ROWI4	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP074490	PRJNA320876	NA	320876	SRS1426049	SAMN04958833	simple	308060	Apteryx rowi	ROWI4	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	ILLUMINA	SRA424665	NA	public	4F499AC88B305C60F5A4281FDCF98531	7E76ED016ED79710513BD04D8DA3EA6D
SRR3486433	2016-05-09 17:01:16	2016-05-09 17:18:56	38520359	7781112518	38520359	202	5030	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/486/SRR3486433.sralite.1	SRX1748258	ROWI4	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP074490	PRJNA320876	NA	320876	SRS1426049	SAMN04958833	simple	308060	Apteryx rowi	ROWI4	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	BASESPACE	SRA424060	NA	public	03F0859CF2732C5B251A0C1EE481A026	FB58E441CE2339223336C118ACD216F5
SRR3486431	2016-05-09 17:01:13	2016-05-09 17:20:21	41009012	8283820424	41009012	202	5397	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/486/SRR3486431.sralite.1	SRX1748256	ROWI5	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP074490	PRJNA320876	NA	320876	SRS1426048	SAMN04958827	simple	308060	Apteryx rowi	ROWI5	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	BASESPACE	SRA424058	NA	public	4F499AC88B305C60F5A4281FDCF98531	7E76ED016ED79710513BD04D8DA3EA6D
SRR3496347	2016-05-15 20:10:51	2016-05-10 20:06:54	36383856	7349538912	36383856	202	4749	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/496/SRR3496347.sralite.1	SRX1755866	ROWI5	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP074490	PRJNA320876	NA	320876	SRS1426048	SAMN04958827	simple	308060	Apteryx rowi	ROWI5	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	ILLUMINA	SRA424665	NA	public	120FFF93141D21710F787DE301571723	5F605F79E0A3DB8EADE3B435B2D246EE
SRR3496348	2016-05-15 20:30:06	2016-05-10 20:21:19	84699740	17109347480	84699740	202	12093	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/496/SRR3496348.sralite.1	SRX1755867	ROWI6	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP074490	PRJNA320876	NA	320876	SRS1426052	SAMN04958853	simple	308060	Apteryx rowi	ROWI6	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	ILLUMINA	SRA424665	NA	public	EF9B4B0249843BF7EE8E0AE72EBF8794	25F42527D8EF2048D3EF83F6417C3B23
SRR3486435	2016-05-09 17:01:19	2016-05-09 18:19:04	64139211	12956120622	64139211	202	9146	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/486/SRR3486435.sralite.1	SRX1748260	ROWI6	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP074490	PRJNA320876	NA	320876	SRS1426052	SAMN04958853	simple	308060	Apteryx rowi	ROWI6	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	BASESPACE	SRA424062	NA	public	EEB70A5B85EE8C40AEEBD8DC9CDD1B68	38261A5C2545F36C3EB4159972C74AE1
SRR3486437	2016-05-09 17:01:22	2016-05-09 17:32:07	67819964	13699632728	67819964	202	9678	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/486/SRR3486437.sralite.1	SRX1748262	ROWI7	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP074490	PRJNA320876	NA	320876	SRS1426054	SAMN04958836	simple	308060	Apteryx rowi	ROWI7	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	BASESPACE	SRA424064	NA	public	94DC2D44777CF198988B4C9A009E051E	FF9078E0F796B7CBD13ED541ABF36312
