Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR12062120	2020-06-21 00:33:13	2020-06-21 00:31:21	18399761	3716751722	18399761	202	2395		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12062120/SRR12062120	SRX8590100	MN-12h-4	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP268165	PRJNA640858		640858	SRS6881463	SAMN09245641	simple	59689	Arabidopsis lyrata	A. lyara							no					UNIVERSITY OF COLOGNE	SRA1089415		public	67C02D265942B402096CDDC633C1D8AA	AEB3E962696996780D9B942E8793CA8A
SRR12062121	2020-06-21 00:35:17	2020-06-21 00:33:34	18541646	3745412492	18541646	202	2440		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12062121/SRR12062121	SRX8590099	MN-12h-3	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP268165	PRJNA640858		640858	SRS6881463	SAMN09245641	simple	59689	Arabidopsis lyrata	A. lyara							no					UNIVERSITY OF COLOGNE	SRA1089415		public	8D14D028EC70653CD5ABE33609A7C25F	5F649DBD3EA4A063B6B912D6955FC022
SRR12062122	2020-06-21 00:36:53	2020-06-21 00:34:37	20762505	4194026010	20762505	202	1863		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12062122/SRR12062122	SRX8590098	MN-12h-2	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP268165	PRJNA640858		640858	SRS6881463	SAMN09245641	simple	59689	Arabidopsis lyrata	A. lyara							no					UNIVERSITY OF COLOGNE	SRA1089415		public	8BFA4D2220AD83B922763A7A0ADAD779	7C806F0558902F38EF762BE0C8788D9F
SRR12062123	2020-06-21 00:47:42	2020-06-21 00:44:28	20190241	4078428682	20190241	202	1785		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12062123/SRR12062123	SRX8590097	MN-12h-1	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP268165	PRJNA640858		640858	SRS6881463	SAMN09245641	simple	59689	Arabidopsis lyrata	A. lyara							no					UNIVERSITY OF COLOGNE	SRA1089415		public	DEA6D14518D5CE3E83AAA931658ED808	828BBEE1691934370C6E9EB6EF5B0AD1
SRR12062139	2020-06-21 00:53:16	2020-06-21 00:50:39	22459658	4536850916	22459658	202	2911		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12062139/SRR12062139	SRX8590081	MN-0h-4	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP268165	PRJNA640858		640858	SRS6881463	SAMN09245641	simple	59689	Arabidopsis lyrata	A. lyara							no					UNIVERSITY OF COLOGNE	SRA1089415		public	F295497BA7C3F45B6E6633DEE31A4673	8BB2467D0424A8187F699247593C71B6
SRR12062142	2020-06-21 00:38:29	2020-06-21 00:34:36	18529186	3742895572	18529186	202	2399		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12062142/SRR12062142	SRX8590078	MN-6h-4	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP268165	PRJNA640858		640858	SRS6881463	SAMN09245641	simple	59689	Arabidopsis lyrata	A. lyara							no					UNIVERSITY OF COLOGNE	SRA1089415		public	18D74B5F6BA858B5E56B99ECB0B13DF7	0E57A33E515BECE4C760ED6D3FDC0247
SRR12062143	2020-06-21 00:35:17	2020-06-21 00:33:03	16493860	3331759720	16493860	202	2180		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12062143/SRR12062143	SRX8590077	MN-6h-3	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP268165	PRJNA640858		640858	SRS6881463	SAMN09245641	simple	59689	Arabidopsis lyrata	A. lyara							no					UNIVERSITY OF COLOGNE	SRA1089415		public	9C11FC898D2FD6D32E378BC136A6783F	A34722EC403ECB7FF897A94CE511C2FC
SRR12062144	2020-06-21 00:47:42	2020-06-21 00:44:05	21652399	4373784598	21652399	202	1927		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12062144/SRR12062144	SRX8590076	MN-6h-2	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP268165	PRJNA640858		640858	SRS6881463	SAMN09245641	simple	59689	Arabidopsis lyrata	A. lyara							no					UNIVERSITY OF COLOGNE	SRA1089415		public	25ADCE52C8BE70D932AA310A44EE1FB6	72AA25371104246C9C238E0728F0A21F
SRR12062145	2020-06-21 00:36:53	2020-06-21 00:33:52	17096378	3453468356	17096378	202	1517		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12062145/SRR12062145	SRX8590075	MN-6h-1	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP268165	PRJNA640858		640858	SRS6881463	SAMN09245641	simple	59689	Arabidopsis lyrata	A. lyara							no					UNIVERSITY OF COLOGNE	SRA1089415		public	70D09E979283C2F1D72E0F113C9C530C	6105A77BF0C92AA5FA418468840F83D0
SRR12062150	2020-06-21 00:54:44	2020-06-21 00:52:27	18932275	3824319550	18932275	202	2478		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12062150/SRR12062150	SRX8590070	MN-0h-3	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP268165	PRJNA640858		640858	SRS6881463	SAMN09245641	simple	59689	Arabidopsis lyrata	A. lyara							no					UNIVERSITY OF COLOGNE	SRA1089415		public	18A7EDB6779F61D05D75B0BCFE6285B6	EC0FDB7EDB115E8BBE14225DCADFC392
