Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR1535035	2015-07-22 17:12:28	2015-12-02 16:51:49	16774125	1677412500	16774125	100	1024	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR153/5035/SRR1535035.sralite.1	SRX668439		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP045177	PRJNA248910	2	248910	SRS672918	SAMN02803903	simple	130454	Arachis ipaensis	Arachis_ipaensis_KGBPScS_30076	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	TEXAS A&M UNIVERSITY	SRA177764	NA	public	585D55229E40391E4BDD8AE1A4065266	61FBDB59571A3E2CC2E2A827A862307B
SRR5409268	2018-04-01 00:04:37	2017-04-03 14:42:58	14456903	1821569778	0	126	539	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/409/SRR5409268.sralite.1	SRX2701558	Aipa_rep1_mRNA	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP102938	PRJNA380954	NA	380954	SRS2095428	SAMN06658939	simple	130454	Arachis ipaensis	A.ipaensis_rep1	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF GEORGIA	SRA551088	NA	public	44E6B4792DDBD4DC5382EA18988FC775	F8C9137CC4C34D36698D6238D81D211C
SRR5409267	2018-04-01 00:04:37	2017-04-03 14:36:45	12014626	1513842876	0	126	459	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/409/SRR5409267.sralite.1	SRX2701557	Aipa_rep2_mRNA	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP102938	PRJNA380954	NA	380954	SRS2095441	SAMN06658940	simple	130454	Arachis ipaensis	A.ipaensis_rep2	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF GEORGIA	SRA551088	NA	public	D9BF244457BD5013C448C2851CC5522A	6E5C27AE3D44479485E47E198A943E07
SRR5409266	2018-04-01 00:04:37	2017-04-03 14:39:54	17263250	2175169500	0	126	647	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/409/SRR5409266.sralite.1	SRX2701556	Aipa_rep3_mRNA	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP102938	PRJNA380954	NA	380954	SRS2095440	SAMN06658941	simple	130454	Arachis ipaensis	A.ipaensis_rep3	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF GEORGIA	SRA551088	NA	public	A4220E75BF0778AF211A513B7F5D5020	3406FE790096A377EC881C0452BF6483
SRR8334350	2019-06-01 01:43:23	2018-12-17 21:49:45	17682636	26363712917	0	1490	6415	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/8334/SRR8334350/SRR8334350.lite.1	SRX5145866	F03	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	PACBIO_SMRT	Sequel	SRP133797	PRJNA430760	NA	430760	SRS4156208	SAMN10587433	simple	130454	Arachis ipaensis	A.ipaensis	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	HENAN AGRICULTURAL UNIVERSITY	SRA824501	NA	public	1192F0703D3A3ED9B6E408300C224A27	976EDB899DB7F55BAE5EA7AA3C43045D
SRR8334368	2019-06-01 01:43:22	2018-12-17 21:19:25	25464125	7613229476	25464125	298	3037	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8334368/SRR8334368	SRX5145848	A.ip-2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP133797	PRJNA430760	NA	430760	SRS4156208	SAMN10587433	simple	130454	Arachis ipaensis	A.ipaensis	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	HENAN AGRICULTURAL UNIVERSITY	SRA824501	NA	public	0E038EFF9D6429B2CEFB7AC9D1881895	EC0798FBE106BDD14B42E5BAA477F073
SRR8334369	2019-06-01 01:43:22	2018-12-17 21:18:24	24796376	7411320644	24796376	298	2956	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8334369/SRR8334369	SRX5145847	A.ip-3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP133797	PRJNA430760	NA	430760	SRS4156208	SAMN10587433	simple	130454	Arachis ipaensis	A.ipaensis	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	HENAN AGRICULTURAL UNIVERSITY	SRA824501	NA	public	66753670B3C140C0B8EBD23A3B2E6A70	8CF9E1FB9EBF44B727DB1485167B2E14
SRR8334370	2019-06-01 01:43:22	2018-12-17 21:22:07	24765949	7408505574	24765949	299	2958	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8334370/SRR8334370	SRX5145846	A.ip-4	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP133797	PRJNA430760	NA	430760	SRS4156208	SAMN10587433	simple	130454	Arachis ipaensis	A.ipaensis	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	HENAN AGRICULTURAL UNIVERSITY	SRA824501	NA	public	15667D4EE28E46CDCD4AA24F9A61293E	B948C64A3881AAF1BA2BB46048EA96D1
SRR8334378	2019-06-01 01:43:22	2018-12-17 21:22:51	26245919	7855767146	26245919	299	3104	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8334378/SRR8334378	SRX5145838	A.ip-1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP133797	PRJNA430760	NA	430760	SRS4156208	SAMN10587433	simple	130454	Arachis ipaensis	A.ipaensis	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	HENAN AGRICULTURAL UNIVERSITY	SRA824501	NA	public	B10C402C996CDB9D3811EE70AF392531	26B23B5320B81DA35CF8D97D3260DDF1
SRR11341453	2020-03-18 02:54:44	2020-03-18 02:31:46	32373793	1618689650	0	50	725	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11341453/SRR11341453	SRX7944557	1ILC_A1	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP253131	PRJNA613108	NA	613108	SRS6331405	SAMN14394599	simple	130454	Arachis ipaensis	1	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	TEXAS A&M AGRILIFE	SRA1056108	NA	public	03BA9ECA2C35E672545EED3A15E90A60	79E16380A1D6E7F42A0DAA4C54B6651F
SRR11341451	2020-03-18 02:17:41	2020-03-18 02:15:10	26121471	1306073550	0	50	589	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/341/SRR11341451.sralite.1	SRX7944559	11IL7_C2	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP253131	PRJNA613108	NA	613108	SRS6331407	SAMN14394609	simple	130454	Arachis ipaensis	11	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	TEXAS A&M AGRILIFE	SRA1056108	NA	public	15CAD24B5127D66DB8C8B3E97F53035A	412EA43A49661BEA6616D0C41AC1359A
SRR11341449	2020-03-18 03:30:56	2020-03-18 03:27:53	23851275	1192563750	0	50	542	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/341/SRR11341449.sralite.1	SRX7944561	13IL7_E2	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP253131	PRJNA613108	NA	613108	SRS6331409	SAMN14394611	simple	130454	Arachis ipaensis	13	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	TEXAS A&M AGRILIFE	SRA1056108	NA	public	14A3ECD1CDB6ED50D13EA8C4223069DE	5D833744FEE13448AD207781756E6402
SRR11341447	2020-03-18 03:00:30	2020-03-18 02:57:49	24346176	1217308800	0	50	548	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11341447/SRR11341447	SRX7944563	15IL7_G2	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP253131	PRJNA613108	NA	613108	SRS6331411	SAMN14394613	simple	130454	Arachis ipaensis	15	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	TEXAS A&M AGRILIFE	SRA1056108	NA	public	DA1DBB5528881299751300E958B398DC	523936161B6F774790E637CAD2ABDE7D
SRR11341445	2020-03-18 02:14:16	2020-03-18 02:13:06	31514140	1575707000	0	50	733	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/341/SRR11341445.sralite.1	SRX7944565	17IRC_A3	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP253131	PRJNA613108	NA	613108	SRS6331413	SAMN14394615	simple	130454	Arachis ipaensis	17	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	TEXAS A&M AGRILIFE	SRA1056108	NA	public	5C2DC5352D1BDCEF1410F71ED2510360	0B666D202D4C480C69BE430236854956
SRR11341443	2020-03-18 03:00:30	2020-03-18 02:38:08	26921674	1346083700	0	50	625	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11341443/SRR11341443	SRX7944567	19IRC_C3	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP253131	PRJNA613108	NA	613108	SRS6331415	SAMN14394617	simple	130454	Arachis ipaensis	19	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	TEXAS A&M AGRILIFE	SRA1056108	NA	public	45C5826B9AA5A4C491AEAA38173A38A7	BCDD85548C3DDC0B6BFF2A95B2471CE2
SRR11341440	2020-03-18 03:06:29	2020-03-18 03:04:35	26510217	1325510850	0	50	612	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11341440/SRR11341440	SRX7944570	21IRC_E3	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP253131	PRJNA613108	NA	613108	SRS6331418	SAMN14394619	simple	130454	Arachis ipaensis	21	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	TEXAS A&M AGRILIFE	SRA1056108	NA	public	8E05FA4F9D6FE0D7E2D626D006C592BF	0493678095C7F1A1D79B0BFCBEB7D98B
SRR11341438	2020-03-18 03:48:44	2020-03-18 03:46:39	24974259	1248712950	0	50	575	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11341438/SRR11341438	SRX7944572	23IRC_G3	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP253131	PRJNA613108	NA	613108	SRS6331420	SAMN14394621	simple	130454	Arachis ipaensis	23	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	TEXAS A&M AGRILIFE	SRA1056108	NA	public	B36FE35E0980FBED1542A63288A9D8BD	43F531B94BB8A341BCE88FF8C34D1FAA
SRR11341436	2020-03-18 03:08:10	2020-03-18 02:41:00	30248685	1512434250	0	50	716	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/341/SRR11341436.sralite.1	SRX7944574	25IR7_A4	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP253131	PRJNA613108	NA	613108	SRS6331422	SAMN14394623	simple	130454	Arachis ipaensis	25	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	TEXAS A&M AGRILIFE	SRA1056108	NA	public	29BFCAADD1A3122626D05673B433D5FE	657BEDB096A4CE960D3D24893BCAFACA
SRR11341434	2020-03-18 04:26:30	2020-03-18 04:23:40	30518670	1525933500	0	50	732	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/341/SRR11341434.sralite.1	SRX7944576	27IR7_C4	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP253131	PRJNA613108	NA	613108	SRS6331424	SAMN14394625	simple	130454	Arachis ipaensis	27	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	TEXAS A&M AGRILIFE	SRA1056108	NA	public	2FCE4075B9B7EC65A3A48DA94BBE15F0	59B1477250F340C78671CF13119057CE
SRR11341432	2020-03-18 02:53:12	2020-03-18 02:32:35	26796113	1339805650	0	50	632	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11341432/SRR11341432	SRX7944578	29IR7_E4	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP253131	PRJNA613108	NA	613108	SRS6331426	SAMN14394627	simple	130454	Arachis ipaensis	29	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	TEXAS A&M AGRILIFE	SRA1056108	NA	public	A7C8B1BD63E94E9E919C6FE9A6F22E7B	AAAB2392B23302C5BBA3534D178246FE
SRR11341441	2020-03-18 03:47:11	2020-03-18 03:46:08	26129223	1306461150	0	50	592	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/341/SRR11341441.sralite.1	SRX7944569	3ILC_C1	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP253131	PRJNA613108	NA	613108	SRS6331417	SAMN14394601	simple	130454	Arachis ipaensis	3	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	TEXAS A&M AGRILIFE	SRA1056108	NA	public	CB6B99B8881C9D6276A0F2040949BA9E	71B8DB3616E72E93B14A4EF30C70C567
SRR11341429	2020-03-18 02:13:29	2020-03-18 02:12:06	30004492	1500224600	0	50	711	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/341/SRR11341429.sralite.1	SRX7944581	31IR7_G4	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP253131	PRJNA613108	NA	613108	SRS6331429	SAMN14394629	simple	130454	Arachis ipaensis	31	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	TEXAS A&M AGRILIFE	SRA1056108	NA	public	3DC1FFAE860DFE3F39218059A5EDF879	DAE4FAED23C539DD3FC3E871D5D60192
SRR11341427	2020-03-18 02:40:06	2020-03-18 02:21:53	24190815	1209540750	0	50	540	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/341/SRR11341427.sralite.1	SRX7944583	5ILC_E1	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP253131	PRJNA613108	NA	613108	SRS6331431	SAMN14394603	simple	130454	Arachis ipaensis	5	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	TEXAS A&M AGRILIFE	SRA1056108	NA	public	E0917F7F456D74EC59882DFB6A3D989F	0964EF11F8DC8986722F9AE46C8F5C6D
