Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR3264108	2019-06-06 03:43:41	2019-06-06 13:34:11	1683082	508290764	1683082	302	249	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR3264108/ERR3264108	ERX3290752	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	500	0	ILLUMINA	Illumina HiSeq 2500	ERP114673	PRJEB32048	NA	546202	ERS3354232	SAMEA5552187	simple	63155	Archocentrus centrarchus	SAMEA5552187	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY KONSTANZ	ERA1821081	NA	public	932107B005A22403BCBD57E14B6C2D94	065A13428840792DC2BFD8BD7741F5E4
ERR3264109	2019-06-06 03:43:41	2019-06-06 13:32:16	1425040	430362080	1425040	302	214	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR3264109/ERR3264109	ERX3290753	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	500	0	ILLUMINA	Illumina HiSeq 2500	ERP114673	PRJEB32048	NA	546202	ERS3354233	SAMEA5552188	simple	63155	Archocentrus centrarchus	SAMEA5552188	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY KONSTANZ	ERA1821081	NA	public	36B9F028AE40834ACAE35AF05B0BB495	188714B6FA283F409CE59804F718E54D
ERR3264110	2019-06-06 03:43:41	2019-06-06 13:38:50	1657243	500487386	1657243	302	247	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR3264110/ERR3264110	ERX3290754	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	500	0	ILLUMINA	Illumina HiSeq 2500	ERP114673	PRJEB32048	NA	546202	ERS3354234	SAMEA5552189	simple	63155	Archocentrus centrarchus	SAMEA5552189	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY KONSTANZ	ERA1821081	NA	public	322103FFB08B6FD8F3E9CD06C272418E	9A9574586458697489766A5583443CF4
ERR3264123	2019-06-06 03:43:41	2019-06-06 13:47:46	1819909	549612518	1819909	302	274	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR3264123/ERR3264123	ERX3290767	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	500	0	ILLUMINA	Illumina HiSeq 2500	ERP114673	PRJEB32048	NA	546202	ERS3354247	SAMEA5552202	simple	63155	Archocentrus centrarchus	SAMEA5552202	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY KONSTANZ	ERA1821081	NA	public	14177C4CE7A03032927952BC3CB1F5A8	882EC324C3F800EA08754B211C288D3F
ERR3264124	2019-06-06 03:43:41	2019-06-06 13:45:09	1612067	486844234	1612067	302	238	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR3264124/ERR3264124	ERX3290768	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	500	0	ILLUMINA	Illumina HiSeq 2500	ERP114673	PRJEB32048	NA	546202	ERS3354248	SAMEA5552203	simple	63155	Archocentrus centrarchus	SAMEA5552203	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY KONSTANZ	ERA1821081	NA	public	FDDDA2931AD7D24A182BE5CF07634D7E	7E99109C23A0301434D7A5BA8D98CB7C
ERR3264126	2019-06-06 03:43:41	2019-06-06 13:47:29	1537658	464372716	1537658	302	228	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR003/264/ERR3264126.sralite.1	ERX3290770	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	500	0	ILLUMINA	Illumina HiSeq 2500	ERP114673	PRJEB32048	NA	546202	ERS3354250	SAMEA5552205	simple	63155	Archocentrus centrarchus	SAMEA5552205	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY KONSTANZ	ERA1821081	NA	public	1ECBAF0D60748FF196B05E04C2C5655C	ED96036BFB77A14A5DB553F3BC4A1D20
ERR3264132	2019-06-06 03:43:42	2019-06-06 13:47:39	1491747	450507594	1491747	302	220	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR3264132/ERR3264132	ERX3290776	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	500	0	ILLUMINA	Illumina HiSeq 2500	ERP114673	PRJEB32048	NA	546202	ERS3354256	SAMEA5552211	simple	63155	Archocentrus centrarchus	SAMEA5552211	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY KONSTANZ	ERA1821081	NA	public	A7264D578F17BA2622EF768831D216D4	35C1D0CBBD4FB7ADCC485E2E7C61DC55
ERR3264146	2019-06-06 03:43:42	2019-06-06 11:29:17	1680139	507401978	1680139	302	250	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR3264146/ERR3264146	ERX3290790	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	500	0	ILLUMINA	Illumina HiSeq 2500	ERP114673	PRJEB32048	NA	546202	ERS3354270	SAMEA5552225	simple	63155	Archocentrus centrarchus	SAMEA5552225	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY KONSTANZ	ERA1821081	NA	public	79930F106A589AEBB2C41A6A3CB73F71	6A0022E60F9D16CA276DDF647FCDF719
ERR3264147	2019-06-06 03:43:42	2019-06-06 11:28:53	1772816	535390432	1772816	302	267	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR003/264/ERR3264147.sralite.1	ERX3290791	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	500	0	ILLUMINA	Illumina HiSeq 2500	ERP114673	PRJEB32048	NA	546202	ERS3354271	SAMEA5552226	simple	63155	Archocentrus centrarchus	SAMEA5552226	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY KONSTANZ	ERA1821081	NA	public	C7F9CDD33331F2D23D7B88F37ED0CD43	56FEA6A1A1E0B7FAA4FD6CE9F811938C
ERR3264197	2019-06-06 03:43:42	2019-06-06 11:35:57	1327718	400970836	1327718	302	181	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR003/264/ERR3264197.sralite.1	ERX3290841	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	500	0	ILLUMINA	Illumina HiSeq 2500	ERP114673	PRJEB32048	NA	546202	ERS3354322	SAMEA5552277	simple	63155	Archocentrus centrarchus	SAMEA5552277	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY KONSTANZ	ERA1821081	NA	public	BF5852853CD22F79C9770AC1637EB336	25155EE0315EE0A74D71F9E2D91BAB89
ERR3264198	2019-06-06 03:43:42	2019-06-06 11:36:21	1246875	376556250	1246875	302	170	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR003/264/ERR3264198.sralite.1	ERX3290842	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	500	0	ILLUMINA	Illumina HiSeq 2500	ERP114673	PRJEB32048	NA	546202	ERS3354323	SAMEA5552278	simple	63155	Archocentrus centrarchus	SAMEA5552278	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY KONSTANZ	ERA1821081	NA	public	5AFFA525BF0550EE59F57ED68F9EC0A3	0B1F49F8F69EA5BC5D9134CA4F98E58E
ERR3264199	2019-06-06 03:43:42	2019-06-06 11:36:36	1242720	375301440	1242720	302	169	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR3264199/ERR3264199	ERX3290843	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	500	0	ILLUMINA	Illumina HiSeq 2500	ERP114673	PRJEB32048	NA	546202	ERS3354324	SAMEA5552279	simple	63155	Archocentrus centrarchus	SAMEA5552279	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY KONSTANZ	ERA1821081	NA	public	2D66AFB7A54BC229F120F7CA389A2C74	029F35DBA6B115BD63D258110345F43D
ERR3264200	2019-06-06 03:43:42	2019-06-06 11:37:01	1339955	404666410	1339955	302	183	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR003/264/ERR3264200.sralite.1	ERX3290844	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	500	0	ILLUMINA	Illumina HiSeq 2500	ERP114673	PRJEB32048	NA	546202	ERS3354325	SAMEA5552280	simple	63155	Archocentrus centrarchus	SAMEA5552280	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY KONSTANZ	ERA1821081	NA	public	42A56D465805B4A3D68083C8AE1B10D0	E56B6E78BFECF9C668702C65E6E34074
ERR3264201	2019-06-06 03:43:42	2019-06-06 11:36:17	1225157	369997414	1225157	302	166	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR3264201/ERR3264201	ERX3290845	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	500	0	ILLUMINA	Illumina HiSeq 2500	ERP114673	PRJEB32048	NA	546202	ERS3354326	SAMEA5552281	simple	63155	Archocentrus centrarchus	SAMEA5552281	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY KONSTANZ	ERA1821081	NA	public	6CC32898DAF67237735973A13D47DD24	D8EBF5F2BE7D358C4C31CB0C64E2E7CD
ERR3264202	2019-06-06 03:43:42	2019-06-06 11:36:39	1258416	380041632	1258416	302	174	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR003/264/ERR3264202.sralite.1	ERX3290846	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	500	0	ILLUMINA	Illumina HiSeq 2500	ERP114673	PRJEB32048	NA	546202	ERS3354327	SAMEA5552282	simple	63155	Archocentrus centrarchus	SAMEA5552282	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY KONSTANZ	ERA1821081	NA	public	CB920C3FE41525AE015F798951EA1546	73753E546FCE6DB0CB732D8C61C97E17
