Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR6982561	2018-04-11 06:34:12	2018-04-11 06:26:13	65160868	13032173600	65160868	200	9393	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/982/SRR6982561.sralite.1	SRX3922894	E12_Albino_R1.fastq E12_Albino_R2.fastq E12_Colour_R1.fastq E12_Colour_R2.fastq F17_Albino_R1.fastq F17_Albino_R2.fastq F17_Colour_R1.fastq F17_Colour_R2.fastq	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiScanSQ	SRP139463	PRJNA449279	NA	449279	SRS3157511	SAMN08892998	simple	874455	Arctia plantaginis	A.plantaginis_Albino_larvae	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	UNIVERSITY OF JYVASKYLA	SRA686833	NA	public	1B0F3774838C825C18210D30A676E546	0EC04AC4A7B3ED424BD91FB61492DF35
SRR9903596	2019-08-06 16:49:34	2019-08-06 15:58:50	18535776	2817437952	18535776	152	1011	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9903596/SRR9903596	SRX6655428	A_13_5_2_5_R1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP217431	PRJNA558865	NA	558865	SRS5216528	SAMN12500862	simple	874455	Arctia plantaginis	A_13_5_2_5_R1	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF JYVASKYLA	SRA933750	NA	public	AD2D3AACBEE6A46D9D5A103026539F90	911CDC4C73CB11994E82DCF25DDDF87C
SRR9903597	2019-08-06 16:49:34	2019-08-06 15:59:56	20778153	3158279256	20778153	152	1132	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9903597/SRR9903597	SRX6655427	A_14_4_2_5_R1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP217431	PRJNA558865	NA	558865	SRS5216527	SAMN12500864	simple	874455	Arctia plantaginis	A_14_4_2_5_R1	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF JYVASKYLA	SRA933750	NA	public	4A7A1C0307F8A91C0FD24A95CD66127E	1B0B5F6981CE2D509D5300B7913CC139
SRR9903600	2019-08-06 16:49:34	2019-08-06 15:58:42	18996229	2887426808	18996229	152	1037	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9903600/SRR9903600	SRX6655424	A_17_4_3_6_R1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP217431	PRJNA558865	NA	558865	SRS5216525	SAMN12500866	simple	874455	Arctia plantaginis	A_17_4_3_6_R1	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF JYVASKYLA	SRA933750	NA	public	74BC341CBD85E8500574AB66C1BFB6D9	B638B39414079D9D7AF3739153A3BB84
SRR9903598	2019-08-06 16:49:34	2019-08-06 16:00:36	21849273	3321089496	21849273	152	1195	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/903/SRR9903598.sralite.1	SRX6655426	A_1_5_3_6_R1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP217431	PRJNA558865	NA	558865	SRS5216526	SAMN12500858	simple	874455	Arctia plantaginis	A_1_5_3_6_R1	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF JYVASKYLA	SRA933750	NA	public	F3542B7948231C6FEB6E41892523E927	B4898359CC2C817B0DD2095714DD89EC
SRR9903608	2019-08-06 16:49:33	2019-08-06 15:59:17	19362966	2943170832	19362966	152	1053	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9903608/SRR9903608	SRX6655416	A_20_6_1_4_R1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP217431	PRJNA558865	NA	558865	SRS5216517	SAMN12500868	simple	874455	Arctia plantaginis	A_20_6_1_4_R1	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF JYVASKYLA	SRA933750	NA	public	63EEED9EE9CE722FA56A7A43A7F5992C	D49066B68758AD7D9DF248E9BC2F393E
SRR9903609	2019-08-06 16:49:33	2019-08-06 15:59:59	21373209	3248727768	21373209	152	1186	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/903/SRR9903609.sralite.1	SRX6655415	A_21_2_3_6_R1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP217431	PRJNA558865	NA	558865	SRS5216515	SAMN12500870	simple	874455	Arctia plantaginis	A_21_2_3_6_R1	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF JYVASKYLA	SRA933750	NA	public	2377664BE3C2E88EC41D847F144644CB	8DE805E5F95E57551FBB92D53CB94DE6
SRR9903610	2019-08-06 16:49:33	2019-08-06 16:13:24	21162227	3216658504	21162227	152	1155	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9903610/SRR9903610	SRX6655414	A_27_6_2_5_R1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP217431	PRJNA558865	NA	558865	SRS5216513	SAMN12500872	simple	874455	Arctia plantaginis	A_27_6_2_5_R1	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF JYVASKYLA	SRA933750	NA	public	ACFD60BD182F97FCFE49D4C188C0F0E7	3573A671D7A4768E3825FF888E93B498
SRR9903611	2019-08-06 16:49:33	2019-08-06 15:57:20	18807032	2858668864	18807032	152	1029	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9903611/SRR9903611	SRX6655413	A_43_4_1_4_R1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP217431	PRJNA558865	NA	558865	SRS5216512	SAMN12500874	simple	874455	Arctia plantaginis	A_43_4_1_4_R1	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF JYVASKYLA	SRA933750	NA	public	FC4E7167BB6C86B93B96C327B958A55D	DB493044EB240F3F08FA04CC1F3D311B
SRR9903599	2019-08-06 16:49:34	2019-08-06 15:58:53	19434036	2953973472	19434036	152	1064	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9903599/SRR9903599	SRX6655425	A_7_6_3_6_R1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP217431	PRJNA558865	NA	558865	SRS5216524	SAMN12500860	simple	874455	Arctia plantaginis	A_7_6_3_6_R1	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF JYVASKYLA	SRA933750	NA	public	CB920852FAD54D312AA9CEAB1AF513A2	89AD0BF06EF74E3386A3C073FAEA8180
