Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR8367572	2020-01-17 00:00:15	2018-12-24 01:51:05	23258395	6977518500	23258395	300	2302	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/367/SRR8367572.sralite.1	SRX5177882	B.yarrelli	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP149864	PRJNA447978	NA	447978	SRS4185145	SAMN10617680	simple	175774	Bagarius yarrelli	B.yarrelli	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	NOVOGENE BIOINFORMATICS INSTITUTE	SRA826841	NA	public	9307BA625CA3E4E015162482334B18AD	43D8B4677C0AFA64073523646B09ADE7
SRR6426006	2019-12-27 16:40:10	2017-12-28 09:47:01	35343960	8899532003	35343960	251	5910	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/426/SRR6426006.sralite.1	SRX3518270		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP127660	PRJNA427776	NA	427776	SRS2795308	SAMN08272378	simple	175774	Bagarius yarrelli	GSM2905746	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA642292	NA	public	B3DEDCF3FB27FADB8A68D6C9B645144C	72ABD8A3B152266447451243517EFA6A
SRR6426007	2019-12-27 16:40:10	2017-12-28 09:43:38	36516521	9194275642	36516521	251	6069	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/426/SRR6426007.sralite.1	SRX3518271		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP127660	PRJNA427776	NA	427776	SRS2795335	SAMN08272422	simple	175774	Bagarius yarrelli	GSM2905747	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA642292	NA	public	2D0B76840CD73ED0818B3AF3DD5B71FA	8AE3CD0CB541BB97CCAAD9B295F77875
SRR6426008	2019-12-27 16:40:10	2017-12-28 09:40:56	32009810	8059778283	32009810	251	5338	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/426/SRR6426008.sralite.1	SRX3518272		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP127660	PRJNA427776	NA	427776	SRS2795309	SAMN08272421	simple	175774	Bagarius yarrelli	GSM2905748	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA642292	NA	public	75678884CAEE188B26EFBD1A78C2B6E7	39A0E877A70D83DAC78BE0C3AC4F0537
SRR6426009	2019-12-27 16:40:10	2017-12-28 09:39:42	31322491	7878762452	31322491	251	5188	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/426/SRR6426009.sralite.1	SRX3518273		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP127660	PRJNA427776	NA	427776	SRS2795310	SAMN08272420	simple	175774	Bagarius yarrelli	GSM2905749	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA642292	NA	public	1C6804B392B87DCF748D3F9852B8AFF4	2348B4409BF7198B7D8BD89BD7E8BE31
SRR6426010	2019-12-27 16:40:10	2017-12-28 09:40:55	30500603	7680399195	30500603	251	5110	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/426/SRR6426010.sralite.1	SRX3518274		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP127660	PRJNA427776	NA	427776	SRS2795311	SAMN08272419	simple	175774	Bagarius yarrelli	GSM2905750	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA642292	NA	public	32BD64F1254840B890055A66B44A1339	2A5E867411E325CF841A9154F3933F0F
SRR6426011	2019-12-27 16:40:10	2017-12-28 09:36:54	30500365	7679804183	30500365	251	5098	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/426/SRR6426011.sralite.1	SRX3518275		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP127660	PRJNA427776	NA	427776	SRS2795312	SAMN08272418	simple	175774	Bagarius yarrelli	GSM2905751	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA642292	NA	public	2A213274100C1B113D3F429F2C49111C	43D5CBB3C5D228B2E980F9695A1D9B04
SRR6426012	2019-12-27 16:40:10	2017-12-28 09:40:21	31229961	7863273272	31229961	251	5199	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/426/SRR6426012.sralite.1	SRX3518276		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP127660	PRJNA427776	NA	427776	SRS2795313	SAMN08272417	simple	175774	Bagarius yarrelli	GSM2905752	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA642292	NA	public	5DB2B28EFE9160B0DFFBFAA3661F6BEE	6CE0FEB13DA1E13F697ADFB7ED16670D
SRR6426013	2019-12-27 16:40:10	2017-12-28 09:46:43	35237974	8873024994	35237974	251	5879	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/426/SRR6426013.sralite.1	SRX3518277		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP127660	PRJNA427776	NA	427776	SRS2795314	SAMN08272416	simple	175774	Bagarius yarrelli	GSM2905753	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA642292	NA	public	07B48CC1B8E30A6E83C1AA85AEF602B3	736DBA9E10F8CD8BCA8D1BC8F129453B
SRR6426014	2019-12-27 16:40:10	2017-12-28 09:43:17	36235588	9124843000	36235588	251	6036	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/426/SRR6426014.sralite.1	SRX3518278		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP127660	PRJNA427776	NA	427776	SRS2795315	SAMN08272415	simple	175774	Bagarius yarrelli	GSM2905754	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA642292	NA	public	08E6E2F7C837B022539BB3CACF3416BA	42705A8268BE5096CB2D7C77F0B9F942
SRR8614092	2019-02-23 06:43:14	2019-02-23 06:37:00	34297826	8635472359	34297826	251	5680	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8614092/SRR8614092	SRX5413128	BA_RNA-seq	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP186525	PRJNA523489	3	523489	SRS4390884	SAMN10979322	simple	175774	Bagarius yarrelli	Mekong giant catfish	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	SHENZHEN KEY LAB OF MARINE GENOMICS	SRA851685	NA	public	206E8451B90436CA5DA08F6CB85EAA17	955262B97E23857A48DFB5B0E0B0CD26
