Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
DRR207891	2020-05-22 04:08:36	2020-05-22 04:21:33	51346604	12939344208	51346604	252	5998		https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR207891/DRR207891	DRX198241	B_1	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	199	0	ILLUMINA	Illumina HiSeq 2500	DRP006115	PRJDB9261		632764	DRS139262	SAMD00202630	simple	158456	Betta splendens	SAMD00202630					male		no					FAIS	DRA009599		public	C649C284F8C6ED6E932117FFF042D79C	B57175AEB031ED814090D1BCC9CFE837
DRR207892	2020-05-22 04:08:36	2020-05-22 04:20:45	49140932	12383514864	49140932	252	5630		https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR207892/DRR207892	DRX198242	B_2	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	194	0	ILLUMINA	Illumina HiSeq 2500	DRP006115	PRJDB9261		632764	DRS139263	SAMD00202631	simple	158456	Betta splendens	SAMD00202631					male		no					FAIS	DRA009599		public	C36DDFB661E4AE86D428D8BE516D0F6C	C4567DC1EB1AB2D4AE34E3E68BAD8B9A
DRR207893	2020-05-22 04:08:36	2020-05-22 04:22:14	48208708	12148594416	48208708	252	5606		https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR207893/DRR207893	DRX198243	B_3	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	189	0	ILLUMINA	Illumina HiSeq 2500	DRP006115	PRJDB9261		632764	DRS139264	SAMD00202632	simple	158456	Betta splendens	SAMD00202632					male		no					FAIS	DRA009599		public	E6D5BCB22325A4E4589FCE8CD0F58C21	5E7BCEB99286B7716DC706CBACA5B0F3
DRR207894	2020-05-22 04:08:36	2020-05-22 04:14:53	13298709	1343169609	0	101	666		https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR207894/DRR207894	DRX198244	B_4	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP006115	PRJDB9261		632764	DRS139265	SAMD00202633	simple	158456	Betta splendens	SAMD00202633					male		no					FAIS	DRA009599		public	3D52CC664923EB8499F37B20FCE20842	77F17A7662B0D0604E4ED4658E202EDE
DRR207895	2020-05-22 04:08:36	2020-05-22 04:12:37	13772260	1390998260	0	101	699		https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR207895/DRR207895	DRX198245	B_5	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP006115	PRJDB9261		632764	DRS139266	SAMD00202634	simple	158456	Betta splendens	SAMD00202634					male		no					FAIS	DRA009599		public	86063E376D9EFAC1BCC9F2C724E8FA0D	6812C30373C30233A0C0D0566DA71B2F
DRR207896	2020-05-22 04:08:36	2020-05-22 04:13:15	28992195	1478601945	0	51	688		https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR207896/DRR207896	DRX198246	D20_11	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP006115	PRJDB9261		632764	DRS139267	SAMD00202635	simple	158456	Betta splendens	SAMD00202635					male		no					FAIS	DRA009599		public	8F308A90048E22D7CF45BB7097A38E81	31FB1CA4E39E33CDC78042FD5DF30A60
DRR207897	2020-05-22 04:08:36	2020-05-22 04:12:41	26365612	1344646212	0	51	623		https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR207897/DRR207897	DRX198247	D20_12	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP006115	PRJDB9261		632764	DRS139268	SAMD00202636	simple	158456	Betta splendens	SAMD00202636					male		no					FAIS	DRA009599		public	441529DF92322500F87440EFB0394A04	9B6A41816B7542773BE71D949DBDBB02
DRR207898	2020-05-22 04:08:36	2020-05-22 04:14:50	16039586	1619998186	0	101	803		https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR207898/DRR207898	DRX198248	D20_21	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP006115	PRJDB9261		632764	DRS139269	SAMD00202637	simple	158456	Betta splendens	SAMD00202637					male		no					FAIS	DRA009599		public	7772E210EAD2FC49384A00EAABE32408	C5E6B5577758D6A5A0D2910C974232EC
DRR207899	2020-05-22 04:08:36	2020-05-22 04:15:15	14104639	1424568539	0	101	708		https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR207899/DRR207899	DRX198249	D20_22	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP006115	PRJDB9261		632764	DRS139270	SAMD00202638	simple	158456	Betta splendens	SAMD00202638					male		no					FAIS	DRA009599		public	DF930F74F02BBE47E31E545958E6BE8A	8D59C98D540C94262CD51B81D3CDF973
DRR207900	2020-05-22 04:08:36	2020-05-22 04:14:45	31124911	1587370461	0	51	737		https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR207900/DRR207900	DRX198250	D20_31	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP006115	PRJDB9261		632764	DRS139271	SAMD00202639	simple	158456	Betta splendens	SAMD00202639					male		no					FAIS	DRA009599		public	CE01E35CEB33CF7127B2519CCF54A4C9	8024D30BFF8EB894224559873B44A05C
