Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR7812743	2018-09-10 10:33:12	2018-09-10 10:30:01	33319522	9995856600	33319522	300	3342		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/812/SRR7812743.sralite.1	SRX4664317	Dazao biological replicate 1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP160891	PRJNA490102		490102	SRS3759385	SAMN10025249	simple	7091	Bombyx mori	Dazao							no					SOUTHWEST UNIVERSITY	SRA770421		public	6E88F185999FDC6AF8BDFBC28D39F94D	8E917F44E6C2095EE6AEC0E00AAD87E0
SRR7812744	2018-09-10 10:35:13	2018-09-10 10:31:34	30619179	9185753700	30619179	300	3458		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7812744/SRR7812744	SRX4664316	Dazao biological replicate 2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP160891	PRJNA490102		490102	SRS3759385	SAMN10025249	simple	7091	Bombyx mori	Dazao							no					SOUTHWEST UNIVERSITY	SRA770421		public	8AFCFC5373290303A77D67D08DCB6BE0	6301BEB865E232355A1FD93E34AB5634
SRR7812745	2018-09-10 10:35:13	2018-09-10 10:31:01	36306278	10891883400	36306278	300	3667		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7812745/SRR7812745	SRX4664315	Dazao biological replicate 3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP160891	PRJNA490102		490102	SRS3759385	SAMN10025249	simple	7091	Bombyx mori	Dazao							no					SOUTHWEST UNIVERSITY	SRA770421		public	B12BA7499D1137FC27F8F9DE9C30742B	36B33DE5565E29F1E616A536DE9B8EEE
SRR7812746	2018-09-10 10:37:16	2018-09-10 10:31:50	29760402	8928120600	29760402	300	3128		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7812746/SRR7812746	SRX4664314	sk biological replicate 1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP160891	PRJNA490102		490102	SRS3759386	SAMN10025250	simple	7091	Bombyx mori	sk							no					SOUTHWEST UNIVERSITY	SRA770421		public	991CF266E7973C582651F8D9DF666506	5131BDB853002EE2298BA899990D7796
SRR7812741	2018-09-10 10:38:11	2018-09-10 10:34:21	32365793	9709737900	32365793	300	3397		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/812/SRR7812741.sralite.1	SRX4664319	sk biological replicate 2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP160891	PRJNA490102		490102	SRS3759386	SAMN10025250	simple	7091	Bombyx mori	sk							no					SOUTHWEST UNIVERSITY	SRA770421		public	5D9650534457C312720F376812B566EA	F7FA85FEE747B9367BEED63CE0225E2B
SRR7812742	2018-09-10 10:26:25	2018-09-10 10:22:23	29340753	8802225900	29340753	300	2981		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR781/2742/SRR7812742.sralite.1	SRX4664318	sk biological replicate 3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP160891	PRJNA490102		490102	SRS3759386	SAMN10025250	simple	7091	Bombyx mori	sk							no					SOUTHWEST UNIVERSITY	SRA770421		public	B43CE6384A3CBFD06A892A70FFC8732D	05D9052C81AB8E6588FCFF557367C8A0
DRR077426	2018-04-17 17:02:44	2018-04-17 17:05:01	22319594	4508557988	22319594	202	3057		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR077/426/DRR077426.sralite.1	DRX071270		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	234	86.265	ILLUMINA	Illumina HiSeq 2000	DRP004172	PRJDB5344		450761	DRS061539	SAMD00067450	simple	7091	Bombyx mori	SAMD00067450							no					UT-GALS	DRA005299		public	C738D6335E68CAB0BA057CEFEA39B9DC	1CD0E1092ABC159C13D80BEB5E646646
DRR077427	2018-04-17 17:02:44	2018-04-17 17:03:59	28399127	5736623654	28399127	202	3893		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR077/427/DRR077427.sralite.1	DRX071271		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	235	103.952	ILLUMINA	Illumina HiSeq 2000	DRP004172	PRJDB5344		450761	DRS061540	SAMD00067451	simple	7091	Bombyx mori	SAMD00067451							no					UT-GALS	DRA005299		public	BD57ABEA4817DF17D689C1A5C88F794C	7E9FF9B4AD849A8B6FEC03B2D3307323
DRR077428	2018-04-17 17:02:44	2018-04-17 17:03:44	23163593	4679045786	23163593	202	3179		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR077/428/DRR077428.sralite.1	DRX071272		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	219	76.5	ILLUMINA	Illumina HiSeq 2000	DRP004172	PRJDB5344		450761	DRS061541	SAMD00067452	simple	7091	Bombyx mori	SAMD00067452							no					UT-GALS	DRA005299		public	17D953E8A26D2D1462A54B9A041F6D95	73E6A9570867B1834F02FC4497E32CAC
DRR077429	2018-04-17 17:02:44	2018-04-17 17:04:58	20903295	4222465590	20903295	202	2868		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR077/429/DRR077429.sralite.1	DRX071273		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	241	100.274	ILLUMINA	Illumina HiSeq 2000	DRP004172	PRJDB5344		450761	DRS061542	SAMD00067453	simple	7091	Bombyx mori	SAMD00067453							no					UT-GALS	DRA005299		public	02944984C339DFC6561C2A29A0C33F30	30D36CE8FEB2A048F25DA1C02B7E48DB
