Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR6798376	2018-06-20 00:17:08	2018-03-02 13:24:26	32775500	6555100000	32775500	200	4268		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/798/SRR6798376.sralite.1	SRX3757236		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP133873	PRJNA436715	2	436715	SRS4543869	SAMEA104618932	simple	9915	Bos indicus	SAMEA104618932							no					GEO	SRA663631		public	472CD9CB7FDDBCD74E7AFFE3FE1E5583	272CBAF63EC6D767F07646C828509455
SRR6798375	2018-06-20 00:17:08	2018-03-02 13:45:33	38517950	7703590000	38517950	200	5022		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/798/SRR6798375.sralite.1	SRX3757235		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP133873	PRJNA436715	2	436715	SRS4543867	SAMEA104618936	simple	9915	Bos indicus	SAMEA104618936							no					GEO	SRA663631		public	49B01A339B511665366E998DC555D702	C5481D319F5966AF2515AFFAB6DB8526
SRR6798374	2018-06-20 00:17:08	2018-03-02 13:36:27	40332079	8066415800	40332079	200	5283		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/798/SRR6798374.sralite.1	SRX3757234		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP133873	PRJNA436715	2	436715	SRS4543868	SAMEA104618958	simple	9915	Bos indicus	SAMEA104618958							no					GEO	SRA663631		public	277C5FDEB63390923084725A6398633F	B3895B348C8357C14FA3DA81FB2F88D2
SRR10009398	2019-08-27 14:45:08	2019-08-21 10:36:03	21222237	4286891874	21222237	202	1421		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/009/SRR10009398.sralite.1	SRX6747660		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP218974	PRJNA561299	3	561299	SRS5297892	SAMN12613442	simple	9915	Bos indicus	GSM4041138							no					GEO	SRA945985		public	5FBE7A0DECC69810FBEE36671E1673F5	9C3B66084258E75F36C99E2A811392FB
SRR10009399	2019-08-27 14:45:08	2019-08-21 10:34:08	21321493	4306941586	21321493	202	1429		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/009/SRR10009399.sralite.1	SRX6747661		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP218974	PRJNA561299	3	561299	SRS5297893	SAMN12613453	simple	9915	Bos indicus	GSM4041139							no					GEO	SRA945985		public	AE861F80EAA0E8129DAC1FB3B7E4E04E	7E0321C47586BAF86A3525113DE9CA4F
SRR10009400	2019-08-27 14:45:08	2019-08-21 10:32:16	16685436	3370458072	16685436	202	1122		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/009/SRR10009400.sralite.1	SRX6747662		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP218974	PRJNA561299	3	561299	SRS5297894	SAMN12613452	simple	9915	Bos indicus	GSM4041140							no					GEO	SRA945985		public	E7E3120DD94D3253CC5BE90FBD1FC409	2E226C606AD52550D666CED8B10183C6
SRR10009401	2019-08-27 14:45:08	2019-08-21 10:33:05	20020085	4044057170	20020085	202	1347		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/009/SRR10009401.sralite.1	SRX6747663		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP218974	PRJNA561299	3	561299	SRS5297895	SAMN12613451	simple	9915	Bos indicus	GSM4041141							no					GEO	SRA945985		public	8BB9CC53D792C70C38779F835A0C689F	87191183FB41E55943116802598A5CA0
SRR10009402	2019-08-27 14:45:08	2019-08-21 10:32:46	18835273	3804725146	18835273	202	1271		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/009/SRR10009402.sralite.1	SRX6747664		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP218974	PRJNA561299	3	561299	SRS5297896	SAMN12613450	simple	9915	Bos indicus	GSM4041142							no					GEO	SRA945985		public	00CC4B2F69CEB07F32F1B1FB1A325274	26A3A07741F0CEFFCB013FD307528581
SRR10009403	2019-08-27 14:45:08	2019-08-21 10:33:20	18134262	3663120924	18134262	202	1221		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/009/SRR10009403.sralite.1	SRX6747665		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP218974	PRJNA561299	3	561299	SRS5297897	SAMN12613449	simple	9915	Bos indicus	GSM4041143							no					GEO	SRA945985		public	7F60A0020052F561FC430874376EC82F	5C1C699196CE51336D8BDA1CBE6623CE
SRR10009404	2019-08-27 14:45:08	2019-08-21 10:34:01	19322974	3903240748	19322974	202	1298		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/009/SRR10009404.sralite.1	SRX6747666		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP218974	PRJNA561299	3	561299	SRS5297898	SAMN12613448	simple	9915	Bos indicus	GSM4041144							no					GEO	SRA945985		public	2EEBE19D25EA8CAE4D94E38F2C7EAC32	7B56B62F22C200C41DC05A5A34CAEC14
