Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR8518755	2019-05-31 00:24:42	2019-02-01 10:28:42	17152603	874782753	0	51	329		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8518755/SRR8518755	SRX5322264	Iodine1	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP183143	PRJNA516565		516565	SRS4317955	SAMN10791389	simple	9913	Bos taurus	Iodine 1					female		no					UNIVERSITY OF TERAMO	SRA842711		public	F6EC41B5BAB55C4024CD6C07A4259986	578F19EFB74792D342B7B07BC9DF1057
SRR8518747	2019-05-31 00:24:43	2019-02-01 10:29:22	19961303	1018026453	0	51	389		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8518747/SRR8518747	SRX5322272	Iodine4	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP183143	PRJNA516565		516565	SRS4317963	SAMN10791392	simple	9913	Bos taurus	Iodine 4					female		no					UNIVERSITY OF TERAMO	SRA842711		public	D2BCE2DB21204217C9275FAFE5CAAF14	BF66FE29D5F6A39C5FC05A2C8FF4FBFF
SRR8518746	2019-05-31 00:24:43	2019-02-01 10:31:21	26889603	1371369753	0	51	515		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8518746/SRR8518746	SRX5322273	Iodine5	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP183143	PRJNA516565		516565	SRS4317964	SAMN10791393	simple	9913	Bos taurus	Iodine 5					female		no					UNIVERSITY OF TERAMO	SRA842711		public	B68AB4BC10DE3F5E91ACABE08A33CFE2	46CBB437E1E69DB03552D81C1267EADB
SRR8518749	2019-05-31 00:24:43	2019-02-01 10:29:47	29147467	1486520817	0	51	562		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8518749/SRR8518749	SRX5322270	Iodine6	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP183143	PRJNA516565		516565	SRS4317961	SAMN10791394	simple	9913	Bos taurus	Iodine 6					female		no					UNIVERSITY OF TERAMO	SRA842711		public	BEC33E0EEAE319D85739914368739B5D	127BDC7E8384DE50435B55BAC3DE71BD
SRR8518748	2019-05-31 00:24:43	2019-02-01 10:30:15	23535762	1200323862	0	51	449		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8518748/SRR8518748	SRX5322271	Iodine7	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP183143	PRJNA516565		516565	SRS4317962	SAMN10791395	simple	9913	Bos taurus	Iodine 7					female		no					UNIVERSITY OF TERAMO	SRA842711		public	E9A4FCE71B4D25768E77EDA39F9CC128	DA529B348C75A977F975D8F47B6EDFD5
SRR8518750	2019-05-31 00:24:43	2019-02-01 10:29:22	19323387	985492737	0	51	375		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8518750/SRR8518750	SRX5322269	Iodine8	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP183143	PRJNA516565		516565	SRS4317960	SAMN10791396	simple	9913	Bos taurus	Iodine 8					female		no					UNIVERSITY OF TERAMO	SRA842711		public	2A37F1EBCA03AEE95A8116DF2CF2B80F	D5907D1DE01A51B638EF0B742FA0E71E
SRR8518752	2019-05-31 00:24:43	2019-02-01 10:30:45	25386691	1294721241	0	51	492		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8518752/SRR8518752	SRX5322267	CTRL3	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP183143	PRJNA516565		516565	SRS4317958	SAMN10791379	simple	9913	Bos taurus	CTRL 3					female		no					UNIVERSITY OF TERAMO	SRA842711		public	FB21AD93EBBA7306A428C9E88D484649	C092710AC62F0EEA58F70317D9DADEE3
SRR8518751	2019-05-31 00:24:43	2019-02-01 10:28:16	15486569	789815019	0	51	293		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8518751/SRR8518751	SRX5322268	CTRL4	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP183143	PRJNA516565		516565	SRS4317959	SAMN10791381	simple	9913	Bos taurus	CTRL 4					female		no					UNIVERSITY OF TERAMO	SRA842711		public	ADCB925ABC369F2190D43A966F34E8C7	1CEF34C1B09F1C09A0D4DF74366A114B
SRR8518756	2019-05-31 00:24:42	2019-02-01 10:28:13	15343479	782517429	0	51	291		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/518/SRR8518756.sralite.1	SRX5322263	CTRL7	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP183143	PRJNA516565		516565	SRS4317954	SAMN10791384	simple	9913	Bos taurus	CTRL 7					female		no					UNIVERSITY OF TERAMO	SRA842711		public	E95822EB62B784CAC02AA67CB5DBAD74	B321F648FD56A5E54331DC692EDBAA7E
SRR8518754	2019-05-31 00:24:43	2019-02-01 10:29:20	18771111	957326661	0	51	354		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8518754/SRR8518754	SRX5322265	CTRL1	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP183143	PRJNA516565		516565	SRS4317956	SAMN10791375	simple	9913	Bos taurus	CTRL1					female		no					UNIVERSITY OF TERAMO	SRA842711		public	633183787E55DFF1CD91352211EE7FBE	EEB5DEEDFB0A6450397DD2D179E4808A
