Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR1596199	2015-02-12 16:10:34	2015-02-12 16:06:27	121245	64992368	0	536	144	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/1596/SRR1596199/SRR1596199.lite.1	SRX719436		RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	LS454	454 GS Junior	SRP048592	PRJNA262899	2	262899	SRS715596	SAMN03092270	simple	8724	Bothrops jararaca	BJAR_BRAIN	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	INSTITUTO BUTANTAN	SRA188513	NA	public	BADC1559ED7E20A668DCF18602C4D5CF	E979F75DDCE999DA6B22D31126A44C15
SRR1596067	2015-02-12 16:10:34	2015-02-12 16:06:27	133028	68886558	0	517	157	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR001/1596/SRR1596067/SRR1596067.1	SRX719273		RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	LS454	454 GS Junior	SRP048592	PRJNA262899	2	262899	SRS715457	SAMN03092269	simple	8724	Bothrops jararaca	BJAR_HEART	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	INSTITUTO BUTANTAN	SRA188513	NA	public	1BE83890C117B8D92CB12C926BE516F6	61F36C178F9F29D5F261437DAAA61984
SRR1596200	2015-02-12 16:10:34	2015-02-12 16:04:35	120472	61654844	0	511	144	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/1596/SRR1596200/SRR1596200.lite.1	SRX719437		RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	LS454	454 GS Junior	SRP048592	PRJNA262899	2	262899	SRS715597	SAMN03092268	simple	8724	Bothrops jararaca	BJAR_KIDNEY	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	INSTITUTO BUTANTAN	SRA188513	NA	public	F08FA2D34AC66DC423A9EDAC366943DA	F41D1C621BCC6C7E5F7C10AD9C7F29AF
SRR1596064	2015-02-12 16:10:34	2015-02-12 16:09:07	66870	35964428	0	537	81	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/1596/SRR1596064/SRR1596064.lite.1	SRX719271		RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	LS454	454 GS Junior	SRP048592	PRJNA262899	2	262899	SRS715455	SAMN03092267	simple	8724	Bothrops jararaca	BJAR_LIVER	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	INSTITUTO BUTANTAN	SRA188513	NA	public	6BD9FA61A6387562B4874EA86A0A2211	6109E38B1554A57EE2EE44EBE44C37D9
SRR1596065	2015-02-12 16:10:34	2015-02-12 16:09:08	122623	64086025	0	522	143	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/1596/SRR1596065/SRR1596065.lite.1	SRX719272		RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	LS454	454 GS Junior	SRP048592	PRJNA262899	2	262899	SRS715456	SAMN03092266	simple	8724	Bothrops jararaca	BJAR_PANCREAS	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	INSTITUTO BUTANTAN	SRA188513	NA	public	C55EAB5725EC6376AA46B3BBDF0A2CA2	B08E6F8C1C7FEF20DD1C15899E090B92
SRR1596066	2015-02-12 16:10:34	2015-02-12 16:09:06	100434	49318011	0	491	112	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/1596/SRR1596066/SRR1596066.lite.1	SRX719272		RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	LS454	454 GS Junior	SRP048592	PRJNA262899	2	262899	SRS715456	SAMN03092266	simple	8724	Bothrops jararaca	BJAR_PANCREAS	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	INSTITUTO BUTANTAN	SRA188513	NA	public	BCC0252D77FE6A925C82002C1B7C8A65	9EE6460A91B64B9CE7BC3412D62CDE54
SRR1596063	2015-02-12 16:10:34	2015-02-12 16:09:11	146675	77436458	0	527	172	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/1596/SRR1596063/SRR1596063.lite.1	SRX719270		RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	LS454	454 GS FLX	SRP048592	PRJNA262899	2	262899	SRS715454	SAMN03092265	simple	8724	Bothrops jararaca	BJAR_VENOMGLAND	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	INSTITUTO BUTANTAN	SRA188513	NA	public	D985D4A8F8C31992D93B9BDBF0319DD9	987FD48AA281A207F0C3DC87CC672B6C
SRR1596201	2015-02-12 16:10:34	2015-02-12 16:04:48	72875	35067429	0	481	81	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/1596/SRR1596201/SRR1596201.lite.1	SRX719270		RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	LS454	454 GS FLX	SRP048592	PRJNA262899	2	262899	SRS715454	SAMN03092265	simple	8724	Bothrops jararaca	BJAR_VENOMGLAND	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	INSTITUTO BUTANTAN	SRA188513	NA	public	7062E2C35EAA5C2B18C0AC2DFC4C8C9B	5D0501611370818B2F6CC3F278F17B4B
SRR1596225	2015-02-12 16:10:34	2015-02-12 16:04:18	168559	90589271	0	537	198	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/1596/SRR1596225/SRR1596225.lite.1	SRX719463		RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	LS454	454 GS FLX	SRP048592	PRJNA262899	2	262899	SRS715621	SAMN03092272	simple	8724	Bothrops jararaca	BJAR_VGAGONISTS	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	INSTITUTO BUTANTAN	SRA188513	NA	public	29093C4DE57EA2921DABD76FB29AA5E2	178C5E57E9EE0A93E2D739017F4E8076
SRR1596202	2015-02-12 16:10:34	2015-02-12 16:04:20	167260	86141657	0	515	193	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/1596/SRR1596202/SRR1596202.lite.1	SRX719440		RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	LS454	454 GS FLX	SRP048592	PRJNA262899	2	262899	SRS715599	SAMN03092271	simple	8724	Bothrops jararaca	BJAR_VGRESERPINE	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	INSTITUTO BUTANTAN	SRA188513	NA	public	BE8E5701201E624FA1E0E6DE6BC9D27E	8943CCC6431AD81D07125F6901648FF6
