Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR9969382	2020-09-01 00:04:34	2019-08-14 18:05:04	5485023	1097004600	5485023	200	699	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/9969/SRR9969382/SRR9969382.lite.1	SRX6716695	RNA-FA1	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP218121	PRJNA291918	NA	291918	SRS5269491	SAMN12529678	simple	38358	Bradysia coprophila	Female adult poly-A RNA (2014; Illumina)	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	BROWN UNIVERSITY	SRA940873	NA	public	D004EB4ED858A852E9EC70564F6A77BE	CD71424AA1146A8ED81B741E2BFF0DFE
SRR9969383	2020-09-01 00:04:34	2019-08-14 18:08:56	13704291	2740858200	13704291	200	1765	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/9969/SRR9969383/SRR9969383.lite.1	SRX6716694	RNA-FA2	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP218121	PRJNA291918	NA	291918	SRS5269491	SAMN12529678	simple	38358	Bradysia coprophila	Female adult poly-A RNA (2014; Illumina)	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	BROWN UNIVERSITY	SRA940873	NA	public	6CCCACCD8B04C982D7BB12FC155DBFB3	E20D2E8EEB8C6D4CAAD219DE99455DD1
SRR9969380	2020-09-01 00:04:34	2019-08-14 18:07:47	11741449	2348289800	11741449	200	1487	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/9969/SRR9969380/SRR9969380.lite.1	SRX6716697	RNA-MA1	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP218121	PRJNA291918	NA	291918	SRS5269492	SAMN12529677	simple	38358	Bradysia coprophila	Male adult poly-A RNA (2014; Illumina)	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	BROWN UNIVERSITY	SRA940873	NA	public	0FEDF4D3617086A0F21E829DBC580F31	C70C0B834C47D28540C81CD723800444
SRR9969381	2020-09-01 00:04:34	2019-08-14 18:07:26	10582159	2116431800	10582159	200	1337	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/9969/SRR9969381/SRR9969381.lite.1	SRX6716696	RNA-MA2	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP218121	PRJNA291918	NA	291918	SRS5269492	SAMN12529677	simple	38358	Bradysia coprophila	Male adult poly-A RNA (2014; Illumina)	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	BROWN UNIVERSITY	SRA940873	NA	public	C8F89E161CB6B73B465A532C274FC9AC	5810FCBA65426BC0D406698A4A415C12
SRR9969378	2020-09-01 00:04:34	2019-08-14 18:04:36	5177694	1035538800	5177694	200	658	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/9969/SRR9969378/SRR9969378.lite.1	SRX6716699	RNA-FP1	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP218121	PRJNA291918	NA	291918	SRS5269493	SAMN12529676	simple	38358	Bradysia coprophila	Female pupae poly-A RNA (2014; Illumina)	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	BROWN UNIVERSITY	SRA940873	NA	public	E39B52528DB89FF71D4CCA17A366509B	D55957F605BA7A2CA8CFE535B49B43C6
SRR9969379	2020-09-01 00:04:34	2019-08-14 18:04:51	5532750	1106550000	5532750	200	698	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/9969/SRR9969379/SRR9969379.lite.1	SRX6716698	RNA-FP2	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP218121	PRJNA291918	NA	291918	SRS5269493	SAMN12529676	simple	38358	Bradysia coprophila	Female pupae poly-A RNA (2014; Illumina)	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	BROWN UNIVERSITY	SRA940873	NA	public	A1FB3850BED103402FB9EE1420C2821A	58B84F5732E0FC5C7F7ED217D588A272
SRR9969376	2020-09-01 00:04:34	2019-08-14 18:08:44	15280707	3056141400	15280707	200	1932	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/9969/SRR9969376/SRR9969376.lite.1	SRX6716701	RNA-MP1	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP218121	PRJNA291918	NA	291918	SRS5269494	SAMN12529675	simple	38358	Bradysia coprophila	Male pupae poly-A RNA (2014; Illumina)	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	BROWN UNIVERSITY	SRA940873	NA	public	75B662797CC3486BD5331D6AE9F238D6	6C28E47CA3557B49F9ECBFECFD50BA56
SRR9969377	2020-09-01 00:04:34	2019-08-14 18:08:39	14022001	2804400200	14022001	200	1775	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/9969/SRR9969377/SRR9969377.lite.1	SRX6716700	RNA-MP2	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP218121	PRJNA291918	NA	291918	SRS5269494	SAMN12529675	simple	38358	Bradysia coprophila	Male pupae poly-A RNA (2014; Illumina)	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	BROWN UNIVERSITY	SRA940873	NA	public	70330AEF0E65298FDB07FB4BC4C4573F	0A4570E073922EF3A56AC4408E4B30E3
SRR9969374	2020-09-01 00:04:34	2019-08-14 18:05:19	6453818	1290763600	6453818	200	819	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/9969/SRR9969374/SRR9969374.lite.1	SRX6716703	RNA-ML1	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP218121	PRJNA291918	NA	291918	SRS5269495	SAMN12529673	simple	38358	Bradysia coprophila	Male larvae poly-A RNA (2014; Illumina)	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	BROWN UNIVERSITY	SRA940873	NA	public	D384C50FD5782914A6C8EEC1EEA425D2	4D8CC66858B9F6D0FF3BAF10706F6D81
SRR9969375	2020-09-01 00:04:34	2019-08-14 18:05:11	5694394	1138878800	5694394	200	721	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/9969/SRR9969375/SRR9969375.lite.1	SRX6716702	RNA-ML2	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP218121	PRJNA291918	NA	291918	SRS5269495	SAMN12529673	simple	38358	Bradysia coprophila	Male larvae poly-A RNA (2014; Illumina)	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	BROWN UNIVERSITY	SRA940873	NA	public	ADE41A1FA20794734E71414386F529B6	D2B7D35296A9390E9744870E191B542B
