species	NCBI.taxid	dN	dS	dNdS
Haliotis_rufescens	6454	0.5710264626	4.118322121	0.138655123572836
Caenorhabditis_elegans	6239	1.202029294	8.146475577	0.14755206501738
Athalia_rosae	37344	0.55602977	3.970534981	0.140039005489371
Tribolium_castaneum	7070	0.5477019243	3.975378233	0.13777353806324
Ceratitis_capitata	7213	0.7355130841	5.176836122	0.142077722138874
Sander_lucioperca	283035	0.333582798	2.794399758	0.119375474838557
Ursus_arctos	9644	0.190018302	1.533735239	0.123892505804256
Alligator_mississippiensis	8496	0.1083941766	0.7547962921	0.143607192741269
Struthio_camelus	8801	0.02755788223	0.2104413281	0.130952805130106
Apteryx_mantelli	2696672	0.004637763727	0.01642048236	0.282437727791573
Apteryx_rowi	308060	0.007827859272	0.02247421266	0.348304049197335
Tinamus_guttatus	94827	0.03327987624	0.1984663682	0.167685218114451
Nothocercus_nigrocapillus	1977171	0.03979111497	0.1409197971	0.282367103763024
Nothocercus_julius	2585813	0.006714132634	0.06001946873	0.111865912445906
Nothoprocta_pentlandii	2585814	0.003470736597	0.01226332879	0.283017495203274
Nothoprocta_ornata	83376	0.01208484088	0.03358697801	0.35980732998372
Crypturellus_undulatus	48396	0.01253216725	0.08570817575	0.14621904083637
Crypturellus_soui	458187	0.01321785857	0.09495446801	0.139202070708331
Oxyura_jamaicensis	8884	0.01362282984	0.1157150328	0.117727399028141
Anser_cygnoides	8845	0.007588676249	0.05485844303	0.138331965507115
Cygnus_olor	8869	0.003070197073	0.01939367434	0.158309200163665
Cygnus_atratus	8868	0.01021561457	0.03351724604	0.30478681207306
Asarcornis_scutulata	75869	0.01620371018	0.06565895149	0.246786002704717
Aix_galericulata	8832	0.04646242663	0.1604866701	0.289509568620553
Aythya_fuligula	219594	0.005421320769	0.04805540798	0.112813957822526
Anas_platyrhynchos	8839	0.008701620249	0.06460814117	0.134683030519387
Numida_meleagris	8996	0.01874022489	0.1719122841	0.109010388571761
Callipepla_squamata	9009	0.03113927268	0.2149772999	0.144849119858166
Bambusicola_thoracicus	9083	0.05928990408	0.340337224	0.174209283907187
Odontophorus_gujanensis	886794	0.02227804341	0.1586308755	0.140439516202506
