species	NCBI.taxid	dN	dS	dNdS
Nymphaea_colorata	210225	0.01438141337	0.07077293346	0.203204991893238
Nymphaea_thermarum	419125	0.02030628654	0.09247606954	0.219584230179859
Apostasia_shenzhenica	1088818	0.1965050436	1.2577723	0.156232605535994
Dendrobium_catenatum	906689	0.1554014901	0.9793011816	0.158686104969364
Vanilla_planifolia	51239	0.2291905703	1.476256994	0.155251132581594
Musa_balbisiana	52838	0.03489169417	0.134566583	0.259289441643918
Musa_acuminata	4641	0.01234380357	0.05005097803	0.246624622651754
Ananas_comosus	4615	0.1693581749	1.196206001	0.141579439292581
Oryza_sativa	4530	0.1171841486	0.7504944906	0.156142583413656
Dichanthelium_oligosanthes	888268	0.07313750917	0.333150755	0.21953277329358
Panicum_hallii	206008	0.0397928912	0.2408958727	0.165187102435566
Setaria_viridis	4556	0.03645201694	0.2120660643	0.171889911100689
Cinnamomum_micranthum	337465	0.2135365856	1.471187014	0.145145779270724
Nelumbo_nucifera	4432	0.1820329472	1.243416586	0.146397393479839
Beta_vulgaris	161934	0.3345680184	2.639612403	0.126748918901788
Rhododendron_simsii	118357	0.2077282131	1.331608414	0.155997972764387
Daucus_carota	4039	0.2394055939	1.728574732	0.138498839227508
Lactuca_saligna	75948	0.2726176695	2.111199744	0.129129264189604
Striga_asiatica	4170	0.2853907329	2.232620109	0.127827717644193
Coffea_eugenioides	49369	0.2056055016	1.462721236	0.140563694940435
Cuscuta_australis	267555	0.1772622647	1.06154748	0.16698477273951
Ipomoea_triloba	35885	0.01809127813	0.07401982361	0.244411256980568
Ipomoea_nil	35883	0.02091360919	0.08875748822	0.235626419915829
Solanum_tuberosum	4113	0.01388475464	0.06421214945	0.216232516103695
Solanum_chilense	4083	0.0481345777	0.2183623903	0.220434378071561
Capsicum_baccatum	33114	0.009681213279	0.02840418157	0.340837607136871
Capsicum_chinense	80379	0.005261419984	0.01583434449	0.332278989340089
Capsicum_annuum	4072	0.009954197931	0.02666208148	0.37334661730994
Vitis_vinifera	29760	0.165757738	1.033439272	0.16039427036599
Corymbia_citriodora	34329	0.1870427403	1.371228245	0.136405256369263
Punica_granatum	22663	0.203818056	1.580046968	0.128994935041703
Pistacia_vera	55513	0.1878302474	1.140836177	0.164642611434297
Salix_dunnii	1413687	0.181594336	1.168290633	0.155435925676894
Manihot_esculenta	3983	0.1459229132	0.9476882418	0.153977760579619
Tarenaya_hassleriana	28532	0.134756728	0.9917990453	0.135870999915349
Arabidopsis_lyrata	59689	0.02741918055	0.1695892283	0.161679965318882
Arabidopsis_thaliana	3702	0.03153053911	0.2007863089	0.157035304263218
Gossypium_australe	47621	0.1289812396	0.7385919211	0.174631262426897
Herrania_umbratica	108875	0.06877494978	0.3479766258	0.197642441132033
Corchorus_capsularis	210143	0.01352702341	0.07107382319	0.190323565032354
Corchorus_olitorius	93759	0.02127515296	0.08893610556	0.239218400963677
Juglans_regia	51240	0.1636968424	0.9738949781	0.16808469709882
Senna_tora	362788	0.1195577034	0.7939642326	0.150583235983419
Abrus_precatorius	3816	0.08082972773	0.446815056	0.180901978670119
Phaseolus_vulgaris	3885	0.03857232841	0.180331502	0.213896784434258
Vigna_unguiculata	3917	0.02372556988	0.1261216877	0.18811649536783
Vigna_angularis	3914	0.01395414888	0.06774713814	0.205973997767458
Vigna_radiata	157791	0.01872212805	0.08787549588	0.213052886501674
Cucumis_melo	3656	0.0469582536	0.3099167548	0.151518925236242
Benincasa_hispida	102211	0.03674497105	0.2234787166	0.164422686907448
Rosa_chinensis	74649	0.03283517291	0.1955457948	0.167915515358349
Fragaria_vesca	57918	0.05737128223	0.3575734403	0.160446151095188
Ziziphus_jujuba	326968	0.09781743738	0.5661486407	0.172776953520645
Rhamnella_rubrinervis	2594499	0.09720734273	0.5433959371	0.178888607906745
Morus_notabilis	981085	0.1280049929	0.7707573221	0.166076908035383
Cannabis_sativa	3483	0.1417967768	0.8782794016	0.161448368869499
Trema_orientale	63057	0.01361719806	0.05745589843	0.237002612996996
Parasponia_andersonii	3476	0.02256577164	0.08409435003	0.268338736573264
Marchantia_polymorpha	3197	0.4723479101	4.031925846	0.117151933875125
Aphelenchus_avenae	70226	0.6837360699	5.610893946	0.121858669310161
Caenorhabditis_nigoni	1611254	0.1846051405	1.990140486	0.092759853788533
Caenorhabditis_elegans	6239	0.1775320386	1.925030542	0.0922229724290785
Teladorsagia_circumcincta	45464	0.273429422	2.572425202	0.106292467430118
Ancylostoma_ceylanicum	53326	0.2251166127	2.045852784	0.110035587340677
Ramazzottius_varieornatus	947166	0.8883621072	7.331779008	0.121165968891134
Tetranychus_urticae	32264	0.8532244415	7.228412102	0.118037603481949
Ixodes_scapularis	6945	0.5965238857	5.190879981	0.114917680216733
Centruroides_sculpturatus	218467	0.4151110675	3.635788927	0.1141735881358
Stegodyphus_dumicola	202533	0.4924735057	4.260809323	0.115582150799758
Eurytemora_affinis	88015	0.7462842812	6.29068282	0.118633271228893
Armadillidium_vulgare	13347	0.7738734225	6.53174299	0.118478853758451
Daphnia_galeata	27404	0.6007841532	5.184431052	0.115882369188464
Cloeon_dipterum	197152	0.6565048142	5.486787278	0.119651953126075
Melanaphis_sacchari	742174	0.04707746687	0.4442722946	0.105965344772143
Acyrthosiphon_pisum	7029	0.05052361282	0.4864531603	0.103861207909188
Cimex_lectularius	79782	0.3987389484	3.58391155	0.111258032693357
Halyomorpha_halys	286706	0.4000773521	3.545430635	0.1128430910904
Thrips_palmi	161013	0.5122015413	4.499725691	0.113829503501617
Blattella_germanica	6973	0.2355341995	2.205947792	0.106772336296525
Cryptotermes_secundus	105785	0.1198669619	0.8065907787	0.148609387889597
Zootermopsis_nevadensis	136037	0.1238927496	0.8235370949	0.15043979241159
Nicrophorus_vespilloides	110193	0.3882539431	3.574984158	0.108602982821945
Onthophagus_taurus	166361	0.3752053325	3.363425363	0.111554529090349
Photinus_pyralis	7054	0.324166801	3.177483332	0.102019984726705
Ignelater_luminosus	2038154	0.2226411157	2.237292831	0.099513623167731
Tribolium_castaneum	7070	0.323320919	3.320159013	0.097381154858561
Dendroctonus_ponderosae	77166	0.4455191838	4.098131912	0.108712748483143
Anoplophora_glabripennis	217634	0.2097120858	2.228446631	0.0941068468424093
Diabrotica_virgifera	50389	0.291030092	2.801096296	0.103898638692142
Leptinotarsa_decemlineata	7539	0.2295813919	2.359307863	0.0973087893701476
Eumeta_japonica	151549	0.2981899605	2.706859609	0.110160851899579
Zerene_cesonia	33412	0.2056238084	2.101746608	0.0978347283242053
Arctia_plantaginis	874455	0.2301802299	2.330308973	0.0987766998140465
Danaus_plexippus	13037	0.2415833574	2.475616706	0.0975851216444328
Anopheles_gambiae	7165	0.3109459767	2.496289924	0.124563246324268
Aedes_aegypti	7159	0.1738029979	1.68615955	0.103076246788152
Culex_quinquefasciatus	7176	0.2057246606	1.786906865	0.115128921730344
Contarinia_nasturtii	265458	0.4815114584	4.076706306	0.118112864223582
Hermetia_illucens	343691	0.3355349599	3.081111361	0.108900627269473
Bactrocera_oleae	104688	0.1218816774	1.448573522	0.0841391034344752
Ceratitis_capitata	7213	0.1214843162	1.439438947	0.0843969912396708
Glossina_fuscipes	7396	0.3042266612	2.890492286	0.105250812352453
Musca_domestica	7370	0.1755739565	2.035368126	0.0862615240246717
Lucilia_cuprina	7375	0.1437535394	1.723545092	0.0834057316325786
Scaptodrosophila_lebanonensis	7225	0.1590079037	1.622056042	0.0980286128116405
Drosophila_grimshawi	7222	0.1810088191	1.574459379	0.114965696488763
Drosophila_pseudoobscura	7237	0.04766852389	0.5479950939	0.0869871362364764
Drosophila_guanche	7266	0.05494792478	0.4957440547	0.110839301569137
Drosophila_melanogaster	7227	0.07682233906	0.9040897597	0.084972026544678
Drosophila_subpulchrella	1486046	0.01135099966	0.1504985423	0.0754226551734515
Drosophila_suzukii	28584	0.01230638475	0.1892380859	0.0650312260952751
Athalia_rosae	37344	0.2976859173	2.843016638	0.104707764745765
Cephus_cinctus	211228	0.2476262075	2.416872482	0.102457291124886
Orussus_abietinus	222816	0.3100433092	2.901110172	0.106870573959023
Chelonus_insularis	460826	0.3987821629	3.402772343	0.117193312600049
Belonocnema_treatae	1159321	0.3169416019	2.9440466	0.107655090072283
Trichogramma_pretiosum	7493	0.3569644597	3.01070464	0.118565087706511
Ceratosolen_solmsi	142686	0.2368833135	1.99979117	0.118454025127034
Nasonia_vitripennis	7425	0.1785003729	1.726292273	0.103401014817611
Vespula_pensylvanica	30213	0.005732907852	0.04394636312	0.130452384338283
Vespula_vulgaris	7454	0.01914899986	0.08668553798	0.220901897896948
Polistes_canadensis	91411	0.03978008593	0.2275184284	0.174843357567778
Polistes_dominula	743375	0.04179986438	0.2554217206	0.16365039074128
Harpegnathos_saltator	610380	0.09580121217	0.7441377017	0.128741242314614
