species	NCBI.txid	dN	dS	dNdS
Camponotus_floridanus	104421	0.07070518635	0.6230630447	0.113479987220305
Acromyrmex_echinatior	103372	0.02045104729	0.1753587564	0.116624043816497
Atta_cephalotes	12957	0.02414879058	0.2025576456	0.119219348686979
Solenopsis_invicta	13686	0.08406112351	0.8361203724	0.100537107197509
Pogonomyrmex_barbatus	144034	0.09815913983	0.9244764015	0.106178091372298
Linepithema_humile	83485	0.1184061513	1.060420325	0.111659639586784
Dinoponera_quadriceps	609295	0.08972787518	0.8719820412	0.102901058669189
Harpegnathos_saltator	610380	0.09003048868	0.7879457846	0.114259750403645
Odontomachus_brunneus	486640	0.07620105128	0.6513432713	0.116990617140962
Vespula_pensylvanica	30213	0.006437319881	0.04815125447	0.133689557039696
Vespula_vulgaris	7454	0.02002773912	0.09619054091	0.208209028980706
Polistes_dominula	743375	0.04354302526	0.2719506877	0.160113679536027
Polistes_canadensis	91411	0.03035859098	0.1977102735	0.153550902755693
Chelonus_insularis	460826	0.3807135113	3.652626134	0.104230079217847
Belonocnema_treatae	1159321	0.3003174116	3.091696417	0.0971367725332522
Ceratosolen_solmsi	142686	0.2297383069	2.11332579	0.108709366055671
Nasonia_vitripennis	7425	0.1656605358	1.755099225	0.094388131132586
Trichogramma_pretiosum	7493	0.3527906805	3.364537682	0.104855618763731
Cephus_cinctus	211228	0.226569517	2.442005286	0.0927801091582076
Thrips_palmi	161013	0.512350429	5.157381167	0.0993431380015741
Cryptotermes_secundus	105785	0.1083973613	0.7322523514	0.148032793739418
Coptotermes_formosanus	36987	0.1319922165	0.8803389288	0.149933408806447
Zootermopsis_nevadensis	136037	0.110833969	0.727505897	0.152347863374089
Blattella_germanica	6973	0.2105660899	2.219558069	0.0948684753244003
Cimex_lectularius	79782	0.4087765527	4.180467079	0.0977825073072415
Halyomorpha_halys	286706	0.3897019095	3.967334893	0.0982276313974889
Acyrthosiphon_pisum	7029	0.05585152982	0.5095365304	0.109612415377078
Melanaphis_sacchari	742174	0.04825673121	0.4502253814	0.107183497873761
Cloeon_dipterum	197152	0.6272765842	6.137535286	0.102203336513738
Daphnia_galeata	27404	0.6723636326	6.694762476	0.100431290133198
Homarus_americanus	6706	0.2332524465	2.482552655	0.0939566965599769
Penaeus_chinensis	139456	0.2184486385	2.300798886	0.0949446906590688
Eurytemora_affinis	88015	0.5764786244	5.718129613	0.100815942172663
Lepeophtheirus_salmonis	72036	0.6129654791	6.123056248	0.100107765513377
Caenorhabditis_elegans	6239	0.1531332126	1.832997296	0.0835425196393743
Caenorhabditis_nigoni	1611254	0.1628373647	1.917593303	0.0849175706054288
Dictyocaulus_viviparus	29172	0.2693933585	2.908609186	0.0926193040291113
Ancylostoma_ceylanicum	53326	0.1432140273	1.662571747	0.0861400583514186
Necator_americanus	51031	0.133556947	1.552315491	0.0860372442163563
Loa_loa	7209	0.08895996342	0.6435112144	0.138241512236807
Acanthocheilonema_viteae	6277	0.0949604255	0.7037754151	0.134930012419526
Steinernema_carpocapsae	34508	0.6502357446	6.500584332	0.100027276224866
