species	NCBI.taxid	dN	dS	dNdS
Oopsacas_minuta	111878	0.8966912411	8.800724274	0.101888346138635
Amphimedon_queenslandica	400682	0.6775767835	6.713724537	0.100924126357256
Trichoplax_adhaerens	10228	0.6810547023	6.947153349	0.098033635949325
Hydra_vulgaris	6087	0.6609691712	6.829667533	0.0967791137718328
Dendronephthya_gigantea	151771	0.12837419	1.359642961	0.0944175740854661
Paramuricea_clavata	317549	0.1366792487	1.441879597	0.0947924146956357
Nematostella_vectensis	45351	0.3906149787	3.881315694	0.100639836976889
Acropora_millepora	45264	0.009356217225	0.06046225334	0.154744765670356
Acropora_digitifera	70779	0.02124751474	0.107660574	0.197356506198824
Desmophyllum_pertusum	174260	0.109776627	0.7969905717	0.13773892803505
Orbicella_faveolata	48498	0.1093005821	0.9335213961	0.117084174563784
Pocillopora_damicornis	46731	0.05960911933	0.4599739904	0.129592369512378
Stylophora_pistillata	50429	0.06018467064	0.4663374468	0.129058198206012
Saccoglossus_kowalevskii	10224	0.4634542812	4.926409632	0.0940754658706383
Anneissia_japonica	1529436	0.4805762208	4.847211175	0.0991448904224809
Lytechinus_variegatus	7654	0.4366437587	4.1566037	0.105048205269124
Asterias_rubens	7604	0.2067403811	2.119401023	0.0975466081484476
Acanthaster_planci	133434	0.1329024138	1.238738334	0.107288529104323
Patiria_miniata	46514	0.1104680408	1.02463872	0.107811698546781
Branchiostoma_belcheri	7741	0.04675923936	0.4823022073	0.0969500836866686
Branchiostoma_lanceolatum	7740	0.05057797746	0.4819904706	0.104935637829185
Branchiostoma_floridae	7739	0.05258079047	0.5465762443	0.0962002849892245
Styela_clava	7725	0.4758284189	4.904730769	0.0970141769875402
Ciona_intestinalis	7719	0.5035758151	5.096753595	0.0988032491101819
Sander_lucioperca	283035	0.2979131597	2.676272426	0.111316455232947
Ursus_arctos	9644	0.1853532119	1.736391523	0.106746208700536
Alligator_mississippiensis	8496	0.1020447172	0.8994950854	0.11344666453027
Aquila_chrysaetos	8962	0.1174457526	1.04937767	0.111919431828581
Owenia_fusiformis	6347	0.4927954079	4.860718696	0.101383239541415
Lamellibrachia_satsuma	104711	0.4146086741	3.758510255	0.110311970959356
Capitella_teleta	283909	0.4667768962	4.474319731	0.104323545089094
Helobdella_robusta	6412	0.600681836	5.792199499	0.103705308510818
Dimorphilus_gyrociliatus	2664684	0.6503788001	6.666901194	0.0975533881746021
Sepia_pharaonis	158019	0.257623096	2.750915746	0.0936499405242053
Octopus_sinensis	2607531	0.02389626521	0.1618558886	0.147639146259644
Octopus_bimaculoides	37653	0.02456442977	0.162992452	0.15070900197268
Mercenaria_mercenaria	6596	0.250376698	2.663321884	0.0940091768494626
Dreissena_polymorpha	45954	0.2580251315	2.551071158	0.101143839398932
Mya_arenaria	6604	0.2413401013	2.421076757	0.0996829615592398
Mytilus_californianus	6549	0.3627780665	3.829396503	0.0947350492997512
Pecten_maximus	6579	0.0915567319	0.9495704147	0.0964191075065515
Mizuhopecten_yessoensis	6573	0.09467095628	0.9340317176	0.101357324913181
Ostrea_edulis	37623	0.1423894058	1.620370032	0.0878746230725156
Crassostrea_angulata	558553	0.005929243811	0.06614279508	0.0896430790961971
Crassostrea_gigas	29159	0.005798679352	0.06501944851	0.089183767086369
Lottia_gigantea	225164	0.222837854	2.442538757	0.091232064736486
Patella_vulgata	6465	0.1913067604	2.11388259	0.0905001826047491
Gigantopelta_aegis	1735272	0.3365955641	3.236071333	0.104013641685691
Haliotis_rubra	36100	0.05447655943	0.5612495197	0.0970629951881632
Haliotis_rufescens	6454	0.05048988779	0.5066099132	0.0996622578328181
Pomacea_canaliculata	400727	0.4129328623	4.014981494	0.102848011358729
Aplysia_californica	6500	0.268850352	2.627552318	0.102319695085896
Biomphalaria_glabrata	6526	0.2836361539	3.098648834	0.0915354301487137
Candidula_unifasciata	100452	0.257882465	2.610056132	0.0988034172285763
Plakobranchus_ocellatus	259542	0.1591273621	1.837035053	0.0866218430835789
Elysia_marginata	1093978	0.1364283801	1.541884214	0.0884815985929797
Elysia_chlorotica	188477	0.1313337338	1.493593102	0.0879314008776133
Priapulus_caudatus	37621	0.6289944007	5.630109363	0.111719748258112
Paramacrobiotus_metropolitanus	2943436	0.4210548878	4.156111878	0.101309805933959
Hypsibius_exemplaris	2072580	0.3741093516	3.585041491	0.104352865242753
Ramazzottius_varieornatus	947166	0.4214673524	4.055995405	0.10391218685318
Caenorhabditis_elegans	6239	0.9418642564	9.174950785	0.102656055435179
Sparganum_proliferum	64606	0.40229237	4.002413136	0.100512454944131
Echinococcus_granulosus	6210	0.452408776	4.470922658	0.101189130433846
Fasciolopsis_buski	27845	0.422839715	4.325700752	0.0977505701947826
Paragonimus_westermani	34504	0.07445539132	0.5669586781	0.131324193801065
Paragonimus_heterotremus	100268	0.06180826485	0.4781322736	0.129270221364952
Opisthorchis_viverrini	6198	0.04112430795	0.2782736171	0.14778371150874
Opisthorchis_felineus	147828	0.03709781573	0.2361332557	0.157105426002052
Clonorchis_sinensis	79923	0.03259414974	0.2180386981	0.149487912118477
Trichobilharzia_regenti	157069	0.2059172309	1.870179898	0.110105573864959
Schistosoma_mansoni	6183	0.04666977435	0.2728904103	0.171020206604893
Schistosoma_spindale	6189	0.03014462276	0.1807198555	0.166803048157594
Schistosoma_margrebowiei	48269	0.01781843074	0.1044126848	0.170653889171903
Schistosoma_curassoni	6186	0.006746136358	0.03058957843	0.22053708172009
Schistosoma_bovis	6184	0.006573765955	0.03553577207	0.184990097923036
Schistosoma_mattheei	31246	0.01405556746	0.07264789721	0.193475214008882
Schistosoma_haematobium	6185	0.01624834427	0.06814649338	0.238432580520257
