species	clade	NCBI.txid	clade_group	expression_data	dnds_data	lht_data	assembly_accession	nb_rnaseq
Rangifer_tarandus	Mammalia	9870	Mammalia	FALSE	FALSE	TRUE	GCA_951394145.1	0
Equus_quagga	Mammalia	89248	Mammalia	FALSE	FALSE	TRUE	GCF_021613505.1	0
Culex_pipiens	Diptera	7175	Lepido Diptera	FALSE	FALSE	FALSE	GCF_016801865.2	0
Rhinolophus_ferrumequinum	Mammalia	59479	Mammalia	FALSE	FALSE	TRUE	GCF_004115265.2	0
Budorcas_taxicolor	Mammalia	37181	Mammalia	FALSE	FALSE	TRUE	GCF_023091745.1	0
Pediculus_humanus	Invertebrates	121225	Other Insecta	FALSE	FALSE	TRUE	GCF_000006295.1	0
Falco_peregrinus	Aves	8954	Aves	FALSE	FALSE	TRUE	GCF_023634155.1	0
Schistocerca_serialis	Invertebrates	2023354	Other Insecta	FALSE	FALSE	FALSE	GCF_023864345.2	0
Trichonephila_inaurata	Arachnida	2747482	Other Invertebrates	FALSE	FALSE	FALSE	GCA_019973955.1	0
Pieris_napi	Lepidoptera	78633	Lepido Diptera	FALSE	FALSE	FALSE	GCF_905475465.1	0
Uria_aalge	Aves	13746	Aves	FALSE	FALSE	TRUE	GCA_013401055.1	0
Megadyptes_antipodes	Aves	37085	Aves	FALSE	FALSE	TRUE	GCA_010078485.1	0
Apteryx_mantelli	Aves	2696672	Aves	FALSE	FALSE	FALSE	GCF_001039765.1	0
Perognathus_longimembris	Mammalia	38669	Mammalia	FALSE	FALSE	TRUE	GCF_023159225.1	0
Cervus_hanglu	Mammalia	2100816	Mammalia	FALSE	FALSE	FALSE	GCA_010411085.1	0
Limosa_lapponica	Aves	161683	Aves	FALSE	FALSE	TRUE	GCA_002844005.1	0
Colobus_angolensis	Mammalia	54131	Mammalia	FALSE	FALSE	TRUE	GCF_000951035.1	0
Marmota_marmota	Mammalia	9993	Mammalia	FALSE	FALSE	TRUE	GCF_001458135.2	0
Buceros_rhinoceros	Aves	175835	Aves	FALSE	FALSE	TRUE	GCF_000710305.1	0
Pteronotus_parnellii	Mammalia	59476	Mammalia	FALSE	FALSE	TRUE	GCF_021234165.1	0
Pararge_aegeria	Lepidoptera	116150	Lepido Diptera	FALSE	FALSE	FALSE	GCF_905163445.1	0
Balearica_regulorum	Aves	925459	Aves	FALSE	FALSE	TRUE	GCF_000709895.1	0
Ovis_ammon	Mammalia	30527	Mammalia	FALSE	FALSE	TRUE	GCA_028583565.1	0
Schistocerca_gregaria	Invertebrates	7010	Other Insecta	FALSE	FALSE	FALSE	GCF_023897955.1	0
Anthonomus_grandis	Coleoptera	7044	Other Insecta	FALSE	FALSE	TRUE	GCF_022605725.1	0
Chrysemys_picta	Testudines	8479	Other Vertebrates	FALSE	FALSE	TRUE	GCF_000241765.5	0
Orycteropus_afer	Mammalia	9818	Mammalia	FALSE	FALSE	TRUE	GCF_000298275.1	0
Peromyscus_californicus	Mammalia	42520	Mammalia	FALSE	FALSE	TRUE	GCF_007827085.1	0
Accipiter_gentilis	Aves	8957	Aves	FALSE	FALSE	TRUE	GCF_929443795.1	0
Macaca_thibetana	Mammalia	54602	Mammalia	FALSE	FALSE	TRUE	GCF_024542745.1	0
Gulo_gulo	Mammalia	48420	Mammalia	FALSE	FALSE	TRUE	GCA_024510155.1	0
Nycticebus_coucang	Mammalia	9470	Mammalia	FALSE	FALSE	TRUE	GCF_027406575.1	0
Gasterosteus_aculeatus	Teleostei	69293	Teleostei	FALSE	FALSE	TRUE	GCF_016920845.1	0
Pitangus_sulphuratus	Aves	371930	Aves	FALSE	FALSE	TRUE	GCA_029286575.1	0
Bradysia_hygida	Diptera	35572	Lepido Diptera	FALSE	FALSE	FALSE	GCA_029228625.1	0
Melozone_crissalis	Aves	40204	Aves	FALSE	FALSE	TRUE	GCF_028551555.1	0
Oppia_nitens	Arachnida	1686743	Other Invertebrates	FALSE	FALSE	FALSE	GCF_028296485.1	0
Anastrepha_obliqua	Diptera	95512	Lepido Diptera	FALSE	FALSE	FALSE	GCF_027943255.1	0
Tokudaia_osimensis	Mammalia	73109	Mammalia	FALSE	FALSE	TRUE	GCA_027943515.1	0
Indicator_indicator	Aves	1002788	Aves	FALSE	FALSE	TRUE	GCF_027791375.1	0
Muraenolepis_orangiensis	Teleostei	630683	Teleostei	FALSE	FALSE	TRUE	GCA_027704905.1	0
Zophobas_morio	Coleoptera	2755281	Other Insecta	FALSE	FALSE	FALSE	GCA_027724725.1	0
Hemicordylus_capensis	Lepidosauria	884348	Other Vertebrates	FALSE	FALSE	TRUE	GCF_027244095.1	0
Podarcis_raffonei	Lepidosauria	65483	Other Vertebrates	FALSE	FALSE	FALSE	GCF_027172205.1	0
Megalurothrips_usitatus	Thysanoptera	439358	Other Insecta	FALSE	FALSE	FALSE	GCA_026979955.1	0
Pleuronectes_platessa	Teleostei	8262	Teleostei	FALSE	FALSE	TRUE	GCF_947347685.1	0
Harpia_harpyja	Aves	202280	Aves	FALSE	FALSE	TRUE	GCF_026419915.1	0
Sorex_cinereus	Mammalia	36803	Mammalia	FALSE	FALSE	TRUE	GCF_029834395.1	0
Tympanuchus_pallidicinctus	Aves	109042	Aves	FALSE	FALSE	TRUE	GCF_026119805.1	0
Manacus_candei	Aves	415023	Aves	FALSE	FALSE	TRUE	GCF_025592945.1	0
Ceutorhynchus_assimilis	Coleoptera	467358	Other Insecta	FALSE	FALSE	FALSE	GCA_917834065.1	0
Diabrotica_balteata	Coleoptera	107213	Other Insecta	FALSE	FALSE	TRUE	GCA_918026665.1	0
Gopherus_flavomarginatus	Testudines	286002	Other Vertebrates	FALSE	FALSE	TRUE	GCF_025201925.1	0
Daktulosphaira_vitifoliae	Hemiptera	58002	Other Insecta	FALSE	FALSE	FALSE	GCF_025091365.1	0
Phaedon_cochleariae	Coleoptera	80249	Other Insecta	FALSE	FALSE	FALSE	GCA_918026855.4	0
Aphelenchoides_fujianensis	Nematoda	1052528	Nematoda	FALSE	FALSE	FALSE	GCA_024699865.1	0
Aphelenchoides_bicaudatus	Nematoda	293665	Nematoda	FALSE	FALSE	FALSE	GCA_024699845.1	0
Hippocampus_zosterae	Teleostei	109293	Teleostei	FALSE	FALSE	TRUE	GCF_025434085.1	0
Bombus_huntii	Hymenoptera	85661	Hymenoptera	FALSE	FALSE	FALSE	GCF_024542735.1	0
Uloborus_diversus	Arachnida	327109	Other Invertebrates	FALSE	FALSE	FALSE	GCF_026930045.1	0
Bombus_affinis	Hymenoptera	309941	Hymenoptera	FALSE	FALSE	TRUE	GCF_024516045.1	0
Syngnathus_scovelli	Teleostei	161590	Teleostei	FALSE	FALSE	TRUE	GCF_024217435.1	0
Euphydryas_editha	Lepidoptera	104508	Lepido Diptera	FALSE	FALSE	TRUE	GCA_933666425.1	0
Suncus_etruscus	Mammalia	109475	Mammalia	FALSE	FALSE	TRUE	GCF_024139225.1	0
Psylliodes_chrysocephala	Coleoptera	2598218	Other Insecta	FALSE	FALSE	FALSE	GCA_927349885.1	0
Neodiprion_virginianus	Hymenoptera	2961670	Hymenoptera	FALSE	FALSE	FALSE	GCF_021901495.1	0
Prochilodus_magdalenae	Teleostei	148989	Teleostei	FALSE	FALSE	TRUE	GCA_024036415.1	0
Brienomyrus_brachyistius	Teleostei	42636	Teleostei	FALSE	FALSE	TRUE	GCF_023856365.1	0
Anopheles_marshallii	Diptera	1521116	Lepido Diptera	FALSE	FALSE	FALSE	GCF_943734725.1	0
Anopheles_moucheti	Diptera	186751	Lepido Diptera	FALSE	FALSE	FALSE	GCF_943734755.1	0
Sabethes_cyaneus	Diptera	53552	Lepido Diptera	FALSE	FALSE	FALSE	GCF_943734655.1	0
Anopheles_maculipalpis	Diptera	1496333	Lepido Diptera	FALSE	FALSE	FALSE	GCF_943734695.1	0
Holotrichia_oblita	Coleoptera	644536	Other Insecta	FALSE	FALSE	FALSE	GCA_023690525.1	0
Polistes_exclamans	Hymenoptera	27506	Hymenoptera	FALSE	FALSE	FALSE	GCA_023678865.1	0
Mischocyttarus_mexicanus	Hymenoptera	91405	Hymenoptera	FALSE	FALSE	FALSE	GCA_023678845.1	0
Schistocerca_cancellata	Invertebrates	274614	Other Insecta	FALSE	FALSE	FALSE	GCF_023864275.1	0
Schistocerca_nitens	Invertebrates	7011	Other Insecta	FALSE	FALSE	FALSE	GCF_023898315.1	0
Falco_biarmicus	Aves	345155	Aves	FALSE	FALSE	TRUE	GCF_023638135.1	0
Adelges_cooleyi	Hemiptera	133065	Other Insecta	FALSE	FALSE	FALSE	GCF_023614345.1	0
Paramacrobiotus_metropolitanus	Tardigrada	2943436	Other Invertebrates	FALSE	FALSE	FALSE	GCF_019649055.1	0
Pseudoliparis_swirei	Teleostei	2059687	Teleostei	FALSE	FALSE	TRUE	GCF_029220125.1	0
Seison_nebaliae	Invertebrates	104778	Other Invertebrates	FALSE	FALSE	FALSE	GCA_023231475.1	0
Leguminivora_glycinivorella	Lepidoptera	1035111	Lepido Diptera	FALSE	FALSE	FALSE	GCF_023078275.1	0
Pangasius_djambal	Teleostei	1691987	Teleostei	FALSE	FALSE	TRUE	GCA_022985145.1	0
