Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR10123062	2022-09-08 21:30:45	2022-09-15 09:42:20	32618231	2478985556	0	76	854		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR010/10123/ERR10123062/ERR10123062.lite.1	ERX9660126	coenosarc_colony_2_time_point_3_replicate_1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	ERP140513	PRJEB55598		876708	ERS12852722	SAMEA110755111	simple	45264	Acropora millepora	SAMEA110755111							no					AUSTRALIAN NATIONAL UNIVERSITY	ERA17529622		public	F9E50407130656B765F0F7DF94BFD9D3	2CB4E89B275BEF77E4417A455397CC43
ERR10123063	2022-09-08 21:30:45	2022-09-15 09:28:30	7736798	587996648	0	76	211		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR010/10123/ERR10123063/ERR10123063.lite.1	ERX9660127	coenosarc_colony_3_time_point_3_replicate_1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	ERP140513	PRJEB55598		876708	ERS12852723	SAMEA110755112	simple	45264	Acropora millepora	SAMEA110755112							no					AUSTRALIAN NATIONAL UNIVERSITY	ERA17529622		public	A29E93E20BBD8F2041074A39F95C8121	E4BC1D9B3E4576824EE85CB86537A1B3
ERR10123064	2022-09-08 21:30:45	2022-09-15 09:27:29	7505082	570386232	0	76	201		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR010/10123/ERR10123064/ERR10123064.lite.1	ERX9660128	coenosarc_colony_6_time_point_3_replicate_1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	ERP140513	PRJEB55598		876708	ERS12852724	SAMEA110755113	simple	45264	Acropora millepora	SAMEA110755113							no					AUSTRALIAN NATIONAL UNIVERSITY	ERA17529622		public	0A94029048ACFEACC047B5606F925E70	D7E316010B3938465E8ECE111687FAFD
ERR10123065	2022-09-08 21:30:45	2022-09-15 09:34:17	16784893	1275651868	0	76	466		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR010/10123/ERR10123065/ERR10123065.lite.1	ERX9660129	coenosarc_colony_1_time_point_3_replicate_2	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	ERP140513	PRJEB55598		876708	ERS12852725	SAMEA110755114	simple	45264	Acropora millepora	SAMEA110755114							no					AUSTRALIAN NATIONAL UNIVERSITY	ERA17529622		public	4DF65B10BC38BF9ED157353BE8D0CD52	4092AB82BF66D086C0F3C30C7A84C562
ERR10123066	2022-09-08 21:30:45	2022-09-15 09:46:57	29773984	2262822784	0	76	789		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR010/10123/ERR10123066/ERR10123066.lite.1	ERX9660130	coenosarc_colony_2_time_point_3_replicate_2	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	ERP140513	PRJEB55598		876708	ERS12852726	SAMEA110755115	simple	45264	Acropora millepora	SAMEA110755115							no					AUSTRALIAN NATIONAL UNIVERSITY	ERA17529622		public	DB0CCC1C10736C6490F59EB522C28470	A15A0EBE2E59C52B175187F7E73D0A2E
ERR10123067	2022-09-08 21:30:45	2022-09-15 09:28:12	5427158	412464008	0	76	149		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR010/10123/ERR10123067/ERR10123067.lite.1	ERX9660131	coenosarc_colony_3_time_point_3_replicate_3	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	ERP140513	PRJEB55598		876708	ERS12852727	SAMEA110755116	simple	45264	Acropora millepora	SAMEA110755116							no					AUSTRALIAN NATIONAL UNIVERSITY	ERA17529622		public	047124D2D6B32C89F8571BA915E6E79E	320D7ADD5F559418992FE9135DBC73F3
ERR10123068	2022-09-08 21:30:45	2022-09-15 09:47:08	48780016	3707281216	0	76	1374		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR010/10123/ERR10123068/ERR10123068.lite.1	ERX9660132	coenosarc_colony_1_time_point_5_replicate_1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	ERP140513	PRJEB55598		876708	ERS12852728	SAMEA110755117	simple	45264	Acropora millepora	SAMEA110755117							no					AUSTRALIAN NATIONAL UNIVERSITY	ERA17529622		public	4614828F3FFB4C53CC0A310F6C61650F	9486E120ACF2850EE5C7D524B0A747BD
ERR10123069	2022-09-08 21:30:45	2022-09-15 09:39:08	24403589	1854672764	0	76	641		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR010/10123/ERR10123069/ERR10123069.lite.1	ERX9660133	coenosarc_colony_2_time_point_5_replicate_1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	ERP140513	PRJEB55598		876708	ERS12852729	SAMEA110755118	simple	45264	Acropora millepora	SAMEA110755118							no					AUSTRALIAN NATIONAL UNIVERSITY	ERA17529622		public	81ED141C2DBECB236903777D2228022B	D631702FD3CBAC3895D872791EEBFF78
ERR10123070	2022-09-08 21:30:45	2022-09-15 09:32:58	20821491	1582433316	0	76	558		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR010/10123/ERR10123070/ERR10123070.lite.1	ERX9660134	coenosarc_colony_1_time_point_5_replicate_2	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	ERP140513	PRJEB55598		876708	ERS12852730	SAMEA110755119	simple	45264	Acropora millepora	SAMEA110755119							no					AUSTRALIAN NATIONAL UNIVERSITY	ERA17529622		public	EF1B6A2EDB9E31F757E58E3996AA6C11	F55A0943B3C4A5698614FFCAD8F9EBF6
ERR10123071	2022-09-08 21:30:45	2022-09-15 09:34:55	20413763	1551445988	0	76	549		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR010/10123/ERR10123071/ERR10123071.lite.1	ERX9660135	coenosarc_colony_2_time_point_5_replicate_2	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	ERP140513	PRJEB55598		876708	ERS12852731	SAMEA110755120	simple	45264	Acropora millepora	SAMEA110755120							no					AUSTRALIAN NATIONAL UNIVERSITY	ERA17529622		public	7F9BEA616DD1F94EB6FCC9C89D65AAC4	5D11BB0B92193D5A2497CE13F58DCD35
